This	December 27, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	LORD VANITY, by Samuel Shellabarger.	1	8
""			
2	BEYOND THIS PLACE, by A.J. Cronin.	2	22
""			
3	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	4	34
""			
4	TIME AND TIME AGAIN, by James Hilton.	3	17
""			
5	THE LADY OF ARLINGTON, by Harnett T. Kane.	6	11
""			
6	DESIREE, by Annemarie Selinko.	5	48
""			
7	BATTLE CRY, by Leon Uris.	7	33
""			
8	THE FEMALE, by Paul Wellman.	8	11
""			
9	TOO LATE THE PHALAROPE, by Alan Paton.	11	17
""			
10	THE SHADOWS OF THE IMAGES, by William E. Barrett.	10	6
""			
11	THE UNCONQUERED, by Ben Ames Williams.	12	16
""			
12	THE DOCTORS, by Andre Soubiran.	9	4
""			
13	THE ROBE, by Lloyd C. Douglas.	13	169
""			
14	LOVE IS A BRIDGE, by Charles Bracelen Flood.	--	6
""			
15	THE DEVIL'S LAUGHTER, by Frank Yerby.	15	11
""			
16	A PASSAGE IN THE NIGHT, by Sholem Asch.	16	4
This	December 27, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	60
""			
2	LIFE IS WORTH LIVING, by Fulton J. Sheen.	3	8
""			
3	TRIUMPH AND TRAGEDY, by Winston S. Churchill.	4	2
""			
4	THE SPIRIT OF ST. LOUIS, by Charles Lindbergh.	2	13
""			
5	LELIA, by Andre Maurois.	5	14
""			
6	A MAN CALLED PETER, by Catherine Marshall.	7	114
""			
7	GONE WITH THE WINDSORS, by Iles Brody.	6	13
""			
8	THE AGE OF THE MOGULS, by Stewart H. Holbrook.	10	9
""			
9	PERIOD PIECE, by Gwen Raverat.	11	17
""			
10	THE SECRET DIARY OF HAROLD L. ICKES, by Harold L. Ickes.	12	2
""			
11	FIRE IN THE ASHES, by Theodore Harold White.	8	4
""			
12	A HOUSE IS NOT A HOME, by Polly Adler.	9	28
""			
13	THURBER COUNTRY, by James Thurber.	--	2
""			
14	FABULOUS CHICAGO, by Emmett Dedmon.	14	6
""			
15	THE GREATEST FAITH EVER KNOWN, by Fulton Oursler.	--	4
""			
16	HOLY BIBLE: REVISED STANDARD VERSION.	16	61
