This	November 4, 1951	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE CAINE MUTINY, by Herman Wouk.	1	29
""			
2	THE CRUEL SEA, by Nicholas Monsarrat.	2	12
""			
3	MELVILLE GOODWIN, USA, by John Marquand.	3	3
""			
4	FROM HERE TO ETERNITY, by James Jones.	4	35
""			
5	THE CATCHER IN THE RYE, by J.D. Salinger.	5	15
""			
6	THE IRON MISTRESS, by Paul I. Wellman.	6	13
""			
7	MOSES, by Sholem Asch.	8	4
""			
8	THE PRESIDENT'S LADY, by Irving Stone.	7	4
""			
9	THE BLESSING, by Nancy Mitford.	9	2
""			
10	LIE DOWN IN DARKNESS, by William Styron.	12	6
""			
11	REQUIEM FOR A NUN, by William Faulkner.	10	4
""			
12	THE HOLY SINNER, by Thomas Mann.	11	6
""			
13	MR.SMITH, by Louis Bromfield.	13	9
""			
14	RENNY'S DAUGHTER, by Mazo de la Roche.	--	1
""			
15	THE ROAD TO BITHYNIA, by Frank G. Slaughter.	14	8
""			
16	THE GRASS HARP, by Truman Capote.	--	1
This	November 4, 1951	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE SEA AROUND US, by Rachel Carson.	1	16
""			
2	KON-TIKI, by Thor Heyerdahl.	2	60
""			
3	THE FORRESTAL DIARIES, by Walter Millis and E.S. Duffield.	7	2
""			
4	WASHINGTON CONFIDENTIAL, by Jack Lait and Lee Mortimer.	3	34
""			
5	THE MAGNIFICENT CENTURY, by Thomas B. Costain.	5	5
""			
6	DIZZY, by Hesketh Pearson.	6	9
""			
7	A MAN CALLED PETER, by Catherine Marshall.	10	2
""			
8	WHITE MAN RETURNS, by Agnes Newton Keith.	4	11
""			
9	AMERICAN DIPLOMACY, 1900-1950, by George F. Kennan.	16	3
""			
10	LIFE IN AMERICA, by Marshall B. Davidson.	--	1
""			
11	FIGHT AGAINST FEARS, by Lucy Freeman.	13	15
""			
12	THE NEW YORKER 25th ANNIVERSARY ALBUM, by New Yorker Magazine.	--	1
""			
13	GEORGE WASHINGTON, Vols. 3 and 4., by Douglas Southall Freeman.	--	1
""			
14	BETTER HOMES AND GARDENS HANDYMAN'S BOOK.	9	4
""			
15	SCHNOZZOLA, by Gene Fowler.	8	4
""			
16	THE STORY OF THE NEW YORK TIMES, by Meyer Berger.	14	5
