This	August 23, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	30
""			
2	BATTLE CRY, by Leon Uris.	2	15
""			
3	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	3	16
""			
4	BEYOND THIS PLACE, by A.J. Cronin.	4	4
""			
5	THE BRIDGES AT TOKO-RI, by James A. Michener.	6	4
""			
6	THE DARK ANGEL, by Mika Waltari.	5	10
""			
7	THE EMPEROR'S LADY, by F.W. Kenyon.	7	10
""			
8	THE SILVER CHALICE, by Thomas B. Costain.	9	56
""			
9	KINGFISHERS CATCH FIRE, by Rumer Godden.	8	11
""			
10	KISS ME AGAIN, STRANGER, by Daphne du Maurier.	10	22
""			
11	YOU SHALL KNOW THEM, by Rita Vercors.	13	5
""			
12	THE SCHIRMER INHERITANCE, by Eric Ambler.	11	2
""			
13	THE VERMILLION GATE, by Lin Yutang.	12	3
""			
14	THE CAINE MUTINY, by Herman Wouk.	--	122
""			
15	GOLDEN ADMIRAL, by Francis Van Wyck Mason.	14	25
""			
16	SATAN IN THE SUBURBS, by Bertrand Russell.	--	1
This	August 23, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	42
""			
2	A HOUSE IS NOT A HOME, by Polly Adler.	2	10
""			
3	ANNAPURNA, by Maurice Herzog.	3	31
""			
4	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	5	27
""			
5	HOW TO PLAY YOUR BEST GOLF ALL THE TIME, by Tommy Armour.	4	15
""			
6	CALL ME LUCKY, by Bing Crosby.	6	6
""			
7	A MAN CALLED PETER, by Catherine Marshall.	8	96
""			
8	NORTH FROM MALAYA, by William O. Douglas.	9	10
""			
9	INDIA AND THE AWAKENING EAST, by Eleanor Roosevelt.	16	2
""			
10	HOLY BIBLE: REVISED STANDARD VERSION.	7	45
""			
11	THE ROMMEL PAPERS, by B.H. Liddell Hart.	10	12
""			
12	MAJOR CAMPAIGN SPEECHES, by Adlai Stevenson.	11	18
""			
13	THIS I BELIEVE, by Edward R. Murrow.	14	36
""			
14	THE STRANGE CASE OF ALGER HISS, by William Allen Jowitt.	--	1
""			
15	UNCLE POGO SO-SO STORIES, by Walt Kelly.	13	12
""			
16	OUR VIRGIN ISLAND, by Robb White.	--	1
