This	April 8, 1951	Last	Weeks
Week	Fiction	Week	On List
""			
1	FROM HERE TO ETERNITY, by James Jones.	1	5
""			
2	JOY STREET, by Frances Parkinson Keyes.	2	18
""			
3	THE DISENCHANTED, by Budd Schulberg.	3	23
""			
4	MORNING JOURNEY, by James Hilton.	4	5
""			
5	THE AGE OF LONGING, by Arthur Koestler.	5	4
""			
6	THE BALANCE WHEEL, by Taylor Caldwell.	6	12
""			
7	THE DISAPPEARANCE, by Philip Wylie.	8	12
""			
8	NEW YORK 22, by Ilka Chase.	12	2
""			
9	ROUND THE BEND, by Nevil Shute.	9	3
""			
10	RIVER OF THE SUN, by James Ramsey Ullman.	7	12
""			
11	FOXFIRE, by Anya Seton.	10	12
""			
12	THE LEFT HAND OF GOD, by William E. Barrett.	13	8
""			
13	THE CARDINAL, by Henry Morton Robinson.	11	53
""			
14	OLD HERBACEOUS, by Reginald Arkell.	14	5
""			
15	CAROLINE HICKS, by Walter Karig.	--	1
""			
16	NEITHER FIVE NOR THREE, by Helen MacInnes.	16	2
This	April 8, 1951	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	WASHINGTON CONFIDENTIAL, by Jack Lait and Lee Mortimer.	1	4
""			
2	KON-TIKI, by Thor Heyerdahl.	2	30
""			
3	THE FAR SIDE OF PARADISE, by Arthur Mizener.	3	9
""			
4	ROMMEL, THE DESERT FOX, by Desmond Young.	4	10
""			
5	HIS EYE IS ON THE SPARROW, by Ethel Waters and Charles Samuels.	8	3
""			
6	LOOK YOUNGER, LIVE LONGER, by Gayelord Hauser.	5	52
""			
7	OUT OF THIS WORLD, by Lowell Thomas Jr.	6	17
""			
8	BOSWELL'S LONDON JOURNAL, by Frederick A. Pottle.	7	20
""			
9	MY SIX CONVICTS, by Donald Powell Wilson.	9	8
""			
10	FLORENCE NIGHTINGALE, by Cecil Woodham-Smith.	10	4
""			
11	THE VICIOUS CIRCLE, by Margaret Case Harriman.	12	3
""			
12	UNPOPULAR ESSAYS, by Bertrand Russell.	11	5
""			
13	THE RIDDLE OF MACARTHUR, by John Gunther.	15	7
""			
14	STEP RIGHT UP, by Dan Mannix.	--	1
""			
15	RED RIVER RUNS NORTH, by Vera Kelsey.	--	1
""			
16	HENRY GROSS AND HIS DOWSING ROD, by Kenneth Lewis Roberts.	13	9
