This	July 12, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	24
""			
2	BATTLE CRY, by Leon Uris.	2	9
""			
3	THE DARK ANGEL, by Mika Waltari.	3	4
""			
4	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	5	10
""			
5	THE SILVER CHALICE, by Thomas B. Costain.	4	50
""			
6	KINGFISHERS CATCH FIRE, by Rumer Godden.	6	5
""			
7	THE EMPEROR'S LADY, by F.W. Kenyon.	9	4
""			
8	KISS ME AGAIN, STRANGER, by Daphne du Maurier.	10	16
""			
9	THE ECHOING GROVE, by Rosamond Lehmann.	8	7
""			
10	GOLDEN ADMIRAL, by Francis Van Wyck Mason.	7	19
""			
11	HOTEL TALLYRAND, by Paul Hyde Bonner.	11	12
""			
12	THE CAINE MUTINY, by Herman Wouk.	12	117
""			
13	ZORBA THE GREEK, by Nikos Kazantzakis.	--	8
""			
14	NINE STORIES, by J.D. Salinger.	14	12
""			
15	IN THE WET, by Nevil Shute.	15	7
""			
16	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	13	33
This	July 12, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	36
""			
2	ANNAPURNA, by Maurice Herzog.	2	25
""			
3	HOW TO PLAY YOUR BEST GOLF ALL THE TIME, by Tommy Armour.	4	9
""			
4	HOLY BIBLE: REVISED STANDARD VERSION.	6	39
""			
5	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	3	21
""			
6	A HOUSE IS NOT A HOME, by Polly Adler.	8	4
""			
7	THE ROMMEL PAPERS, by B.H. Liddell Hart.	9	6
""			
8	NORTH FROM MALAYA, by William O. Douglas.	7	4
""			
9	A MAN CALLED PETER, by Catherine Marshall.	12	90
""			
10	MAJOR CAMPAIGN SPEECHES, by Adlai Stevenson.	5	12
""			
11	THE POOR MAN'S GUIDE TO EUROPE, by David Dodge.	10	11
""			
12	UNCLE POGO SO-SO STORIES, by Walt Kelly.	14	6
""			
13	ANGEL UNAWARE, by Dale Evans Rogers.	13	11
""			
14	THIS I BELIEVE, by Edward R. Murrow.	11	30
""			
15	THE WORLD AND THE WEST, by Arnold Toynbee.	15	14
""			
16	LIFE AMONG THE SAVAGES, by Shirley Jackson.	--	1
