This	August 9, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	28
""			
2	BATTLE CRY, by Leon Uris.	2	13
""			
3	THE DARK ANGEL, by Mika Waltari.	3	8
""			
4	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	4	14
""			
5	THE BRIDGES AT TOKO-RI, by James A. Michener.	6	2
""			
6	BEYOND THIS PLACE, by A.J. Cronin.	16	2
""			
7	THE EMPEROR'S LADY, by F.W. Kenyon.	8	8
""			
8	KINGFISHERS CATCH FIRE, by Rumer Godden.	5	9
""			
9	THE SILVER CHALICE, by Thomas B. Costain.	7	54
""			
10	THE CAINE MUTINY, by Herman Wouk.	13	121
""			
11	YOU SHALL KNOW THEM, by Rita Vercors.	15	3
""			
12	KISS ME AGAIN, STRANGER, by Daphne du Maurier.	12	20
""			
13	GOLDEN ADMIRAL, by Francis Van Wyck Mason.	10	23
""			
14	IN THE WET, by Nevil Shute.	11	11
""			
15	THE VERMILLION GATE, by Lin Yutang.	--	1
""			
16	THE ECHOING GROVE, by Rosamond Lehmann.	9	11
This	August 9, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	40
""			
2	A HOUSE IS NOT A HOME, by Polly Adler.	2	8
""			
3	ANNAPURNA, by Maurice Herzog.	3	29
""			
4	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	4	25
""			
5	HOW TO PLAY YOUR BEST GOLF ALL THE TIME, by Tommy Armour.	5	13
""			
6	NORTH FROM MALAYA, by William O. Douglas.	6	8
""			
7	CALL ME LUCKY, by Bing Crosby.	8	4
""			
8	HOLY BIBLE: REVISED STANDARD VERSION.	7	43
""			
9	THE ROMMEL PAPERS, by B.H. Liddell Hart.	10	10
""			
10	LIFE AMONG THE SAVAGES, by Shirley Jackson.	9	5
""			
11	A MAN CALLED PETER, by Catherine Marshall.	14	94
""			
12	MAJOR CAMPAIGN SPEECHES, by Adlai Stevenson.	13	16
""			
13	THIS I BELIEVE, by Edward R. Murrow.	15	34
""			
14	THE POOR MAN'S GUIDE TO EUROPE, by David Dodge.	16	15
""			
15	ANGEL UNAWARE, by Dale Evans Rogers.	12	15
""			
16	UNCLE POGO SO-SO STORIES, by Walt Kelly.	11	10
