This		April 5, 1953	Last	Week
Week		Fiction	Week	On Li
""				
1	DESIREE, by Annemarie Selinko.		1	10
""				
2	THE SILVER CHALICE, by Thomas B. Costain.		2	36
""				
3	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.		3	19
""				
4	GOLDEN ADMIRAL, by Francis Van Wyck Mason.		5	5
""				
5	EAST OF EDEN, by John Steinbeck.		4	27
""				
6	THE SECOND HAPPIEST DAY, by John Phillips.		6	8
""				
7	PRINCE BART, by Jay Richard Kennedy.		8	2
""				
8	THE CAINE MUTINY, by Herman Wouk.		7	103
""				
9	KISS ME AGAIN, STRANGER, by Daphne du Maurier.		11	2
""				
10	THE SOJOURNER, by Marjorie Kinnan Rawlings.		9	12
""				
11	THE STONES OF THE HOUSE, by Theodore Morrison.		12	3
""				
12	GIANT, by Edna Ferber.		14	26
""				
13	THE GALILEANS, by Frank G. Slaughter.		10	10
""				
14	THE VELVET DOUBLET, by James Street.		13	11
""				
15	EXECUTIVE SUITE, by Cameron Hawley.		15	14
""				
16	THE GREEN MAN, by Storm Jameson.		--	1
This	April 5, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	ANNAPURNA, by Maurice Herzog.	1	11
""			
2	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	2	22
""			
3	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	3	7
""			
4	HOLY BIBLE: REVISED STANDARD VERSION.	5	25
""			
5	THIS I BELIEVE, by Edward R. Murrow.	4	16
""			
6	A MAN CALLED PETER, by Catherine Marshall.	7	76
""			
7	ALWAYS THE YOUNG STRANGERS, by Carl Sandburg.	6	11
""			
8	PRINCE OF PLAYERS, by Eleanor Ruggles.	9	3
""			
9	THE SIGN OF JONAS, by Thomas Merton.	8	6
""			
10	THE WHITE RABBIT, by Bruce Marshall.	13	4
""			
11	THE FABULOUS FANNY, by Norman Katkov.	14	4
""			
12	THE SECOND SEX, by Simone de Beauvoir.	11	4
""			
13	TALLULAH, by Tallulah Bankhead.	10	25
""			
14	THE LAST RESORTS, by Cleveland Amory.	12	19
""			
15	THE COLDITZ STORY, by P.R. Reid.	--	1
""			
16	MY HOST THE WORLD, by George Santayana.	--	1
