This	November 29, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	LORD VANITY, by Samuel Shellabarger.	2	4
""			
2	BEYOND THIS PLACE, by A.J. Cronin.	1	18
""			
3	TIME AND TIME AGAIN, by James Hilton.	3	13
""			
4	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	5	30
""			
5	DESIREE, by Annemarie Selinko.	6	44
""			
6	TOO LATE THE PHALAROPE, by Alan Paton.	4	13
""			
7	THE UNCONQUERED, by Ben Ames Williams.	7	12
""			
8	THE FEMALE, by Paul Wellman.	9	7
""			
9	THE DEVIL'S LAUGHTER, by Frank Yerby.	10	7
""			
10	BATTLE CRY, by Leon Uris.	11	29
""			
11	THE LADY OF ARLINGTON, by Harnett T. Kane.	8	7
""			
12	THE HEART OF THE FAMILY, by Elizabeth Goudge.	14	8
""			
13	THE ROBE, by Lloyd C. Douglas.	12	165
""			
14	THE SHADOWS OF THE IMAGES, by William E. Barrett.	16	2
""			
15	THE ADVENTURES OF AUGIE MARCH, by Saul Bellow.	15	9
""			
16	A PASSAGE IN THE NIGHT, by Sholem Asch.	--	1
This	November 29, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	56
""			
2	THE SPIRIT OF ST. LOUIS, by Charles Lindbergh.	2	9
""			
3	LIFE IS WORTH LIVING, by Fulton J. Sheen.	6	4
""			
4	GONE WITH THE WINDSORS, by Iles Brody.	4	9
""			
5	LELIA, by Andre Maurois.	3	10
""			
6	A HOUSE IS NOT A HOME, by Polly Adler.	5	24
""			
7	PERIOD PIECE, by Gwen Raverat.	9	13
""			
8	FLYING SAUCERS FROM OUTER SPACE, by Donald Keyhoe.	11	5
""			
9	THE AGE OF THE MOGULS, by Stewart H. Holbrook.	10	5
""			
10	A MAN CALLED PETER, by Catherine Marshall.	7	110
""			
11	FABULOUS CHICAGO, by Emmett Dedmon.	12	2
""			
12	THE RENAISSANCE, by Will Durant.	13	5
""			
13	THURBER COUNTRY, by James Thurber.	--	1
""			
14	SEXUAL BEHAVIOR IN THE HUMAN FEMALE, by Paul Kinsey.	8	10
""			
15	ANGEL UNAWARE, by Dale Evans Rogers.	16	27
""			
16	MAN, TIME AND FOSSILS, by Ruth E. Moore.	--	1
