This	October 5, 1952	Last	Week
Week	Fiction	Week	On Li
""			
1	THE SILVER CHALICE, by Thomas B. Costain.	1	10
""			
2	THE CAINE MUTINY, by Herman Wouk.	2	77
""			
3	THE OLD MAN AND THE SEA, by Ernest Hemingway.	4	4
""			
4	THE HOUSES IN BETWEEN, by Howard Spring.	3	21
""			
5	MATADOR, by Barnaby Conrad.	5	13
""			
6	EAST OF EDEN, by John Steinbeck.	--	1
""			
7	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	6	6
""			
8	THE GOWN OF GLORY, by Agnes Sligh Turnbull.	7	27
""			
9	THE DISTANT SHORE, by Jan de Hartog.	8	4
""			
10	THE FAR COUNTRY, by Nevil Shute.	11	2
""			
11	CATHERINE CARTER, by Pamela Hansford Johnson.	12	9
""			
12	MY COUSIN RACHEL, by Daphne du Maurier.	9	34
""			
13	THE CRUEL SEA, by Nicholas Monsarrat.	13	60
""			
14	THE SINNER OF SAINT AMBROSE, by Robert Reynolds.	10	6
""			
15	SCOLLAY SQUARE, by Pearl Schiff.	--	1
""			
16	THE LOVERS, by Kathleen Winsor.	--	1
This	October 5, 1952	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	A MAN CALLED PETER, by Catherine Marshall.	1	50
""			
2	THE SEA AROUND US, by Rachel Carson.	2	64
""			
3	WITNESS, by Whittaker Chambers.	3	19
""			
4	ANNE FRANK:THE DIARY OF A YOUNG GIRL, by Anne Frank.	4	14
""			
5	POSTMARKED MOSCOW, by Lydia Kirk.	6	9
""			
6	WINDOWS FOR THE CROWN PRICE, by Elizabeth Gray Vining.	7	19
""			
7	SUBMARINE, by Edward L. Beach.	8	12
""			
8	ADLAI E. STEVENSON OF ILLINOIS, by Noel F. Busch.	5	8
""			
9	THE GREAT ENTERPRISE, by H.A. Overstreet.	9	6
""			
10	THE MEMOIRS OF HERBERT HOOVER. Vol 3, by Herbert Hoover.	11	3
""			
11	FROM UNDER MY HAT, by Hedda Hopper.	15	2
""			
12	THE GLITTER AND THE GOLD, by Consuelo Vanderbilt Balson.	--	1
""			
""	HOW TO SUCCEED IN BUISNESS WITHOUT REALLY TRYING, by Shepherd		
13	Mead.	10	4
""			
14	I GO POGO, by Walt Kelly.	12	3
""			
15	THE THURBER ALBUM, by James Thurber.	13	16
""			
16	JOURNEY TO THE FAR PACIFIC, by Thomas E. Dewey.	14	10
