This	May 27, 1951	Last	Weeks
Week	Fiction	Week	On List
""			
1	FROM HERE TO ETERNITY, by James Jones.	1	12
""			
2	THE CAINE MUTINY, by Herman Wouk.	2	6
""			
3	PROUD NEW FLAGS, by F. Van Wyck Mason.	3	4
""			
4	JOY STREET, by Frances Parkinson Keyes.	4	25
""			
5	RETURN TO PARADISE, by James A. Michener.	5	4
""			
6	FESTIVAL, by J.B. Priestley.	7	6
""			
7	THE DISENCHANTED, by Budd Schulberg.	6	30
""			
8	GOD'S MEN, by Pearl S. Buck.	8	5
""			
9	NEW YORK 22, by Ilka Chase.	9	9
""			
10	A WOMAN CALLED FANCY, by Frank Yerby.	--	1
""			
11	OLD HERBACEOUS, by Reginald Arkell.	11	12
""			
12	RAIN ON THE WIND, by Walter Macken.	--	1
""			
13	MORNING JOURNEY, by James Hilton.	10	12
""			
14	ROUND THE BEND, by Nevil Shute.	16	10
""			
15	THE LEFT HAND OF GOD, by William E. Barrett.	13	15
""			
16	A MOUSE IS BORN, by Anita Loos.	--	1
This	May 27, 1951	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	WASHINGTON CONFIDENTIAL, by Jack Lait and Lee Mortimer.	1	11
""			
2	A KING'S STORY, by Edward Windsor, Duke of Windsor.	2	5
""			
3	KON-TIKI, by Thor Heyerdahl.	3	37
""			
4	HIS EYE IS ON THE SPARROW, by Ethel Waters and Charles Samuels.	4	10
""			
5	BETTER HOMES AND GARDENS GARDEN BOOK, by Fleeta Brownell	8	6
""	Woodroffe.		
""			
6	THE RIDDLE OF MACARTHUR, by John Gunther.	5	12
""			
7	ROMMEL, THE DESERT FOX, by Desmond Young.	6	17
""			
8	LOOK YOUNGER, LIVE LONGER, by Gayelord Hauser.	9	59
""			
9	THE PEACE CAN BE WON, by Paul G. Hoffman.	7	3
""			
10	MARY'S GARDEN STORY, by Mary Garden and Louis Biancolli.	10	3
""			
11	MY SIX CONVICTS, by Donald Powell Wilson.	12	15
""			
12	WAR IN KOREA, by Marguerite Higgins.	--	3
""			
13	OUT OF THIS WORLD, by Lowell Thomas Jr.	11	24
""			
14	DOMINATIONS AND POWERS, by George Santayana.	--	1
""			
15	BOSWELL'S LONDON JOURNAL, by Frederick A. Pottle.	13	27
""			
16	THE FAR SIDE OF PARADISE, by Arthur Mizener.	14	16
