This	May 23, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	NOT AS A STRANGER, by Morton Thompson.	1	18
""			
2	BLESS THIS HOUSE, by Norah Lofts.	2	7
""			
3	SAYONARA, by James A. Michener.	3	15
""			
4	AWAY ALL BOATS, by Kenneth Dodson.	4	10
""			
5	THE NIGHT OF THE HUNTER, by Davis Grubb.	6	11
""			
6	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	11	2
""			
7	BHOWANI JUNCTION, by John Masters.	5	6
""			
8	THE SPIDER KING, by Lawrence Schoonover.	8	6
""			
9	THE GIPSY IN THE PARLOUR, by Margery Sharp.	10	3
""			
10	THE SONG OF RUTH, by Frank G. Slaughter.	12	3
""			
11	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	9	55
""			
12	THE DOLLMAKER, by Harriette Arnow.	13	2
""			
13	LORD VANITY, by Samuel Shellabarger.	7	29
""			
14	TOMORROW!, by Philip Wylie.	14	16
""			
15	THE DESPERATE HOURS, by Joseph Hayes.	16	8
""			
16	THE FEMALE, by Paul Wellman.	15	32
This	May 23, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	81
""			
2	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	2	12
""			
3	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	4	10
""			
4	SECOND TREE FROM THE CORNER, by E.B. White.	3	16
""			
5	MINUTES OF THE LAST MEETING, by Gene Fowler.	6	5
""			
6	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	5	9
""			
7	McCARTHY AND HIS ENEMIES, by William F. Buckley and Brent Bozell.	11	6
""			
8	LIFE IS WORTH LIVING, by Fulton J. Sheen.	7	29
""			
9	SEVEN YEARS IN TIBET, by Heinrich Harrer.	9	10
""			
10	FINAL SECRET OF PEARL HARBOR, by Rear Admiral Robert A. Theobald.	13	2
""			
11	THE TAFT STORY, by William S. White.	12	4
""			
12	THE MAN WHO NEVER WAS, by Ewen Montagu.	10	14
""			
13	THE CONQUEST OF EVEREST, by Sir John Hunt.	8	16
""			
14	THE REASON WHY, by Cecil Woodham-Smith.	--	1
""			
15	THE JOURNEY, by Lillian Smith.	15	2
""			
16	CONFEDERATE AGENT, by James David Horan.	--	1
