This	March 11, 1951	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE DISENCHANTED, by Budd Schulberg.	2	19
""			
2	JOY STREET, by Frances Parkinson Keyes.	1	14
""			
3	THE BALANCE WHEEL, by Taylor Caldwell.	3	8
""			
4	RIVER OF THE SUN, by James Ramsey Ullman.	4	8
""			
5	THE DISAPPEARANCE, by Philip Wylie.	5	8
""			
6	FOXFIRE, by Anya Seton.	8	8
""			
7	THE CARDINAL, by Henry Morton Robinson.	6	49
""			
8	MORNING JOURNEY, by James Hilton.	--	1
""			
9	THE LOVED AND ENVIED, by Enid Bagnold.	7	7
""			
10	NIGHTRUNNERS OF BENGAL, by John Masters.	--	3
""			
11	THE LEFT HAND OF GOD, by William E. Barrett.	12	4
""			
12	FROM HERE TO ETERNITY, by James Jones.	--	1
""			
13	MOULIN ROUGE, by Pierre La Mure.	--	8
""			
14	OLD HERBACEOUS, by Reginald Arkell.	--	1
""			
15	SON OF A HUNDRED KINGS, by Thomas B. Costain.	9	18
""			
16	THE LITTLE WORLD OF DON CAMILLO, by Giovanni Guareschi.	11	26
This		March 11, 1951	Last	Weeks
Week		Non-Fiction	Week	On List
""				
1	KON-TIKI, by Thor Heyerdahl.		1	26
""				
2	THE FAR SIDE OF PARADISE, by Arthur Mizener.		3	5
""				
3	LOOK YOUNGER, LIVE LONGER, by Gayelord Hauser.		2	48
""				
4	ROMMEL, THE DESERT FOX, by Desmond Young.		6	6
""				
5	BOSWELL'S LONDON JOURNAL, by Frederick A. Pottle.		5	16
""				
6	OUT OF THIS WORLD, by Lowell Thomas Jr.		4	13
""				
7	MY SIX CONVICTS, by Donald Powell Wilson.		8	4
""				
8	THE RIDDLE OF MACARTHUR, by John Gunther.		7	3
""				
9	DECLINE AND FALL OF PRACTICALLY EVERYBODY, by Will Cuppy.		9	14
""				
10	HENRY GROSS AND HIS DOWSING ROD, by Kenneth Lewis Roberts.		13	5
""				
11	THE HINGE OF FATE, by Winston Churchill.		10	13
""				
12	COURTROOM, by Quentin Reynolds.		12	39
""				
13	UNPOPULAR ESSAYS, by Bertrand Russell.		--	1
""				
14	THE LOYALTY OF FREE MEN, by Alan Barth.		11	3
""				
15	INFORMATION PLEASE ALMANAC 1951, by John Kieran.		--	4
""				
16	SCIENCE AND COMMON SENSE, by James B. Conant.		--	1
