This	July 19, 1959	Last	Weeks
Week	Fiction	Week	On List
""			
1	EXODUS, by Leon Uris. (Doubleday.)	1	41
""			
2	LADY CHATTERLY'S LOVER, by D.H. Lawrence. (Random House.)	2	10
""			
""	THE UGLY AMERICAN, by William J. Lederer and Eugene Burdick. (W.W. Norton		
3		3	39
""	and Company.)		
""			
4	DOCTOR ZHIVAGO, by Boris Pasternak. (Random House Inc.)	4	43
""			
""	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell. (Doubleday and		
5		5	16
""	Company.)		
""			
6	CELIA GARTH, by Gwen Bristow. (Thomas Crowell Co.)	6	9
""			
7	NINE COACHES WAITING, by Mary Stewart. (M.S. Mill/William Morrow.)	8	21
""			
8	MRS. ARRIS GOES TO PARIS, by Paul Gallico. (Doubleday and Company, Inc.)	10	30
""			
9	LOLITA, by Vladimir Nabokov. (G.P. Putnam's Sons.)	7	47
""			
10	THE LIGHT INFANTRY BALL, by Hamilton Basso. (Doubleday.)	11	5
""			
11	CALIFORNIA STREET, by Niven Busch. (Simon and Schuster.)	9	4
""			
12	THE YOUNG TITAN, by F. Van Wyck Mason. (Doubleday.)	13	2
""			
13	THE LION, by Joseph Kessel. (Alfred A. Knopf.)	14	2
""			
14	IN THE WRONG RAIN, by Robert P. Kirsch. (Little, Brown and Co.)	16	2
""			
15	THE CHINESE BOX, by Katherine Wigmore Eyre. (Appleton-Century-crofts, Inc.)	12	10
""			
16	TEMPO DI ROMA, by Alexis Curvers. (McGraw.)	--	2
This	July 19, 1959	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE STATUS SEEKERS, by Vance Packard. (David McKay.)	1	10
""			
2	THE YEARS WITH ROSS, by James Thurber. ( Little, Brown and Company.)	2	6
""			
3	MINE ENEMY GROWS OLDER, by Alexander King. (Simon and Schuster.)	3	23
""			
""	HOW I TURNED $1,000 INTO A MILLION IN REAL ESTATE -- IN MY SPARE		
4		5	14
""	TIME, by William Nickerson. (Simon and Schuster.)		
""			
5	ONLY IN AMERICA, by Harry Lewis Golden. (World Publishing Co.)	4	51
""			
6	MY BROTHER WAS AN ONLY CHILD, by Jack Douglas. (E.P. Dutton and Co.)	6	13
""			
7	FOLK MEDICINE, by Deforest Clinton Jarvis. (Henry Holt and Company, Inc.)	8	14
""			
8	TWIXT TWELVE AND TWENTY, by Pat Boone. (Prentice-Hall, Inc.)	13	30
""			
9	FOR 2C PLAIN, by Harry Golden. (World Publishing.)	--	1
""			
10	ELIZABETH THE GREAT, by Elizabeth Jenkins. (Coward McCann.)	10	18
""			
11	RICHARD NIXON, by Earl Mazo. (Harper and Brothers.)	--	1
""			
""	SENATOR JOE McCARTHY, by Richard H. Rovere. (Harcourt, Brace and		
12		16	2
""	Company.)		
""			
""	WHAT WE MUST KNOW ABOUT COMMUNISM, by Harry and Bonaro		
13		9	23
""	Overstreet. (W.W. Norton and Co, Inc.)		
""			
14	THE HOUSE OF INTELLECT, by Jacques Barzun. (Harper and Brothers.)	7	7
""			
""	THE LITTLE WORLD OF STANTON DELAPLANE, by Stanton Delaplane.		
15		12	5
""	(Coward-McCann.)		
""			
16	DAY BEFORE YESTERDAY, by Eleanor Butler Roosevelt. (Doubleday.)	14	2
