This	May 2, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	NOT AS A STRANGER, by Morton Thompson.	1	15
""			
2	BLESS THIS HOUSE, by Norah Lofts.	3	4
""			
3	SAYONARA, by James A. Michener.	2	12
""			
4	AWAY ALL BOATS, by Kenneth Dodson.	4	7
""			
5	THE NIGHT OF THE HUNTER, by Davis Grubb.	5	8
""			
6	LORD VANITY, by Samuel Shellabarger.	6	26
""			
7	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	7	52
""			
8	BHOWANI JUNCTION, by John Masters.	8	3
""			
9	TOMORROW!, by Philip Wylie.	9	13
""			
10	THE SPIDER KING, by Lawrence Schoonover.	13	3
""			
11	THE DESPERATE HOURS, by Joseph Hayes.	10	5
""			
12	THE LADY OF ARLINGTON, by Harnett T. Kane.	11	29
""			
13	THE FEMALE, by Paul Wellman.	14	29
""			
14	RAINBOW ON THE ROAD, by Esther Forbes.	15	11
""			
15	LOVE IS A BRIDGE, by Charles Bracelen Flood.	12	24
""			
16	BATTLE CRY, by Leon Uris.	16	51
This	May 2, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	2	78
""			
2	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	1	9
""			
3	SECOND TREE FROM THE CORNER, by E.B. White.	3	13
""			
4	LIFE IS WORTH LIVING, by Fulton J. Sheen.	4	26
""			
5	SEVEN YEARS IN TIBET, by Heinrich Harrer.	8	7
""			
6	THE CONQUEST OF EVEREST, by Sir John Hunt.	7	13
""			
7	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	5	7
""			
8	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	9	6
""			
9	THE MAN WHO NEVER WAS, by Ewen Montagu.	6	11
""			
10	MINUTES OF THE LAST MEETING, by Gene Fowler.	11	2
""			
11	McCARTHY AND HIS ENEMIES, by William F. Buckley and Brent Bozell.	10	3
""			
12	FIRE IN THE ASHES, by Theodore Harold White.	14	22
""			
13	FLYING SAUCERS HAVE LANDED, by Desmond Leslie and George Adamski.	--	7
""			
14	THE TWENTY-YEAR REVOLUTION, by Chesly Manly.	12	6
""			
15	THE TAFT STORY, by William S. White.	--	1
""			
16	AMBASSADOR'S REPORT, by Chester Bowles.	13	15
