This	November 30, 1958	Last	Weeks
Week	Fiction	Week	On List
""			
1	DOCTOR ZHIVAGO, by Boris Pasternak. (Random House Inc.)	1	10
""			
2	LOLITA, by Vladimir Nabokov. (G.P. Putnam's Sons.)	2	14
""			
""	AROUND THE WORLD WITH AUNTIE MAME, by Patrick Dennis. (Harcourt,		
3		3	14
""	Brace and Company.)		
""			
""	WOMEN AND THOMAS HARROW, by John P. Marquand. (Little, Brown and		
4		4	8
""	Company.)		
""			
5	ANATOMY OF A MURDER, by Robert Traver. (St. Martin's.)	5	45
""			
6	THE BEST OF EVERYTHING, by Rona Jaffe. (Simon and Schuster.)	6	11
""			
7	EXODUS, by Leon Uris. (Doubleday.)	7	8
""			
""	THE UGLY AMERICAN, by William J. Lederer and Eugene Burdick. (W.W. Norton		
8		9	6
""	and Company.)		
""			
9	ANGELIQUE, by Sergeanne Golon. (J.B. Lippincott.)	8	8
""			
10	VICTORINE, by Frances Parkinson Keyes. (Julian Messner, Inc.)	14	3
""			
11	OUR MAN IN HAVANA, by Graham Greene. (William Heinemann Ltd.)	15	3
""			
12	THE MOUNTAIN IS YOUNG, by Han Suyin. (Jonathan Cape.)	13	4
""			
13	THE RAINBOW AND THE ROSE, by Nevil Shute. (William Morrow.)	11	3
""			
14	THE ENEMY CAMP, by Jerome Weidman. (Random House.)	10	22
""			
15	THE KING MUST DIE, by Mary Renault. (Pantheon.)	12	19
""			
16	ASK ME NO MORE, by Pamela Frankau. (Heinemann.)	--	1
This	November 30, 1958	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ONLY IN AMERICA, by Harry Lewis Golden. (World Publishing Co.)	1	18
""			
2	AKU-AKU, by Thor Heyerdahl. (Rand McNally and Company.)	2	11
""			
3	"BAA BAA BLACK SHEEP, by Gregory ""Pappy"" Boyington. (Wilson Press.)"	3	16
""			
""	THE MEMOIRS OF FIELD-MARSHALL MONTGOMERY, by Field Marshall		
4		5	4
""	Montgomery. (World Publishing Co.)		
""			
5	ON MY OWN, by Eleanor Roosevelt. (Harper and Brothers.)	4	9
""			
""	THE AFFLUENT SOCIETY, by John Kenneth Galbraith. (Houghton Mifflin		
6		7	24
""	Company.)		
""			
7	INSIDE RUSSIA TODAY, by John Gunther. (Harper and Brothers.)	6	32
""			
8	KIDS SAY THE DARNDEST THINGS!, by Art Linkletter. (Prentice Hall Inc.)	9	54
""			
9	THE THREE EDWARDS, by Thomas B. Costain. (Doubleday and Company.)	14	3
""			
""	THE NEW TESTAMENT IN MODERN ENGLISH, by J.B. Phillips. (MacMillan		
10		8	8
""	Company.)		
""			
11	ABANDON SHIP!, by Richard F. Newcomb. (Henry Holt and Company.)	10	8
""			
12	THE GREAT CHICAGO FIRE, by Robert Cromie. (McGraw-Hill.)	12	5
""			
13	HERBLOCK'S SPECIAL FOR TODAY, by Herbert Block. (Simon and Schuster.)	15	3
""			
14	MISTRESS TO AN AGE, by J. Christopher Herold. (Bobbs-Merrill.)	--	1
""			
15	THE PROUD POSSESSORS, by Aline B. Saarinen. (Random House.)	--	1
""			
16	MORE IN SORROW, by Wolcott Gibbs. (Henry Holt and Company.)	--	4
