This	January 10, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	LORD VANITY, by Samuel Shellabarger.	1	10
""			
2	BEYOND THIS PLACE, by A.J. Cronin.	2	24
""			
3	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	3	36
""			
4	TIME AND TIME AGAIN, by James Hilton.	4	19
""			
5	THE ROBE, by Lloyd C. Douglas.	9	171
""			
6	BATTLE CRY, by Leon Uris.	6	35
""			
7	THE LADY OF ARLINGTON, by Harnett T. Kane.	5	13
""			
8	DESIREE, by Annemarie Selinko.	11	50
""			
9	THE FEMALE, by Paul Wellman.	7	13
""			
10	THE DOCTORS, by Andre Soubiran.	10	6
""			
11	TOO LATE THE PHALAROPE, by Alan Paton.	8	19
""			
12	THE SILVER CHALICE, by Thomas B. Costain.	13	66
""			
13	THE UNCONQUERED, by Ben Ames Williams.	12	18
""			
14	LOVE IS A BRIDGE, by Charles Bracelen Flood.	16	8
""			
15	THE SHADOWS OF THE IMAGES, by William E. Barrett.	14	8
""			
16	A PASSAGE IN THE NIGHT, by Sholem Asch.	15	6
This	January 10, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	62
""			
2	LIFE IS WORTH LIVING, by Fulton J. Sheen.	2	10
""			
3	TRIUMPH AND TRAGEDY, by Winston S. Churchill.	3	4
""			
4	THE SPIRIT OF ST. LOUIS, by Charles Lindbergh.	4	15
""			
5	LELIA, by Andre Maurois.	6	16
""			
6	THE SECRET DIARY OF HAROLD L. ICKES, by Harold L. Ickes.	5	4
""			
7	THE AGE OF THE MOGULS, by Stewart H. Holbrook.	7	11
""			
8	FIRE IN THE ASHES, by Theodore Harold White.	9	6
""			
9	GONE WITH THE WINDSORS, by Iles Brody.	10	15
""			
10	PERIOD PIECE, by Gwen Raverat.	11	19
""			
11	A MAN CALLED PETER, by Catherine Marshall.	8	116
""			
12	FABULOUS CHICAGO, by Emmett Dedmon.	13	8
""			
13	MAN, TIME AND FOSSILS, by Ruth E. Moore.	14	5
""			
14	HOLY BIBLE: REVISED STANDARD VERSION.	16	63
""			
15	THE GREATEST FAITH EVER KNOWN, by Fulton Oursler.	15	6
""			
16	FLYING SAUCERS FROM OUTER SPACE, by Donald Keyhoe.	--	9
