This	March 25, 1956	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE LAST HURRAH, by Edwin O'Connor. (Little, Brown and Co.)	3	5
""			
2	ANDERSONVILLE, by MacKinlay Kantor. (Cleveland: World Publishing.)	1	21
""			
3	TEN NORTH FREDERICK, by John O'Hara. (Random House.)	2	16
""			
4	MARJORIE MORNINGSTAR, by Herman Wouk. (Doubleday and Company, Inc.)	4	28
""			
5	AUNTIE MAME, by Patrick Dennis. (Vanguard Press.)	5	54
""			
6	ISLAND IN THE SUN, by Alec Waugh. (Farrar Straus and Giroux.)	6	10
""			
7	CASH McCALL, by Cameron Hawley. (Houghton and Mifflin.)	7	18
""			
8	H.M.S. ULYSSES, by Alistair MacLean. (Collins Clear-Type Press.)	9	9
""			
9	BOON ISLAND, by Kenneth Roberts. (Doubleday and Company.)	8	10
""			
""	THE MAN IN THE GRAY FLANNEL SUIT, by Sloan Wilson. (Simon and		
10		13	35
""	Schuster.)		
""			
11	TENDER VICTORY, by Taylor Caldwell. (McGraw-Hill.)	11	9
""			
12	ASPECTS OF LOVE, by David Garnett. (Harcourt Brace.)	10	6
""			
13	AN EPISODE OF SPARROWS, by Rumer Godden. (Viking Press.)	12	15
""			
14	THE CAPRI LETTERS, by Mario Soldati. (Alfred A. Knopf.)	16	4
""			
15	NATIVE STONE, by Edwin Gilbert. (Doubleday and Company, Inc.)	14	4
""			
16	THE QUIET AMERICAN, by Graham Greene. (Viking Press.)	--	1
This	March 25, 1956	Last	Weeks
Week	Non-Fiction	Week	On List
""			
""	THE SEARCH FOR BRIDEY MURPHY, by Morey Bernstein. (Doubleday and		
1		1	10
""	Company.)		
""			
2	GIFT FROM THE SEA, by Anne Morrow Lindbergh. (Pantheon Books.)	2	53
""			
3	A NIGHT TO REMEMBER, by Walter Lord. (Henry Holt and Company.)	3	16
""			
4	PROFILES IN COURAGE, by John F. Kennedy. (Harper and Brothers.)	5	10
""			
""	THE SCROLLS FROM THE DEAD SEA, by Edmund Wilson. (Oxford University		
5		6	20
""	Press.)		
""			
6	INSIDE AFRICA, by John Gunther. (Harper and Brothers.)	4	25
""			
7	LOVE OR PERISH, by Smiley Blanton. (Simon and Schuster.)	7	6
""			
8	MEMOIRS, Vol. II, by Harry S. Truman. (Doubleday and Co.)	14	2
""			
9	THE SECRET OF THE HITTITES, by C.W. Ceram. (Alfred A Knopf.)	10	9
""			
""	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale. (Prentice-Hall,		
10		8	177
""	Inc.)		
""			
11	HOW TO LIVE 365 DAYS A YEAR, by John A. Schindler. (Prentice-Hall, Inc.)	9	53
""			
12	ELOISE, by Kay Thompson and Hilary Knight. (Simon and Schuster.)	12	6
""			
13	THE EDGE OF THE SEA, by Rachel Carson. (Houghton Mifflin.)	11	19
""			
14	WHAT I THINK, by Adlai E. Stevenson. (Harper and Brothers.)	15	2
""			
15	THE ATLANTIC BATTLE WON, by Samuel Eliot Morison. (Little, Brown and Co.)	--	1
""			
16	SURPRISED BY JOY, by C.S. Lewis. (Harcourt, Brace and Co.)	--	3
