This	August 29, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	MARY ANNE, by Daphne du Maurier.	1	11
""			
2	NOT AS A STRANGER, by Morton Thompson.	2	32
""			
3	SWEET THURSDAY, by John Steinbeck.	3	10
""			
4	THE ROYAL BOX, by Frances Parkinson Keyes.	4	10
""			
5	A FABLE, by William Faulkner.	6	2
""			
6	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	5	16
""			
7	THE DOLLMAKER, by Harriette Arnow.	7	16
""			
8	THE FALL OF A TITAN, by Igor Gouzenko.	8	4
""			
9	BLESS THIS HOUSE, by Norah Lofts.	10	21
""			
10	A TIME TO LOVE AND A TIME TO DIE, by Erich Maria Remarque.	9	12
""			
11	THE HEALING OATH, by Andre Soubiran.	12	2
""			
12	MR. HOBBS' VACATION, by Edward Streeter.	15	12
""			
13	DON CAMILLO'S DILEMMA, by Giovanni Guareschi.	11	6
""			
14	THE SONG OF RUTH, by Frank G. Slaughter.	14	17
""			
15	AWAY ALL BOATS, by Kenneth Dodson.	13	24
""			
16	THE TUNNEL OF LOVE, by Peter De Vries.	--	8
This	August 29, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	95
""			
2	I'LL CRY TOMORROW, by Lillian Roth.	2	12
""			
3	A CHILD OF THE CENTURY, by Ben Hecht.	3	9
""			
4	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	4	26
""			
5	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	5	24
""			
6	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	8	23
""			
7	MINUTES OF THE LAST MEETING, by Gene Fowler.	6	19
""			
8	MADAME DE POMPADOUR, by Nancy Mitford.	7	10
""			
9	THE REASON WHY, by Cecil Woodham-Smith.	9	15
""			
10	TNT: THE POWER WITHIN YOU, by Claude M. and Harold Sherman Bristol.	11	7
""			
11	CELL 2455 DEATH ROW, by Caryl Chessman.	10	14
""			
12	OF WHALES AND MEN, by R.B. Robertson.	14	8
""			
13	FUTURE INDEFINITE, by Noel Coward.	12	4
""			
14	JOURNEY TO THE FAR AMAZON, by Alain Gheerbrant.	15	8
""			
15	REACH FOR THE SKY, by Paul Brickhill.	--	1
""			
16	A STILLNESS AT APPOMATTOX, by Bruce Catton.	--	10
