This	August 17, 1952	Last	Week
Week	Fiction	Week	On Li
""			
1	THE CAINE MUTINY, by Herman Wouk.	1	70
""			
2	THE SILVER CHALICE, by Thomas B. Costain.	6	3
""			
3	THE HOUSES IN BETWEEN, by Howard Spring.	2	14
""			
4	MATADOR, by Barnaby Conrad.	3	6
""			
5	MY COUSIN RACHEL, by Daphne du Maurier.	5	27
""			
6	THE GOWN OF GLORY, by Agnes Sligh Turnbull.	4	20
""			
7	THE HIDDEN FLOWER, by Pearl S. Buck.	8	11
""			
8	THE CRUEL SEA, by Nicholas Monsarrat.	9	53
""			
9	THE GOLDEN HAND, by Edith Simon.	11	14
""			
10	THE SARACEN BLADE, by Frank Yerby.	7	17
""			
11	CATHERINE CARTER, by Pamela Hansford Johnson.	12	2
""			
12	THE ALEXANDRIANS, by Charles Mills.	10	9
""			
13	LAMENT FOR FOUR VIRGINS, by Lael Tucker.	--	1
""			
14	SCALPEL, by Horace McCoy.	13	5
""			
15	S P Q R, by Paul Hyde Bonner.	--	17
""			
16	THE SHINING TIDES, by Win Brooks.	14	3
This	August 17, 1952	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	WITNESS, by Whittaker Chambers.	1	12
""			
2	THE SEA AROUND US, by Rachel Carson.	2	57
""			
3	A MAN CALLED PETER, by Catherine Marshall.	3	43
""			
4	ANNE FRANK:THE DIARY OF A YOUNG GIRL, by Anne Frank.	4	7
""			
5	WINDOWS FOR THE CROWN PRICE, by Elizabeth Gray Vining.	5	12
""			
6	THE THURBER ALBUM, by James Thurber.	6	9
""			
7	JOURNEY TO THE FAR PACIFIC, by Thomas E. Dewey.	9	3
""			
8	POSTMARKED MOSCOW, by Lydia Kirk.	11	2
""			
9	SUBMARINE, by Edward L. Beach.	7	5
""			
10	ADLAI E. STEVENSON OF ILLINOIS, by Noel F. Busch.	--	1
""			
11	U.S.A. CONFIDENTIAL, by Jack Lait and Lee Mortimer.	8	22
""			
12	UNDER THE SEA-WIND, by Rachel Carson.	10	17
""			
13	GIVE THE LADY WHAT SHE WANTS, by Lloyd Wendt and Herman Kogan.	15	10
""			
14	IN ONE EAR, by Eric Severeid.	14	2
""			
15	ADVENTURES IN TWO WORLDS, by A.J. Cronin.	16	23
""			
16	WINSTON CHURCHILL, by Robert Lewis Taylor.	12	7
