This	January 16, 1955	Last	Weeks
Week	Fiction	Week	On List
""			
""	THE VIEW FROM POMPEY'S HEAD, by Hamilton Basso. (Doubleday and Co.,		
""	Inc.)		
""			
2	LOVE IS ETERNAL, by Irving Stone. (Doubleday.)	2	20
""			
3	NO TIME FOR SERGEANTS, by Mac Hyman. (Random House, Inc.)	3	13
""			
4	KATHERINE, by Anya Seton. (Houghton Mifflin.)	4	14
""			
5	SOLDIER OF FORTUNE, by Ernest Kellogg Gann. (W. Sloane Associates.)	5	13
""			
6	NOT AS A STRANGER, by Morton Thompson. (Charles Scribner's Sons.)	7	52
""			
7	MY BROTHER'S KEEPER, by Marcia Davenport. (Scribner.)	6	10
""			
""	GOOD MORNING, MISS DOVE, by Frances Gray Patton. (Curtis Publishing		
""	Company.)		
""			
9	HADRIAN'S MEMOIRS, by Marguerite Yourcenar. (Farrar, Straus and Young.)	10	6
""			
10	BENTON'S ROW, by Frank Yerby. (Dial Press.)	9	5
""			
11	BLUE HURRICANE, by F. Van Wyck Mason. (Lippincott.)	12	9
""			
12	MARY ANNE, by Daphne du Maurier. (Doubleday and Company.)	11	31
""			
13	REUNION, by Merle Miller. (Viking.)	--	7
""			
14	THE FALL OF A TITAN, by Igor Gouzenko. (W.W. Norton and Co.)	13	23
""			
15	THE BULLS OF PARRAL, by Marguerite Steen. (Doubleday and Company, Inc.)	14	5
""			
16	THE SEARCHERS, by Alan Lemay. (Harper and Brothers.)	--	1
This	January 16, 1955	Last	Weeks
Week	Non-Fiction	Week	On List
""			
""	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale. (Prentice-Hall,		
1		1	115
""	Inc.)		
""			
2	THE TUMULT AND THE SHOUTING, by Grantland Rice. (A. S. Barnes and Co.)	2	9
""			
3	ABRAHAM LINCOLN, by Carl Sandburg. ( Harcourt, Brace.)	3	14
""			
""	THE SATURDAY EVENING POST TREASURY, by Roger Butterfield. (Simon and		
4		4	9
""	Schuster.)		
""			
5	MY SEVERAL WORLDS, by Pearl S. Buck. (John Day Company.)	6	8
""			
6	I'LL CRY TOMORROW, by Lillian Roth. (Frederick Fell, Inc.)	5	32
""			
7	THE PRAYERS OF PETER MARSHALL, by Catherine Marshall. (McGraw-Hill.)	7	8
""			
8	TREADMILL TO OBLIVION, by Fred Allen. (Little, Brown and Co.)	10	4
""			
""	R.S.V.P. ELSA MAXWELL'S OWN STORY, by Elsa Maxwell. (Little, Brown and		
9		8	10
""	Co.)		
""			
10	MELBOURNE, by David Cecil. (Grosset and Dunlap.)	9	15
""			
11	THE WHITE GATE, by Mary Ellen Chase. (W. W. Norton and Co.)	12	4
""			
""	AN ENCYCLOPEDIA OF MODERN AMERICAN HUMOR, by Bennett Cerf.		
12		11	5
""	(Doubleday and Co.)		
""			
13	AN ALMANAC OF LIBERTY, by William O. Douglas. (Doubleday and Co.)	13	5
""			
""	GERTRUDE LAWRENCE AS MRS. A., by Richard Stoddard Aldrich. (Greystone		
14		--	1
""	Press.)		
""			
""	THE LOVE LETTERS OF PHYLLIS McGINLEY, by Phyllis McGinley. (Viking		
15		--	3
""	Press.)		
""			
16	ATOMS IN THE FAMILY, by Laura Fermi. (University of Chicago Press.)	--	4
