This	May 9, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	NOT AS A STRANGER, by Morton Thompson.	1	16
""			
2	BLESS THIS HOUSE, by Norah Lofts.	2	5
""			
3	SAYONARA, by James A. Michener.	3	13
""			
4	AWAY ALL BOATS, by Kenneth Dodson.	4	8
""			
5	THE NIGHT OF THE HUNTER, by Davis Grubb.	5	9
""			
6	BHOWANI JUNCTION, by John Masters.	8	4
""			
7	LORD VANITY, by Samuel Shellabarger.	6	27
""			
8	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	7	53
""			
9	THE DESPERATE HOURS, by Joseph Hayes.	11	6
""			
10	THE SPIDER KING, by Lawrence Schoonover.	10	4
""			
11	THE GIPSY IN THE PARLOUR, by Margery Sharp.	--	1
""			
12	THE SONG OF RUTH, by Frank G. Slaughter.	--	1
""			
13	TOMORROW!, by Philip Wylie.	9	14
""			
14	THE FEMALE, by Paul Wellman.	13	30
""			
15	THE MAGNIFICENT BASTARDS, by Lucy Herndon Crockett.	--	1
""			
16	BATTLE CRY, by Leon Uris.	16	52
This	May 9, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	79
""			
2	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	2	10
""			
3	SECOND TREE FROM THE CORNER, by E.B. White.	3	14
""			
4	LIFE IS WORTH LIVING, by Fulton J. Sheen.	4	27
""			
5	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	7	8
""			
6	MINUTES OF THE LAST MEETING, by Gene Fowler.	10	3
""			
7	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	8	7
""			
8	McCARTHY AND HIS ENEMIES, by William F. Buckley and Brent Bozell.	11	4
""			
9	THE MAN WHO NEVER WAS, by Ewen Montagu.	9	12
""			
10	SEVEN YEARS IN TIBET, by Heinrich Harrer.	5	8
""			
11	THE CONQUEST OF EVEREST, by Sir John Hunt.	6	14
""			
12	THE TAFT STORY, by William S. White.	15	2
""			
13	THE TWENTY-YEAR REVOLUTION, by Chesly Manly.	14	7
""			
14	AMBASSADOR'S REPORT, by Chester Bowles.	16	16
""			
15	FIRE IN THE ASHES, by Theodore Harold White.	12	23
""			
16	FLYING SAUCERS HAVE LANDED, by Desmond Leslie and George Adamski.	13	8
