This	October 19, 1952	Last	Week
Week	Fiction	Week	On Li
""			
1	THE SILVER CHALICE, by Thomas B. Costain.	1	12
""			
2	EAST OF EDEN, by John Steinbeck.	3	3
""			
3	THE CAINE MUTINY, by Herman Wouk.	2	79
""			
4	THE OLD MAN AND THE SEA, by Ernest Hemingway.	4	6
""			
5	GIANT, by Edna Ferber.	12	2
""			
6	THE HOUSES IN BETWEEN, by Howard Spring.	5	23
""			
7	MATADOR, by Barnaby Conrad.	6	15
""			
8	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	9	8
""			
9	THE GOWN OF GLORY, by Agnes Sligh Turnbull.	7	29
""			
10	THE DISTANT SHORE, by Jan de Hartog.	8	6
""			
11	THE SINNER OF SAINT AMBROSE, by Robert Reynolds.	11	8
""			
12	MY COUSIN RACHEL, by Daphne du Maurier.	15	36
""			
13	THE FAR COUNTRY, by Nevil Shute.	10	4
""			
14	HAPPY RETURN, by Angela Mackail Thirkell.	13	2
""			
15	HEMLOCK AND AFTER, by Angus Wilson.	--	1
""			
16	SCOLLAY SQUARE, by Pearl Schiff.	--	2
This	October 19, 1952	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	A MAN CALLED PETER, by Catherine Marshall.	1	52
""			
2	TALLULAH, by Tallulah Bankhead.	--	1
""			
3	THE SEA AROUND US, by Rachel Carson.	2	66
""			
4	ANNE FRANK:THE DIARY OF A YOUNG GIRL, by Anne Frank.	4	16
""			
5	THE GLITTER AND THE GOLD, by Consuelo Vanderbilt Balson.	5	3
""			
6	WITNESS, by Whittaker Chambers.	3	21
""			
7	HOLY BIBLE: REVISED STANDARD VERSION.	--	1
""			
8	THE GREAT ENTERPRISE, by H.A. Overstreet.	10	8
""			
9	BEYOND THE HIMALAYAS, by William O. Douglas.	--	1
""			
10	I GO POGO, by Walt Kelly.	13	5
""			
11	FROM UNDER MY HAT, by Hedda Hopper.	14	4
""			
""	HOW TO SUCCEED IN BUISNESS WITHOUT REALLY TRYING, by Shepherd		
12	Mead.	11	6
""			
13	POSTMARKED MOSCOW, by Lydia Kirk.	7	11
""			
14	WINDOWS FOR THE CROWN PRICE, by Elizabeth Gray Vining.	6	21
""			
15	SUBMARINE, by Edward L. Beach.	12	14
""			
16	ADLAI E. STEVENSON OF ILLINOIS, by Noel F. Busch.	9	10
