This	August 5, 1951	Last	Weeks
Week	Fiction	Week	On List
""			
1	FROM HERE TO ETERNITY, by James Jones.	1	22
""			
2	THE CAINE MUTINY, by Herman Wouk.	2	16
""			
3	RETURN TO PARADISE, by James A. Michener.	3	14
""			
4	PROUD NEW FLAGS, by F. Van Wyck Mason.	6	14
""			
5	A WOMAN CALLED FANCY, by Frank Yerby.	4	11
""			
6	THE TROUBLED AIR, by Irwin Shaw.	7	7
""			
7	THE FOUNDLING, by Francis Cardinal Spellman.	5	9
""			
8	THE CATCHER IN THE RYE, by J.D. Salinger.	14	2
""			
9	THE HIGH CALLING, by James Street.	10	6
""			
10	THIS IS THE HOUR, by Lion Feuchtwanger.	8	9
""			
11	SCANDALOUS MRS.BLACKFORD, by Harnett T. Kane and Victor Leclerc.	12	6
""			
12	APRIL SNOW, by Lillian Budd.	9	8
""			
13	MOULIN ROUGE, by Pierre La Mure.	15	17
""			
14	OLD HERBACEOUS, by Reginald Arkell.	11	20
""			
15	NIGHT AT THE VULCAN, by Ngaio Marsh.	--	1
""			
16	FESTIVAL, by J.B. Priestley.	13	16
This		August 5, 1951	Last	Weeks
Week		Non-Fiction	Week	On List
""				
1	KON-TIKI, by Thor Heyerdahl.		1	47
""				
2	WASHINGTON CONFIDENTIAL, by Jack Lait and Lee Mortimer.		2	21
""				
3	A SOLDIER'S STORY, by Omar Nelson Bradley.		4	6
""				
4	THE SEA AROUND US, by Rachel Carson.		5	3
""				
5	A KING'S STORY, by Edward Windsor, Duke of Windsor.		3	15
""				
6	HIS EYE IS ON THE SPARROW, by Ethel Waters and Charles Samuels.		6	20
""				
7	BETTER HOMES AND GARDENS GARDEN BOOK, by Fleeta Brownell		7	16
""	Woodroffe.			
""				
8	CRIME IN AMERICA, by Estes Kefauver.		13	2
""				
9	THE CHINA STORY, by Freda Utley.		9	10
""				
10	COMMUNISM, DEMOCRACY, AND CATHOLIC POWER, by Paul Blanshard.		8	9
""				
11	MY SIX CONVICTS, by Donald Powell Wilson.		11	25
""				
12	WE BARRYMORES, by Lionel Barrymore and Cameron Shipp.		15	10
""				
13	FIGHT AGAINST FEARS, by Lucy Freeman.		12	2
""				
14	NATURE'S WAYS, by Roy Chapman Andrews.		10	3
""				
15	LIFEMANSHIP, by Stephen Potter.		14	2
""				
16	THE NEW JOY OF COOKING, by Irma S. Rombauer and Marion Rombauer		--	1
""	Becker.			
