This	March 9, 1952	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE CAINE MUTINY, by Herman Wouk.	1	47
""			
2	MY COUSIN RACHEL, by Daphne du Maurier.	2	4
""			
3	THE CRUEL SEA, by Nicholas Monsarrat.	3	30
""			
4	SPARK OF LIFE, by Erich Maria Remarque.	4	4
""			
5	THE PRESIDENT'S LADY, by Irving Stone.	5	22
""			
6	THE END OF THE AFFAIR, by Graham Greene.	7	18
""			
7	MELVILLE GOODWIN, USA, by John Marquand.	6	21
""			
8	FROM HERE TO ETERNITY, by James Jones.	8	53
""			
9	THE SWIMMING POOL, by Mary Roberts Rinehart.	10	5
""			
10	MOSES, by Sholem Asch.	11	22
""			
11	MITTEE, by Daphne Rooke.	14	3
""			
12	JEFFERSON SELLECK, by Carl Jonas.	9	5
""			
13	WINDS OF MORNING, by Harold Lenoir Davis.	16	7
""			
14	HIMALAYAN ASSIGNMENT, by Francis Van Wyck Mason.	13	3
""			
15	JUMPING JUPITER, by Ernestine Gilbreth Carey.	--	1
""			
16	BARABBAS, by Par Lagerkvist.	15	7
This	March 9, 1952	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE SEA AROUND US, by Rachel Carson.	1	34
""			
2	A MAN CALLED PETER, by Catherine Marshall.	2	20
""			
3	THE NEW YORKER 25th ANNIVERSARY ALBUM, by New Yorker Magazine.	4	19
""			
4	SHOW BIZ, by Abel Green and Joe Laurie Jr.	5	15
""			
5	I LED 3 LIVES, by Herbert A. Philbrick.	7	2
""			
6	DANCE TO THE PIPER, by Agnes de Mille.	3	6
""			
7	THE GREATEST BOOK EVER WRITTEN, by Fulton Oursler.	6	13
""			
8	GODS, GRAVES AND SCHOLARS, by C.W. Ceram.	10	15
""			
9	EISENHOWER, by John Gunther.	8	4
""			
10	STRANGE LANDS AND FRIENDLY PEOPLES, by William O. Douglas.	9	16
""			
11	CLOSING THE RING, by Winston S. Churchill.	11	14
""			
12	THROUGH CHARLEY'S DOOR, by Emily Kimbrough.	--	1
""			
13	SOUTHERN PACIFIC, by Neill C. Wilson and Frank J. Taylor.	--	1
""			
14	THE FORRESTAL DIARIES, by Walter Millis and E.S. Duffield.	14	20
""			
15	KON-TIKI, by Thor Heyerdahl.	13	78
""			
16	A FOREIGN POLICY FOR AMERICANS, by Robert A. Taft.	12	14
