This	October 10, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	MARY ANNE, by Daphne du Maurier.	1	17
""			
2	LOVE IS ETERNAL, by Irving Stone.	3	6
""			
3	NOT AS A STRANGER, by Morton Thompson.	2	38
""			
4	SWEET THURSDAY, by John Steinbeck.	4	16
""			
5	A FABLE, by William Faulkner.	5	8
""			
6	THE ROYAL BOX, by Frances Parkinson Keyes.	6	16
""			
7	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	7	22
""			
8	THE FALL OF A TITAN, by Igor Gouzenko.	8	10
""			
9	THE DOLLMAKER, by Harriette Arnow.	9	22
""			
10	THE LONG SHIPS, by Frans G. Bengtsson.	12	2
""			
11	THE IRON MAIDEN, by Edwin Lanham.	13	4
""			
12	THE HEALING OATH, by Andre Soubiran.	10	8
""			
13	THE RAMAYANA, by Aubrey Menen.	--	1
""			
14	THE EGYPTIAN, by Mika Waltari.	--	58
""			
15	AWAY ALL BOATS, by Kenneth Dodson.	--	28
""			
16	THE SONG OF RUTH, by Frank G. Slaughter.	--	21
This	October 10, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	101
""			
2	I'LL CRY TOMORROW, by Lillian Roth.	2	18
""			
3	CALL TO GREATNESS, by Adlai E. Stevenson.	3	5
""			
4	A CHILD OF THE CENTURY, by Ben Hecht.	4	15
""			
5	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	5	30
""			
6	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	6	32
""			
7	TNT: THE POWER WITHIN YOU, by Claude M. and Harold Sherman Bristol.	7	13
""			
8	THE ROOSEVELT FAMILY OF SAGAMORE HILL, by Hermann Hagedorn.	8	6
""			
9	MADAME DE POMPADOUR, by Nancy Mitford.	11	16
""			
10	McCARTHY AND THE COMMUNISTS, by James Rorty and Moshe Decter.	10	3
""			
11	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	9	29
""			
12	A PHILOSOPHY FOR OUR TIME, by Bernard M. Baruch.	12	4
""			
13	CELL 2455 DEATH ROW, by Caryl Chessman.	16	20
""			
14	MELBOURNE, by David Cecil.	--	1
""			
15	THE WILDER SHORES OF LOVE, by Lesley Blanch.	--	1
""			
16	REACH FOR THE SKY, by Paul Brickhill.	15	7
