This	January 19, 1958	Last	Weeks
Week	Fiction	Week	On List
""			
""	BY LOVE POSSESSED, by James Gould Cozzens. (Harcourt, Brace and		
1		1	20
""	Company.)		
""			
2	RALLY ROUND THE FLAG BOYS!, by Max Schulman. (Doubleday.)	2	21
""			
3	BELOW THE SALT, by Thomas B. Costain. (Doubleday and Company, Inc.)	3	15
""			
4	ATLAS SHRUGGED, by Ayn Rand. (Random House.)	4	15
""			
5	THE EDGE OF DARKNESS, by Mary Ellen Chase. (W. W. Norton.)	7	9
""			
6	ON THE BEACH, by Nevil Shute. (William Morrow and Company.)	5	24
""			
7	THE SOUND OF THUNDER, by Taylor Caldwell. (Doubleday.)	6	13
""			
8	THOMASINA, by Paul Gallico. (Doubleday.)	10	4
""			
9	REMEMBER ME TO GOD, by Myron S. Kaufmann. (Lippincott,)	8	17
""			
10	THE WORLD OF SUZIE WONG, by Richard Mason. (World Publishing Co.)	9	24
""			
11	LAST TALES, by Isak Dinesen. (Random House.)	14	9
""			
12	NOT BY BREAD ALONE, by Vladimir Dudintsev. ( E.P. Dutton and Co., Inc.)	15	6
""			
13	A DEATH IN THE FAMILY, by James Agee. (McDowell, Obolensky.)	11	4
""			
14	SCENT OF CLOVES, by Norah Lofts. (Doubleday.)	--	3
""			
15	PEYTON PLACE, by Grace Metalious. (Simon and Schuster, Inc.)	13	69
""			
16	THE GALLANT MRS. STONEWALL, by Harnett T. Kane. (Doubleday.)	12	7
This	January 19, 1958	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BARUCH: MY OWN STORY, by Bernard M. Baruch. (Henry Holt and Company.)	1	20
""			
2	PLEASE DON'T EAT THE DAISIES, by Jean Kerr. (Doubleday.)	2	6
""			
""	"""WHERE DID YOU GO?"" ""OUT"" ""WHAT DID YOU DO?"" ""NOTHING."", by Robert"		
3		4	23
""	Paul Smith. (W.W. Norton and Company.)		
""			
4	KIDS SAY THE DARNDEST THINGS!, by Art Linkletter. (Prentice Hall Inc.)	3	9
""			
5	THE HIDDEN PERSUADERS, by Vance Packard. (David McKay Company.)	5	34
""			
6	TO LIVE AGAIN, by Catherine Marshall. (McGraw Hill.)	7	11
""			
""	PETER FREUCHEN'S BOOK OF THE SEVEN SEAS, by Peter Freuchen and		
7		6	5
""	David Loth. (Simon and Schuster.)		
""			
8	AMERICA AS A CIVILIZATION, by Max Lerner. (Simon and Schuster.)	13	2
""			
9	ELOISE IN PARIS, by Kay Thompson. (Simon and Schuster.)	9	5
""			
10	SAN FRANCISCO BAY, by Harold Gilliam. (Doubleday.)	8	11
""			
""	THE AGE OF REVOLUTION, by Winston S. Churchill. (Dodd, Mead and		
11		11	12
""	Company.)		
""			
12	PARKINSON'S LAW, by C. Northcote Parkinson. (Houghton and Mifflin.)	12	9
""			
13	THE NEW CLASS, by Milovan Djilas. (Frederick A. Praeger.)	14	21
""			
14	JUBILEE, by Edward Weeks and Emily Flint. (Little, Brown and Company.)	--	7
""			
15	MR. BARUCH, by Margaret L. Coit. (Houghton Mifflin.)	10	4
""			
16	READING FOR PLEASURE, by Bennett Cerf. (Harper and Brothers Publishers.)	16	3
