This	February 15, 1959	Last	Weeks
Week	Fiction	Week	On List
""			
1	DOCTOR ZHIVAGO, by Boris Pasternak. (Random House Inc.)	1	21
""			
2	LOLITA, by Vladimir Nabokov. (G.P. Putnam's Sons.)	2	25
""			
3	EXODUS, by Leon Uris. (Doubleday.)	3	19
""			
4	FROM THE TERRACE, by John O'Hara. (Random House.)	4	11
""			
""	THE UGLY AMERICAN, by William J. Lederer and Eugene Burdick. (W.W. Norton		
5		5	17
""	and Company.)		
""			
""	AROUND THE WORLD WITH AUNTIE MAME, by Patrick Dennis. (Harcourt,		
6		6	25
""	Brace and Company.)		
""			
7	LADY L., by Romain Gary. (Simon and Schuster.)	7	4
""			
8	MRS. ARRIS GOES TO PARIS, by Paul Gallico. (Doubleday and Company, Inc.)	13	8
""			
9	VICTORINE, by Frances Parkinson Keyes. (Julian Messner, Inc.)	9	14
""			
10	MRS. BRIDGE, by Evan Connell. (Viking Books.)	15	2
""			
11	ANATOMY OF A MURDER, by Robert Traver. (St. Martin's.)	8	56
""			
""	WOMEN AND THOMAS HARROW, by John P. Marquand. (Little, Brown and		
12		10	19
""	Company.)		
""			
13	ELEPHANT HILL, by Robin White. (Harper and Brothers.)	12	4
""			
14	TENDERLOIN, by Samuel H. Adams. (Random House.)	--	1
""			
15	THE BEST OF EVERYTHING, by Rona Jaffe. (Simon and Schuster.)	--	21
""			
16	BREAKFAST AT TIFFANY'S, by Truman Capote. (Random House.)	--	8
This	February 15, 1959	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ONLY IN AMERICA, by Harry Lewis Golden. (World Publishing Co.)	1	29
""			
2	TWIXT TWELVE AND TWENTY, by Pat Boone. (Prentice-Hall, Inc.)	2	8
""			
3	AKU-AKU, by Thor Heyerdahl. (Rand McNally and Company.)	3	22
""			
""	WEDEMEYER REPORTS!, by General Albert C. Wedemeyer. (Henry Holt and		
4		4	11
""	Co.)		
""			
""	THE COMING OF THE NEW DEAL, by Arthur Meier Schlesinger Jr. (Houghton		
5		5	4
""	Mifflin Company.)		
""			
""	THE MEMOIRS OF FIELD-MARSHALL MONTGOMERY, by Field Marshall		
6		6	15
""	Montgomery. (World Publishing Co.)		
""			
7	NAUTILUS 90 NORTH, by William R. Anderson. (World Publishing Company.)	7	5
""			
8	"BAA BAA BLACK SHEEP, by Gregory ""Pappy"" Boyington. (Wilson Press.)"	8	27
""			
""	WHAT WE MUST KNOW ABOUT COMMUNISM, by Harry and Bonaro		
9	Overstreet. (W.W. Norton and Co, Inc.)	--	1
""			
10	KIDS SAY THE DARNDEST THINGS!, by Art Linkletter. (Prentice Hall Inc.)	16	65
""			
11	THE PROUD POSSESSORS, by Aline B. Saarinen. (Random House.)	9	12
""			
""	THE NEW TESTAMENT IN MODERN ENGLISH, by J.B. Phillips. (MacMillan		
12		11	17
""	Company.)		
""			
13	HERBLOCK'S SPECIAL FOR TODAY, by Herbert Block. (Simon and Schuster.)	10	14
""			
14	THE THREE EDWARDS, by Thomas B. Costain. (Doubleday and Company.)	12	14
""			
""	CHICAGO: A PICTORIAL HISTORY, by Herman Kogan and Lloyd Wendt. (E. P.		
15		--	10
""	Dutton.)		
""			
16	MINE ENEMY GROWS OLDER, by Alexander King. (Simon and Schuster.)	--	1
