This	March 22, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	8
""			
2	THE SILVER CHALICE, by Thomas B. Costain.	2	34
""			
3	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	4	17
""			
4	EAST OF EDEN, by John Steinbeck.	3	25
""			
5	THE SECOND HAPPIEST DAY, by John Phillips.	5	6
""			
6	GOLDEN ADMIRAL, by Francis Van Wyck Mason.	9	3
""			
7	THE CAINE MUTINY, by Herman Wouk.	6	101
""			
8	THE SOJOURNER, by Marjorie Kinnan Rawlings.	7	10
""			
9	I AND MY TRUE LOVE, by Helen MacInnes.	13	3
""			
10	GIANT, by Edna Ferber.	8	24
""			
11	THE VELVET DOUBLET, by James Street.	10	9
""			
12	EXECUTIVE SUITE, by Cameron Hawley.	12	12
""			
13	TO THE MOMENT OF TRIUMPH, by Pamela Frankau.	15	6
""			
14	THE GALILEANS, by Frank G. Slaughter.	11	8
""			
15	THE STONES OF THE HOUSE, by Theodore Morrison.	--	1
""			
16	THE PLANTATION, by Ovid Williams Pierce.	--	1
This	March 22, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	ANNAPURNA, by Maurice Herzog.	1	9
""			
2	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	2	20
""			
3	THIS I BELIEVE, by Edward R. Murrow.	3	14
""			
4	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	5	5
""			
5	HOLY BIBLE: REVISED STANDARD VERSION.	4	23
""			
6	ALWAYS THE YOUNG STRANGERS, by Carl Sandburg.	6	9
""			
7	A MAN CALLED PETER, by Catherine Marshall.	7	74
""			
8	TALLULAH, by Tallulah Bankhead.	8	23
""			
9	THE SECOND SEX, by Simone de Beauvoir.	15	2
""			
10	THE SIGN OF JONAS, by Thomas Merton.	12	4
""			
11	THE LAST RESORTS, by Cleveland Amory.	9	17
""			
12	THE FABULOUS FANNY, by Norman Katkov.	10	2
""			
13	THE WHITE RABBIT, by Bruce Marshall.	14	2
""			
14	PRINCE OF PLAYERS, by Eleanor Ruggles.	--	1
""			
15	ABRAHAM LINCOLN, by Benjamin P. Thomas.	13	17
""			
16	MARY LINCOLN, by Ruth Randall.	16	4
