This	June 9, 1957	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE SCAPEGOAT, by Daphne du Maurier. (Doubleday and Co.)	1	15
""			
2	PEYTON PLACE, by Grace Metalious. (Simon and Schuster, Inc.)	2	37
""			
3	COMPULSION, by Meyer Levin. (Simon and Schuster.)	4	30
""			
4	BLUE CAMELLIA, by Frances Parkinson Keyes. (Julian Messner Inc.)	3	19
""			
5	THE LAST ANGRY MAN, by Gerald Green. (Charles Scribner's Sons.)	5	16
""			
6	THE TOWN, by William Faulkner. (Random House.)	6	4
""			
7	THE PHILADELPHIAN, by Richard Powell. (Charles Scribner's Sons.)	8	21
""			
8	SILVER SPOON, by Edwin Gilbert. (Lippencott.)	9	3
""			
9	THE SHORT REIGN OF PIPPIN IV, by John Steinbeck. (Viking.)	7	6
""			
10	SAY, DARLING, by Richard Bissell. (Little, Brown and Company.)	15	9
""			
11	FAR, FAR THE MOUNTAIN PEAK, by John Masters. (Viking Books.)	13	4
""			
12	THE WAPSHOT CHRONICLE, by John Cheever. (Harper and Row.)	10	9
""			
13	A LEGACY, by Sybille Bedford. (Simon and Schuster.)	11	15
""			
14	THE TOWERS OF TREBIZOND, by Rose Macaulay. (Farrar, Straus and Cudahy.)	12	6
""			
15	THE BLACK OBELISK, by Erich Maria Remarque. (Houghton Mifflin Harcourt.)	14	7
""			
""	THE COMPLETE WORKS OF NATHANAEL WEST, by Alan Ross. (Farrar, Straus		
16		--	1
""	and Giroux.)		
This	June 9, 1957	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	DAY OF INFAMY, by Walter Lord. (Henry Holt and Company.)	2	9
""			
2	THE FBI STORY, by Don Whitehead. (Random House.)	1	26
""			
3	THE NUN'S STORY, by Kathryn Hulme. (Little, Brown and Company.)	3	37
""			
4	THE DAY CHRIST DIED, by Jim Bishop. (Harper and Brothers.)	8	3
""			
5	STAY ALIVE ALL YOUR LIFE, by Norman Vincent Peale. (Prentice-Hall, Inc.)	4	10
""			
6	THE ORGANIZATION MAN, by William H. Whyte Jr. (Simon and Schuster.)	5	18
""			
7	THE INNOCENT AMBASSADORS, by Philip Wylie. (Rinehart and Company.)	6	4
""			
8	TOO MUCH, TOO SOON, by Diana Barrymore and Gerold Frank. (Henry Holt.)	7	7
""			
9	PROFILES IN COURAGE, by John F. Kennedy. (Harper and Brothers.)	14	70
""			
10	FAITH ON THE MARCH, by A.H. Macmillan. (Prentice-Hall, Inc.)	13	2
""			
11	THE TURN OF THE TIDE, by Arthur Bryant. (Doubleday and Co. Inc.)	16	2
""			
12	SILVER PLATTER, by Ellin Berlin. (Doubleday.)	--	1
""			
13	IN THE COURT OF PUBLIC OPINION, by Alger Hiss. (Alfred A. Knopf.)	9	3
""			
14	THE ROAD TO MILTOWN, by S.J. Perelman. (Simon and Schuster.)	10	18
""			
15	THE HIDDEN PERSUADERS, by Vance Packard. (David McKay Company.)	15	2
""			
16	GYPSY, by Gypsy Rose Lee. (Harper and Brothers.)	--	2
