This	June 20, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	NOT AS A STRANGER, by Morton Thompson.	1	22
""			
2	BLESS THIS HOUSE, by Norah Lofts.	2	11
""			
3	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	3	6
""			
4	AWAY ALL BOATS, by Kenneth Dodson.	4	14
""			
5	THE DOLLMAKER, by Harriette Arnow.	6	6
""			
6	A TIME TO LOVE AND A TIME TO DIE, by Erich Maria Remarque.	12	2
""			
7	THE SONG OF RUTH, by Frank G. Slaughter.	5	7
""			
8	THE GIPSY IN THE PARLOUR, by Margery Sharp.	8	7
""			
9	THE NIGHT OF THE HUNTER, by Davis Grubb.	10	15
""			
10	BHOWANI JUNCTION, by John Masters.	9	10
""			
11	MARY ANNE, by Daphne du Maurier.	--	1
""			
12	MR. HOBBS' VACATION, by Edward Streeter.	13	2
""			
13	SAYONARA, by James A. Michener.	7	19
""			
14	THE TUNNEL OF LOVE, by Peter De Vries.	--	1
""			
15	THE SPIDER KING, by Lawrence Schoonover.	11	10
""			
16	PICTURES FROM AN INSTITUTION, by Randall Jarrell.	14	4
This	June 20, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	85
""			
2	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	2	16
""			
3	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	3	14
""			
4	MINUTES OF THE LAST MEETING, by Gene Fowler.	4	9
""			
5	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	5	13
""			
6	THE REASON WHY, by Cecil Woodham-Smith.	7	5
""			
7	SECOND TREE FROM THE CORNER, by E.B. White.	6	20
""			
8	FINAL SECRET OF PEARL HARBOR, by Rear Admiral Robert A. Theobald.	8	6
""			
9	McCARTHY AND HIS ENEMIES, by William F. Buckley and Brent Bozell.	10	10
""			
10	CELL 2455 DEATH ROW, by Caryl Chessman.	9	4
""			
11	SEVEN YEARS IN TIBET, by Heinrich Harrer.	--	13
""			
12	THE TAFT STORY, by William S. White.	11	8
""			
13	I'LL CRY TOMORROW, by Lillian Roth.	15	2
""			
14	THE JOURNEY, by Lillian Smith.	14	5
""			
15	DIALOGUES OF ALFRED NORTH WHITEHEAD, by Lucien Price.	16	2
""			
16	LIFE IS WORTH LIVING, by Fulton J. Sheen.	12	33
