This	April 19, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	12
""			
2	THE SILVER CHALICE, by Thomas B. Costain.	2	38
""			
3	GOLDEN ADMIRAL, by Francis Van Wyck Mason.	3	7
""			
4	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	5	21
""			
5	EAST OF EDEN, by John Steinbeck.	4	29
""			
6	KISS ME AGAIN, STRANGER, by Daphne du Maurier.	8	4
""			
7	THE CAINE MUTINY, by Herman Wouk.	7	105
""			
8	THE SECOND HAPPIEST DAY, by John Phillips.	6	10
""			
9	PRINCE BART, by Jay Richard Kennedy.	9	4
""			
10	THE SOJOURNER, by Marjorie Kinnan Rawlings.	11	14
""			
11	THE GALILEANS, by Frank G. Slaughter.	10	12
""			
12	GIANT, by Edna Ferber.	--	27
""			
13	THE GREEN MAN, by Storm Jameson.	15	3
""			
14	I AND MY TRUE LOVE, by Helen MacInnes.	13	6
""			
15	EXECUTIVE SUITE, by Cameron Hawley.	--	15
""			
16	THE PLANTATION, by Ovid Williams Pierce.	--	2
This	April 19, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	ANNAPURNA, by Maurice Herzog.	1	13
""			
2	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	2	24
""			
3	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	3	9
""			
4	HOLY BIBLE: REVISED STANDARD VERSION.	4	27
""			
5	THIS I BELIEVE, by Edward R. Murrow.	5	18
""			
6	A MAN CALLED PETER, by Catherine Marshall.	6	78
""			
7	THE WORLD AND THE WEST, by Arnold Toynbee.	16	2
""			
8	ALWAYS THE YOUNG STRANGERS, by Carl Sandburg.	8	13
""			
9	TALLULAH, by Tallulah Bankhead.	13	27
""			
10	THE SIGN OF JONAS, by Thomas Merton.	7	8
""			
11	THE WHITE RABBIT, by Bruce Marshall.	9	6
""			
12	PRINCE OF PLAYERS, by Eleanor Ruggles.	10	5
""			
13	THE LAST RESORTS, by Cleveland Amory.	15	21
""			
14	THE COLDITZ STORY, by P.R. Reid.	--	2
""			
15	MY HOST THE WORLD, by George Santayana.	--	2
""			
16	A MANY-SPLENDORED THING, by Han Suyin.	--	12
