This	March 7, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	NOT AS A STRANGER, by Morton Thompson.	1	7
""			
2	LORD VANITY, by Samuel Shellabarger.	2	18
""			
3	SAYONARA, by James A. Michener.	3	4
""			
4	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	4	44
""			
5	TOMORROW!, by Philip Wylie.	7	5
""			
6	RAINBOW ON THE ROAD, by Esther Forbes.	12	3
""			
7	BEYOND THIS PLACE, by A.J. Cronin.	5	32
""			
8	BATTLE CRY, by Leon Uris.	9	43
""			
9	CRESS DELAHANTY, by Jessamyn West.	10	6
""			
10	THE LADY OF ARLINGTON, by Harnett T. Kane.	6	21
""			
11	LOVE IS A BRIDGE, by Charles Bracelen Flood.	13	16
""			
12	THE FEMALE, by Paul Wellman.	8	21
""			
13	THE DOCTORS, by Andre Soubiran.	11	14
""			
14	THE ROBE, by Lloyd C. Douglas.	--	178
""			
15	TIME AND TIME AGAIN, by James Hilton.	14	27
""			
16	THE DEATH OF KINGS, by Charles Wertenbaker.	--	1
This	March 7, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	70
""			
2	SECOND TREE FROM THE CORNER, by E.B. White.	2	5
""			
3	THE CONQUEST OF EVEREST, by Sir John Hunt.	3	5
""			
4	LIFE IS WORTH LIVING, by Fulton J. Sheen.	4	18
""			
5	THE MAN WHO NEVER WAS, by Ewen Montagu.	5	3
""			
6	FIRE IN THE ASHES, by Theodore Harold White.	6	14
""			
7	AMBASSADOR'S REPORT, by Chester Bowles.	7	7
""			
8	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	--	1
""			
9	TRIUMPH AND TRAGEDY, by Winston S. Churchill.	8	12
""			
10	THE AGE OF THE MOGULS, by Stewart H. Holbrook.	9	19
""			
11	THE SECRET DIARY OF HAROLD L. ICKES, by Harold L. Ickes.	10	12
""			
12	A STILLNESS AT APPOMATTOX, by Bruce Catton.	15	7
""			
13	THE SPIRIT OF ST. LOUIS, by Charles Lindbergh.	11	23
""			
14	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	--	1
""			
15	A MAN CALLED PETER, by Catherine Marshall.	14	124
""			
16	THE GREAT IRON SHIP, by James Dugan.	13	2
