This	August 8, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	MARY ANNE, by Daphne du Maurier.	1	8
""			
2	NOT AS A STRANGER, by Morton Thompson.	2	29
""			
3	SWEET THURSDAY, by John Steinbeck.	3	7
""			
4	THE ROYAL BOX, by Frances Parkinson Keyes.	4	7
""			
5	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	5	13
""			
6	THE DOLLMAKER, by Harriette Arnow.	6	13
""			
7	BLESS THIS HOUSE, by Norah Lofts.	9	18
""			
8	THE FALL OF A TITAN, by Igor Gouzenko.	--	1
""			
9	A TIME TO LOVE AND A TIME TO DIE, by Erich Maria Remarque.	7	9
""			
10	THE SONG OF RUTH, by Frank G. Slaughter.	11	14
""			
11	MR. HOBBS' VACATION, by Edward Streeter.	12	9
""			
12	DON CAMILLO'S DILEMMA, by Giovanni Guareschi.	13	3
""			
13	A WREATH FOR THE ENEMY, by Pamela Frankau.	8	4
""			
14	AWAY ALL BOATS, by Kenneth Dodson.	10	21
""			
15	THE TUNNEL OF LOVE, by Peter De Vries.	14	6
""			
16	THE WORLD IN THE EVENING, by Christopher Isherwood.	--	4
This	August 8, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	92
""			
2	I'LL CRY TOMORROW, by Lillian Roth.	3	9
""			
3	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	2	23
""			
4	A CHILD OF THE CENTURY, by Ben Hecht.	5	6
""			
5	MINUTES OF THE LAST MEETING, by Gene Fowler.	6	16
""			
6	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	4	21
""			
7	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	8	20
""			
8	THE REASON WHY, by Cecil Woodham-Smith.	7	12
""			
9	TNT: THE POWER WITHIN YOU, by Claude M. and Harold Sherman Bristol.	10	4
""			
10	MADAME DE POMPADOUR, by Nancy Mitford.	11	7
""			
11	SECOND TREE FROM THE CORNER, by E.B. White.	12	27
""			
12	CELL 2455 DEATH ROW, by Caryl Chessman.	9	11
""			
13	JOURNEY TO THE FAR AMAZON, by Alain Gheerbrant.	16	5
""			
14	OF WHALES AND MEN, by R.B. Robertson.	14	5
""			
15	DIALOGUES OF ALFRED NORTH WHITEHEAD, by Lucien Price.	--	4
""			
16	FUTURE INDEFINITE, by Noel Coward.	--	1
