This	May 20, 1951	Last	Weeks
Week	Fiction	Week	On List
""			
1	FROM HERE TO ETERNITY, by James Jones.	1	11
""			
2	THE CAINE MUTINY, by Herman Wouk.	3	5
""			
3	PROUD NEW FLAGS, by F. Van Wyck Mason.	4	3
""			
4	JOY STREET, by Frances Parkinson Keyes.	2	24
""			
5	RETURN TO PARADISE, by James A. Michener.	7	3
""			
6	THE DISENCHANTED, by Budd Schulberg.	5	29
""			
7	FESTIVAL, by J.B. Priestley.	6	5
""			
8	GOD'S MEN, by Pearl S. Buck.	8	4
""			
9	NEW YORK 22, by Ilka Chase.	9	8
""			
10	MORNING JOURNEY, by James Hilton.	10	11
""			
11	OLD HERBACEOUS, by Reginald Arkell.	14	11
""			
12	THE AGE OF LONGING, by Arthur Koestler.	11	10
""			
13	THE LEFT HAND OF GOD, by William E. Barrett.	13	14
""			
14	THE GRAND PORTAGE, by Walter O'Meara.	16	2
""			
15	THE BALANCE WHEEL, by Taylor Caldwell.	--	17
""			
16	ROUND THE BEND, by Nevil Shute.	12	9
This	May 20, 1951	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	WASHINGTON CONFIDENTIAL, by Jack Lait and Lee Mortimer.	1	10
""			
2	A KING'S STORY, by Edward Windsor, Duke of Windsor.	2	4
""			
3	KON-TIKI, by Thor Heyerdahl.	4	36
""			
4	HIS EYE IS ON THE SPARROW, by Ethel Waters and Charles Samuels.	3	9
""			
5	THE RIDDLE OF MACARTHUR, by John Gunther.	7	11
""			
6	ROMMEL, THE DESERT FOX, by Desmond Young.	5	16
""			
7	THE PEACE CAN BE WON, by Paul G. Hoffman.	8	2
""			
8	BETTER HOMES AND GARDENS GARDEN BOOK, by Fleeta Brownell	9	5
""	Woodroffe.		
""			
9	LOOK YOUNGER, LIVE LONGER, by Gayelord Hauser.	10	58
""			
10	MARY'S GARDEN STORY, by Mary Garden and Louis Biancolli.	12	2
""			
11	OUT OF THIS WORLD, by Lowell Thomas Jr.	6	23
""			
12	MY SIX CONVICTS, by Donald Powell Wilson.	11	14
""			
13	BOSWELL'S LONDON JOURNAL, by Frederick A. Pottle.	15	26
""			
14	THE FAR SIDE OF PARADISE, by Arthur Mizener.	13	15
""			
15	SEVEN DECISIONS THAT SHAPED HISTORY, by Sumner Welles.	--	4
""			
16	FLORENCE NIGHTINGALE, by Cecil Woodham-Smith.	--	8
