This	May 10, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	15
""			
2	THE SILVER CHALICE, by Thomas B. Costain.	2	41
""			
3	GOLDEN ADMIRAL, by Francis Van Wyck Mason.	3	10
""			
4	KISS ME AGAIN, STRANGER, by Daphne du Maurier.	5	7
""			
5	PRINCE BART, by Jay Richard Kennedy.	7	7
""			
6	HOTEL TALLYRAND, by Paul Hyde Bonner.	11	3
""			
7	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	4	24
""			
8	EAST OF EDEN, by John Steinbeck.	6	32
""			
9	THE CAINE MUTINY, by Herman Wouk.	8	108
""			
10	CORPUS OF JOE BAILEY, by Oakley Hall.	15	2
""			
11	THE GREEN MAN, by Storm Jameson.	10	6
""			
12	NINE STORIES, by J.D. Salinger.	9	3
""			
13	ZORBA THE GREEK, by Nikos Kazantzakis.	--	1
""			
14	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	--	1
""			
15	THE OUTSIDER, by Richard A. Wright.	--	2
""			
16	THE SOJOURNER, by Marjorie Kinnan Rawlings.	--	16
This	May 10, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	ANNAPURNA, by Maurice Herzog.	1	16
""			
2	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	2	27
""			
3	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	3	12
""			
4	MAJOR CAMPAIGN SPEECHES, by Adlai Stevenson.	8	3
""			
5	HOLY BIBLE: REVISED STANDARD VERSION.	4	30
""			
6	THE WORLD AND THE WEST, by Arnold Toynbee.	7	5
""			
7	A MAN CALLED PETER, by Catherine Marshall.	5	81
""			
8	THIS I BELIEVE, by Edward R. Murrow.	6	21
""			
9	THE POOR MAN'S GUIDE TO EUROPE, by David Dodge.	10	2
""			
10	THE LEGENDARY MIZNERS, by Alva Johnston.	16	2
""			
11	PRINCE OF PLAYERS, by Eleanor Ruggles.	9	8
""			
12	ANGEL UNAWARE, by Dale Evans Rogers.	--	2
""			
13	THE SIGN OF JONAS, by Thomas Merton.	11	11
""			
14	THE WHITE RABBIT, by Bruce Marshall.	12	9
""			
15	POSTCARDS FROM DELAPLANE, by Stanton Delaplane.	13	4
""			
16	THE LAST RESORTS, by Cleveland Amory.	14	23
