This	August 2, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	27
""			
2	BATTLE CRY, by Leon Uris.	2	12
""			
3	THE DARK ANGEL, by Mika Waltari.	3	7
""			
4	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	4	13
""			
5	KINGFISHERS CATCH FIRE, by Rumer Godden.	5	8
""			
6	THE BRIDGES AT TOKO-RI, by James A. Michener.	--	1
""			
7	THE SILVER CHALICE, by Thomas B. Costain.	7	53
""			
8	THE EMPEROR'S LADY, by F.W. Kenyon.	6	7
""			
9	THE ECHOING GROVE, by Rosamond Lehmann.	8	10
""			
10	GOLDEN ADMIRAL, by Francis Van Wyck Mason.	12	22
""			
11	IN THE WET, by Nevil Shute.	10	10
""			
12	KISS ME AGAIN, STRANGER, by Daphne du Maurier.	9	19
""			
13	THE CAINE MUTINY, by Herman Wouk.	11	120
""			
14	NINE STORIES, by J.D. Salinger.	14	15
""			
15	YOU SHALL KNOW THEM, by Rita Vercors.	15	2
""			
16	BEYOND THIS PLACE, by A.J. Cronin.	--	1
This	August 2, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	39
""			
2	A HOUSE IS NOT A HOME, by Polly Adler.	3	7
""			
3	ANNAPURNA, by Maurice Herzog.	2	28
""			
4	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	5	24
""			
5	HOW TO PLAY YOUR BEST GOLF ALL THE TIME, by Tommy Armour.	4	12
""			
6	NORTH FROM MALAYA, by William O. Douglas.	8	7
""			
7	HOLY BIBLE: REVISED STANDARD VERSION.	6	42
""			
8	CALL ME LUCKY, by Bing Crosby.	10	3
""			
9	LIFE AMONG THE SAVAGES, by Shirley Jackson.	14	4
""			
10	THE ROMMEL PAPERS, by B.H. Liddell Hart.	7	9
""			
11	UNCLE POGO SO-SO STORIES, by Walt Kelly.	11	9
""			
12	ANGEL UNAWARE, by Dale Evans Rogers.	12	14
""			
13	MAJOR CAMPAIGN SPEECHES, by Adlai Stevenson.	9	15
""			
14	A MAN CALLED PETER, by Catherine Marshall.	13	93
""			
15	THIS I BELIEVE, by Edward R. Murrow.	15	33
""			
16	THE POOR MAN'S GUIDE TO EUROPE, by David Dodge.	16	14
