This	January 5, 1958	Last	Weeks
Week	Fiction	Week	On List
""			
""	BY LOVE POSSESSED, by James Gould Cozzens. (Harcourt, Brace and		
1		1	18
""	Company.)		
""			
2	RALLY ROUND THE FLAG BOYS!, by Max Schulman. (Doubleday.)	2	19
""			
3	BELOW THE SALT, by Thomas B. Costain. (Doubleday and Company, Inc.)	3	13
""			
4	ATLAS SHRUGGED, by Ayn Rand. (Random House.)	4	13
""			
5	ON THE BEACH, by Nevil Shute. (William Morrow and Company.)	5	22
""			
6	THE SOUND OF THUNDER, by Taylor Caldwell. (Doubleday.)	7	11
""			
7	REMEMBER ME TO GOD, by Myron S. Kaufmann. (Lippincott,)	8	15
""			
8	THE WORLD OF SUZIE WONG, by Richard Mason. (World Publishing Co.)	9	22
""			
9	THE EDGE OF DARKNESS, by Mary Ellen Chase. (W. W. Norton.)	6	7
""			
10	LAST TALES, by Isak Dinesen. (Random House.)	10	7
""			
11	THOMASINA, by Paul Gallico. (Doubleday.)	14	2
""			
12	PEYTON PLACE, by Grace Metalious. (Simon and Schuster, Inc.)	11	67
""			
13	THE GALLANT MRS. STONEWALL, by Harnett T. Kane. (Doubleday.)	12	5
""			
14	A DEATH IN THE FAMILY, by James Agee. (McDowell, Obolensky.)	16	2
""			
15	THE FALL, by Albert Camus. (Alfred A. Knopf.)	15	14
""			
16	THE INCIDENT, by Marc Rivette. (World Publishing.)	--	2
This	January 5, 1958	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BARUCH: MY OWN STORY, by Bernard M. Baruch. (Henry Holt and Company.)	1	18
""			
2	KIDS SAY THE DARNDEST THINGS!, by Art Linkletter. (Prentice Hall Inc.)	3	7
""			
""	"""WHERE DID YOU GO?"" ""OUT"" ""WHAT DID YOU DO?"" ""NOTHING."", by Robert"		
3		2	21
""	Paul Smith. (W.W. Norton and Company.)		
""			
4	PLEASE DON'T EAT THE DAISIES, by Jean Kerr. (Doubleday.)	4	4
""			
5	THE HIDDEN PERSUADERS, by Vance Packard. (David McKay Company.)	5	32
""			
6	TO LIVE AGAIN, by Catherine Marshall. (McGraw Hill.)	6	9
""			
""	PETER FREUCHEN'S BOOK OF THE SEVEN SEAS, by Peter Freuchen and		
7		7	3
""	David Loth. (Simon and Schuster.)		
""			
8	ELOISE IN PARIS, by Kay Thompson. (Simon and Schuster.)	8	3
""			
9	PARKINSON'S LAW, by C. Northcote Parkinson. (Houghton and Mifflin.)	16	7
""			
10	THE NEW CLASS, by Milovan Djilas. (Frederick A. Praeger.)	9	19
""			
11	THE REFORMATION, by Will Durant. (Simon and Schuster.)	11	13
""			
12	READING FOR PLEASURE, by Bennett Cerf. (Harper and Brothers Publishers.)	--	1
""			
13	SAN FRANCISCO BAY, by Harold Gilliam. (Doubleday.)	12	9
""			
""	GOREN'S NEW CONTRACT BRIDGE COMPLETE, by Charles H. Goren.		
14		--	3
""	(Doubleday and Co.)		
""			
15	MR. BARUCH, by Margaret L. Coit. (Houghton Mifflin.)	14	2
""			
""	NUCLEAR WEAPONS AND FOREIGN POLICY, by Henry A. Kissinger. (Harper		
16		--	14
""	and Brothers.)		
