This	November 21, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	LOVE IS ETERNAL, by Irving Stone.	1	12
""			
2	KATHERINE, by Anya Seton.	3	6
""			
3	THE VIEW FROM POMPEY'S HEAD, by Hamilton Basso.	6	3
""			
4	MARY ANNE, by Daphne du Maurier.	2	23
""			
5	NOT AS A STRANGER, by Morton Thompson.	4	44
""			
6	SOLDIER OF FORTUNE, by Ernest Kellogg Gann.	5	5
""			
7	NO TIME FOR SERGEANTS, by Mac Hyman.	7	5
""			
8	MY BROTHER'S KEEPER, by Marcia Davenport.	11	2
""			
9	THE ROYAL BOX, by Frances Parkinson Keyes.	8	22
""			
10	SWEET THURSDAY, by John Steinbeck.	9	22
""			
11	REUNION, by Merle Miller.	--	2
""			
12	BLUE HURRICANE, by F. Van Wyck Mason.	--	1
""			
13	A FABLE, by William Faulkner.	12	14
""			
14	THE FALL OF A TITAN, by Igor Gouzenko.	14	16
""			
15	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	10	28
""			
16	THE DOLLMAKER, by Harriette Arnow.	13	28
This	November 21, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	107
""			
2	ABRAHAM LINCOLN, by Carl Sandburg.	4	6
""			
3	I'LL CRY TOMORROW, by Lillian Roth.	2	24
""			
4	CALL TO GREATNESS, by Adlai E. Stevenson.	3	11
""			
5	THE TUMULT AND THE SHOUTING, by Grantland Rice.	--	1
""			
6	TNT: THE POWER WITHIN YOU, by Claude M. and Harold Sherman Bristol.	5	19
""			
7	R.S.V.P. ELSA MAXWELL'S OWN STORY, by Elsa Maxwell.	10	2
""			
8	A CHILD OF THE CENTURY, by Ben Hecht.	8	21
""			
9	MELBOURNE, by David Cecil.	7	7
""			
10	THE SATURDAY EVENING POST TREASURY, by Roger Butterfield.	--	1
""			
""	MACARTHUR -- 1941-1951, by Major General Charles A. Willoughby and John		
11	Chamberlain.	6	5
""			
12	ATOMS IN THE FAMILY, by Laura Fermi.	--	1
""			
13	THE ROOSEVELT FAMILY OF SAGAMORE HILL, by Hermann Hagedorn.	12	12
""			
14	THE WOMAN WITHIN, by Ellen Glasglow.	--	1
""			
15	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	--	37
""			
16	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	9	36
