This	March 13, 1955	Last	Weeks
Week	Fiction	Week	On List
""			
""	THE VIEW FROM POMPEY'S HEAD, by Hamilton Basso. (Doubleday and Co.,		
1		1	19
""	Inc.)		
""			
2	LOVE IS ETERNAL, by Irving Stone. (Doubleday.)	2	28
""			
3	NO TIME FOR SERGEANTS, by Mac Hyman. (Random House, Inc.)	3	21
""			
4	KATHERINE, by Anya Seton. (Houghton Mifflin.)	4	22
""			
5	TRIAL, by Don M. Mankiewicz. (Harper and Row.)	5	8
""			
""	SINCERELY, WILLIS WAYDE, by John Phillips Marquand. (Little, Brown and		
6		--	1
""	Company.)		
""			
7	HADRIAN'S MEMOIRS, by Marguerite Yourcenar. (Farrar, Straus and Young.)	6	14
""			
8	PRAY FOR A BRAVE HEART, by Helen MacInnes. (Houghton Mifflin Harcourt.)	8	7
""			
9	NOT AS A STRANGER, by Morton Thompson. (Charles Scribner's Sons.)	7	59
""			
10	MY BROTHER'S KEEPER, by Marcia Davenport. (Scribner.)	11	18
""			
11	SOLDIER OF FORTUNE, by Ernest Kellogg Gann. (W. Sloane Associates.)	9	21
""			
12	THE CORNERSTONE, by Zoe Oldenbourg. (Pantheon Books.)	10	8
""			
13	THE HEALER, by Frank G. Slaughter. (Doubleday and Co. Inc.)	13	4
""			
14	FLAMINGO FEATHER, by Laurens Van Der Post. (William Morrow and Co.)	--	1
""			
15	BENTON'S ROW, by Frank Yerby. (Dial Press.)	14	13
""			
""	GOOD MORNING, MISS DOVE, by Frances Gray Patton. (Curtis Publishing		
16		15	16
""	Company.)		
This	March 13, 1955	Last	Weeks
Week	Non-Fiction	Week	On List
""			
""	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale. (Prentice-Hall,		
1		1	123
""	Inc.)		
""			
""	GERTRUDE LAWRENCE AS MRS. A., by Richard Stoddard Aldrich. (Greystone		
2		2	9
""	Press.)		
""			
3	THE TUMULT AND THE SHOUTING, by Grantland Rice. (A. S. Barnes and Co.)	3	17
""			
4	MY SEVERAL WORLDS, by Pearl S. Buck. (John Day Company.)	5	16
""			
5	ABRAHAM LINCOLN, by Carl Sandburg. ( Harcourt, Brace.)	4	22
""			
6	THE DAY LINCOLN WAS SHOT, by Jim Bishop. (Harper and Brothers.)	6	4
""			
7	TREADMILL TO OBLIVION, by Fred Allen. (Little, Brown and Co.)	7	12
""			
8	TO THE ONE I LOVE THE BEST, by Ludwig Bemelmans. (Viking Press.)	--	1
""			
9	HAVE TUX, WILL TRAVEL, by Bob Hope. (Simon and Schuster.)	10	4
""			
10	I'LL CRY TOMORROW, by Lillian Roth. (Frederick Fell, Inc.)	8	40
""			
""	ESSAYS IN THE PUBLIC PHILOSOPHY, by Walter Lippmann. (Little, Brown and		
11		12	2
""	Company.)		
""			
""	AN ENCYCLOPEDIA OF MODERN AMERICAN HUMOR, by Bennett Cerf.		
12		9	13
""	(Doubleday and Co.)		
""			
13	AMERICAN IN RUSSIA, by Harrison Evans Salisbury. (Harper and Brothers.)	--	1
""			
14	THE PRAYERS OF PETER MARSHALL, by Catherine Marshall. (McGraw-Hill.)	14	16
""			
""	LIFE IS WORTH LIVING: 2nd SERIES, by Fulton J. Sheen. (McGraw-Hill Book		
15		15	4
""	Company, Inc.)		
""			
16	TWO MINUTES TILL MIDNIGHT, by Elmer Davis. (Bobbs Merrill Co.)	--	1
