This	October 25, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	3	39
""			
2	BEYOND THIS PLACE, by A.J. Cronin.	1	13
""			
3	TOO LATE THE PHALAROPE, by Alan Paton.	2	8
""			
4	TIME AND TIME AGAIN, by James Hilton.	4	8
""			
5	THE UNCONQUERED, by Ben Ames Williams.	5	7
""			
6	BATTLE CRY, by Leon Uris.	6	24
""			
7	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	7	25
""			
8	THE ADVENTURES OF AUGIE MARCH, by Saul Bellow.	8	4
""			
9	THE FEMALE, by Paul Wellman.	12	2
""			
10	THE LADY OF ARLINGTON, by Harnett T. Kane.	11	2
""			
11	COME, MY BELOVED, by Pearl S. Buck.	9	9
""			
12	THE HEART OF THE FAMILY, by Elizabeth Goudge.	14	3
""			
13	THE DEVIL'S LAUGHTER, by Frank Yerby.	10	2
""			
14	THE SILVER CHALICE, by Thomas B. Costain.	--	63
""			
15	LOVE IS A BRIDGE, by Charles Bracelen Flood.	--	1
""			
16	FROM HERE TO ETERNITY, by James Jones.	13	64
This	October 25, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	51
""			
2	THE SPIRIT OF ST. LOUIS, by Charles Lindbergh.	4	4
""			
3	SEXUAL BEHAVIOR IN THE HUMAN FEMALE, by Paul Kinsey.	2	5
""			
4	A HOUSE IS NOT A HOME, by Polly Adler.	3	19
""			
5	LELIA, by Andre Maurois.	7	5
""			
6	GONE WITH THE WINDSORS, by Iles Brody.	5	4
""			
7	A MAN CALLED PETER, by Catherine Marshall.	6	105
""			
8	PERIOD PIECE, by Gwen Raverat.	8	8
""			
9	HOW TO PLAY YOUR BEST GOLF ALL THE TIME, by Tommy Armour.	12	24
""			
10	HOLY BIBLE: REVISED STANDARD VERSION.	10	54
""			
11	THE RENAISSANCE, by Will Durant.	--	1
""			
12	FATHER, DEAR FATHER, by Ludwig Bemelmans.	11	7
""			
13	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	9	36
""			
14	HORN OF THE HUNTER, by Robert Ruark.	--	6
""			
15	ANNAPURNA, by Maurice Herzog.	14	40
""			
16	CALL ME LUCKY, by Bing Crosby.	16	15
