This	December 12, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	LOVE IS ETERNAL, by Irving Stone.	1	15
""			
2	THE VIEW FROM POMPEY'S HEAD, by Hamilton Basso.	2	6
""			
3	KATHERINE, by Anya Seton.	3	9
""			
4	NO TIME FOR SERGEANTS, by Mac Hyman.	4	8
""			
5	SOLDIER OF FORTUNE, by Ernest Kellogg Gann.	6	8
""			
6	MARY ANNE, by Daphne du Maurier.	5	26
""			
7	NOT AS A STRANGER, by Morton Thompson.	7	47
""			
8	MY BROTHER'S KEEPER, by Marcia Davenport.	8	5
""			
9	GOOD MORNING, MISS DOVE, by Frances Gray Patton.	9	3
""			
10	BLUE HURRICANE, by F. Van Wyck Mason.	10	4
""			
11	REUNION, by Merle Miller.	13	5
""			
12	HADRIAN'S MEMOIRS, by Marguerite Yourcenar.	--	1
""			
13	THE FALL OF A TITAN, by Igor Gouzenko.	12	19
""			
14	THE ROYAL BOX, by Frances Parkinson Keyes.	11	25
""			
15	JONATHAN BLAIR, by William Donahue Ellis.	--	1
""			
16	THE BULLS OF PARRAL, by Marguerite Steen.	--	1
This	December 12, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	110
""			
2	ABRAHAM LINCOLN, by Carl Sandburg.	2	9
""			
3	THE TUMULT AND THE SHOUTING, by Grantland Rice.	4	4
""			
4	I'LL CRY TOMORROW, by Lillian Roth.	3	27
""			
5	CALL TO GREATNESS, by Adlai E. Stevenson.	5	14
""			
6	THE SATURDAY EVENING POST TREASURY, by Roger Butterfield.	7	4
""			
7	R.S.V.P. ELSA MAXWELL'S OWN STORY, by Elsa Maxwell.	6	5
""			
8	MY SEVERAL WORLDS, by Pearl S. Buck.	9	3
""			
9	THE PRAYERS OF PETER MARSHALL, by Catherine Marshall.	13	3
""			
10	MELBOURNE, by David Cecil.	10	10
""			
11	TNT: THE POWER WITHIN YOU, by Claude M. and Harold Sherman Bristol.	8	22
""			
12	A CHILD OF THE CENTURY, by Ben Hecht.	16	24
""			
""	MACARTHUR -- 1941-1951, by Major General Charles A. Willoughby and John		
13	Chamberlain.	--	7
""			
14	THE UNTOLD STORY OF DOUGLAS MACARTHUR, by Frazier Hunt.	--	2
""			
15	THIS IS BELIEVE: 2, by Raymond Swing.	15	4
""			
16	THIRTY YEARS, by John P. Marquand.	--	1
