This	April 13, 1958	Last	Weeks
Week	Fiction	Week	On List
""			
1	ANATOMY OF A MURDER, by Robert Traver. (St. Martin's.)	1	12
""			
2	THE WINTHROP WOMAN, by Anya Seton. (Houghton Mifflin Company.)	2	6
""			
""	BY LOVE POSSESSED, by James Gould Cozzens. (Harcourt, Brace and		
3		3	32
""	Company.)		
""			
4	NORTH FROM ROME, by Helen MacInnes. (Houghton Mifflin Harcourt.)	5	6
""			
5	RALLY ROUND THE FLAG BOYS!, by Max Schulman. (Doubleday.)	4	33
""			
6	THE WHITE WITCH, by Elizabeth Goudge. (Coward-McCann, Inc.)	6	12
""			
7	MAGGIE-NOW, by Betty Smith. (Harper and Brothers.)	7	7
""			
8	ICE PALACE, by Edna Ferber. (Doubleday.)	12	3
""			
9	THE SERGEANT, by Dennis Murphy. (Viking.)	13	2
""			
10	THE ROOTS OF HEAVEN, by Romain Gary. (Simon and Schuster.)	10	9
""			
11	TIME AND THE HOUR, by Howard Spring. (Harper and Brothers.)	8	5
""			
12	THE GREENGAGE SUMMER, by Rumer Godden. (Viking.)	--	1
""			
13	EXILE AND THE KINGDOM, by Albert Camus. (Alfred A. Knopf.)	16	3
""			
14	HOME FROM THE HILL, by William Humphrey. (Alfred A. Knopf.)	15	7
""			
15	SOME CAME RUNNING, by James Jones. (Charles Scribner's Sons.)	14	12
""			
16	BELOW THE SALT, by Thomas B. Costain. (Doubleday and Company, Inc.)	--	26
This	April 13, 1958	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	PLEASE DON'T EAT THE DAISIES, by Jean Kerr. (Doubleday.)	1	18
""			
2	MASTERS OF DECEIT, by J. Edgar Hoover. (Henry Holt and Co.)	3	3
""			
3	KIDS SAY THE DARNDEST THINGS!, by Art Linkletter. (Prentice Hall Inc.)	2	21
""			
4	BARUCH: MY OWN STORY, by Bernard M. Baruch. (Henry Holt and Company.)	4	32
""			
""	THE GREAT DEMOCRACIES, by Winston S. Churchill. (Dodd, Mead and		
5		6	4
""	Company.)		
""			
""	"""WHERE DID YOU GO?"" ""OUT"" ""WHAT DID YOU DO?"" ""NOTHING."", by Robert"		
6		5	35
""	Paul Smith. (W.W. Norton and Company.)		
""			
7	LIFE PLUS 99 YEARS, by Nathan F. Leopold. (Doubleday and Company Inc.)	7	4
""			
""	PETER FREUCHEN'S BOOK OF THE SEVEN SEAS, by Peter Freuchen and		
8		8	17
""	David Loth. (Simon and Schuster.)		
""			
9	ATTORNEY FOR THE DAMNED, by Arthur Weinberg. (Simon and Schuster.)	9	13
""			
10	THE NEW CLASS, by Milovan Djilas. (Frederick A. Praeger.)	13	31
""			
11	MADISON AVENUE, U.S.A., by Martin Mayer. (Harper and Brothers.)	10	3
""			
12	VOLTAIRE IN LOVE, by Nancy Mitford. (Harper and Brothers.)	14	5
""			
13	TO LIVE AGAIN, by Catherine Marshall. (McGraw Hill.)	11	23
""			
14	THE HIDDEN PERSUADERS, by Vance Packard. (David McKay Company.)	12	46
""			
""	NAKED TO MINE ENEMIES, by Charles W. Ferguson. (Little, Brown and		
15		15	9
""	Company.)		
""			
16	PARKINSON'S LAW, by C. Northcote Parkinson. (Houghton and Mifflin.)	--	20
