This	June 6, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	NOT AS A STRANGER, by Morton Thompson.	1	20
""			
2	BLESS THIS HOUSE, by Norah Lofts.	2	9
""			
3	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	4	4
""			
4	AWAY ALL BOATS, by Kenneth Dodson.	3	12
""			
5	THE NIGHT OF THE HUNTER, by Davis Grubb.	8	13
""			
6	SAYONARA, by James A. Michener.	5	17
""			
7	THE SONG OF RUTH, by Frank G. Slaughter.	7	5
""			
8	BHOWANI JUNCTION, by John Masters.	6	8
""			
9	THE DOLLMAKER, by Harriette Arnow.	10	4
""			
10	THE GIPSY IN THE PARLOUR, by Margery Sharp.	11	5
""			
11	THE SPIDER KING, by Lawrence Schoonover.	9	8
""			
12	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	--	56
""			
13	PICTURES FROM AN INSTITUTION, by Randall Jarrell.	13	2
""			
14	THE DESPERATE HOURS, by Joseph Hayes.	12	10
""			
15	THE BAD SEED, by William March.	15	2
""			
16	LORD VANITY, by Samuel Shellabarger.	14	31
This	June 6, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	83
""			
2	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	2	14
""			
3	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	3	12
""			
4	MINUTES OF THE LAST MEETING, by Gene Fowler.	4	7
""			
5	SECOND TREE FROM THE CORNER, by E.B. White.	6	18
""			
6	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	5	11
""			
7	McCARTHY AND HIS ENEMIES, by William F. Buckley and Brent Bozell.	7	8
""			
8	FINAL SECRET OF PEARL HARBOR, by Rear Admiral Robert A. Theobald.	11	4
""			
9	THE TAFT STORY, by William S. White.	13	6
""			
10	SEVEN YEARS IN TIBET, by Heinrich Harrer.	10	12
""			
11	THE REASON WHY, by Cecil Woodham-Smith.	8	3
""			
12	CELL 2455 DEATH ROW, by Caryl Chessman.	12	2
""			
13	LIFE IS WORTH LIVING, by Fulton J. Sheen.	9	31
""			
14	THE MAN WHO NEVER WAS, by Ewen Montagu.	14	16
""			
15	THE CONQUEST OF EVEREST, by Sir John Hunt.	--	17
""			
16	SECRET DIARY OF HAROLD L. ICKES, Vol. II, by Harold L. Ickes.	16	2
