This	June 22, 1986	Last	Weeks
Week	Fiction	Week	On List
""			
1	LAST OF THE BREED, by Louis L'Amour. (Bantam, $17.95.) The adventures of a	4	2
""	United States Air Force major in Siberia.		
""			
2	I'LL TAKE MANHATTAN, by Judith Krantz. (Crown, $18.95.) Rich, beautiful Maxi	2	9
""	Amberville conquers the world of magazine publishing.		
""			
3	A PERFECT SPY, by John le Carré. (Knopf, $18.95.) The tale of Magnus Pym, a	1	9
""	British secret agent, and his father, Rick, a flamboyant con man.		
""			
4	THE EIGHTH COMMANDMENT, by Lawrence Sanders. (Putnam, $18.95.) The	6	3
""	theft of a priceless Greek coin reveals a New York dynasty's scandals.		
""			
5	THE GARDEN OF EDEN, by Ernest Hemingway. (Scribners, $18.95.) A writer and	5	4
""	his wife have affairs with the same woman on their honeymoon.		
""			
6	THE BOURNE SUPREMACY, by Robert Ludlum. (Random House, $19.95.) The	3	16
""	hero of ''The Bourne Identity'' foils a plot to seize Hong Kong.		
""			
7	TAMING A SEA-HORSE, by Robert B. Parker. (Seymour Lawrence/Delacorte,	8	2
""	$15.95.) The private eye Spenser tracks a young woman through the seamy		
""	byways of a pleasure empire.		
""			
8	THE GOOD MOTHER, by Sue Miller . (Harper & Row, $17.95.) A woman's	10	6
""	attachment to her daughter becomes a consuming passion.		
""			
9	LAKE WOBEGON DAYS, by Garrison Keillor . (Viking, $17.95.) Yarns about life in	7	43
""	a small Minnesota town.		
""			
10	GONE WITH THE WIND, by Margaret Mitchell. (Macmillan, $9.95; $16.95 after	--	1
""	June 30). A facsimile of the original 1936 edition.		
""			
11	THE MAMMOTH HUNTERS, by Jean M. Auel. (Crown, $19.95.) Ayla continues	9	31
""	her adventures in the prehistoric world.		
""			
12	NOBODY LIVES FOREVER, by John Gardner. (Putnam, $12.95.) James Bond on	11	4
""	the trail of the kidnapper of his devoted housekeeper.		
""			
13	BARRIER ISLAND, by John D. MacDonald. (Knopf, $16.95.) One man sets out to	--	1
""	thwart a multimillion-dollar Mississippi land swindle.		
""			
14	LIE DOWN WITH LIONS, by Ken Follett. (Morrow, $18.95.) An Englishwoman	12	21
""	caught between the C.I.A. and the K.G.B. in Afghanistan.		
""			
15	THE BOOK OF ABRAHAM, by Marek Halter. (Holt, $19.95.) A Jewish family	14	6
""	through 100 generations.		
""			
16	ACT OF WILL, by Barbara Taylor Bradford. (Doubleday, $17.95.) Three	--	1
This	June 22, 1986	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	FATHERHOOD, by Bill Cosby. (Dolphin/ Doubleday, $14.95.) Anecdotes and	1	7
""	ruminations from the television star and father of five.		
""			
2	YOU'RE ONLY OLD ONCE! by Dr. Seuss. (Random House, $9.95.) A checkup at	2	15
""	the Golden Years Clinic in pictures and rhyme; the first Dr. Seuss book for adults.		
""			
3	JAMES HERRIOT'S DOG STORIES, by James Herriot. (St. Martin's, $19.95.)	4	6
""	Fifty tales by a Yorkshire veterinarian about his favorite animal.		
""			
4	THE TRIUMPH OF POLITICS, by David A. Stockman. (Harper & Row, $21.95.)	3	7
""	Why President Reagan was unable to balance the budget.		
""			
5	ENTER TALKING, by Joan Rivers with Richard Meryman. (Delacorte, $17.95.)	5	7
""	The talk-show hostess' long professional climb.		
""			
6	WHEN ALL YOU'VE EVER WANTED ISN'T ENOUGH, by Harold S. Kushner.	6	10
""	(Summit, $16.95.) A rabbi discusses ''the search for a life that matters.''		
""			
7	NECESSARY LOSSES, by Judith Viorst. (Simon & Schuster, $17.95.) Life is a	8	9
""	series of losses, the author argues, and we must confront them to grow.		
""			
8	YEAGER: An Autobiography, by Chuck Yeager and Leo Janos. (Bantam, $17.95.)	9	48
""	The story of the first man to fly faster than sound.		
""			
9	FORD: The Men and the Machine, by Robert Lacey. (Little, Brown, $24.95.) A	--	1
""	history of the automobile company and the dynasty founded by Henry Ford.		
""			
10	''AND SO IT GOES,'' by Linda Ellerbee. (Putnam, $16.95.) Television journalism	15	2
""	as experienced by an NBC correspondent.		
""			
11	THE MAN WHO MISTOOK HIS WIFE FOR A HAT, by Oliver Sacks. (Summit,	11	12
""	$15.95.) The loss of the faculty of recognition and other strange neurological		
""	disabilities.		
""			
12	BUS 9 TO PARADISE, by Leo Buscaglia. (Slack/ Morrow, $16.95.) Another trip	7	19
""	with the ebullient advocate of the virtues of love.		
""			
13	IACOCCA: An Autobiography, by Lee Iacocca with William Novak. (Bantam,	10	86
""	$19.95.) The rise of an immigrants' son to top jobs at Ford and Chrysler.		
""			
14	ALL GOD'S CHILDREN NEED TRAVELING SHOES, by Maya Angelou. (Random	12	5
""	House, $15.95.) A memoir that carries the writer's story from her native Arkansas		
""	to her ancestral Ghana.		
""			
15	BESS W. TRUMAN, by Margaret Truman. (Macmillan, $19.95.) Her daughter	14	8
""	shows that the former First Lady was intelligent and caring as well as private and		
""	austere.		
