This	August 20, 1989	Last	Week
eek	Fiction	Week	On Li
""			
1	THE RUSSIA HOUSE, by John le Carré. (Knopf, $19.95.) Espionage changes its ways	2	11
""	as glasnost begins to rust the Iron Curtain.		
""			
2	POLAR STAR, by Martin Cruz Smith. (Random House, $19.95.)  Russian and American	1	7
""	teams investigate the mysterious movements of a Soviet ship in northern Pacific waters.		
""			
3	THE JOY LUCK CLUB, by Amy Tan. (Putnam, $18.95.) The tensions and cultural	3	20
""	bonds shared by Chinese-American women and their immigrant mothers.		
""			
4	BLESSINGS, by Belva Plain. (Delacorte, $19.95.) A lawyer's romantic past catches up	6	3
""	with her on the eve of her marriage and the trial of her most important case.		
""			
5	WHILE MY PRETTY ONE SLEEPS, by Mary Higgins Clark. (Simon & Schuster,	5	15
""	$19.95.) The murder of a gossip writer creates a storm in New York's high-fashion		
""	world.		
""			
6	RED PHOENIX, by Larry Bond. (Warner, $19.95.) Three American servicemen and the	4	12
""	roles they play in a second Korean war.		
""			
7	KNIGHT IN SHINING ARMOR, by Jude Deveraux. (Pocket, $17.95.) A 20th-century	9	2
""	American woman finds love though an encounter with a 16th-century English nobleman.		
""			
8	JOURNEY, by James Michener.  (Random House, $16.95.) The 1897 trek of four British	7	4
""	aristocrats and an Irish manservant across Canada to reach the Klondike gold fields.		
""			
9	THE TEMPLE OF MY FAMILIAR, by Alice Walker. (Harcourt Brace Jovanovich,	8	16
""	$19.95.) The relations of the species, races and sexes through the past 5,000 centuries.		
""			
10	THE NEGOTIATOR, by Frederick Forsyth. (Bantam, $19.95.) An American expatriate	11	17
""	tries to thwart terrorists' attempts to prevent the signing of a disarmament pact.		
""			
11	WIN, LOSE OR DIE, by John Gardner. (Putnam, $13.95.) James Bond takes on	--	1
""	terrorists during a British, Russian and American naval exercise.		
""			
12	MURDER AT THE KENNEDY CENTER, by Margaret Truman.  (Random House,	12	3
""	&17.95.) Intrigue and passion surround the mysterious death of the aide to a		
""	Presidential candidate.		
""			
13	TALKING GOD, by Tony Hillerman. (Harper & Row, $17.95.) Two New Mexican	10	12
""	policemen pursue a mystery involving valuable Indian ceremonial masks.		
""			
14	DAY OF THE CHEETAH, by Dale Brown (Fine, $18.95.) America's most advanced	--	7
""	weapon falls into the hands of a pilot who is a K.G.B. mole.		
""			
15	PRINCE OF THE BLOOD, by Raymond E. Feist.  (Foundation/Doubleday, $18.95.)	--	1
""	Intrigue and rebellion wrack the fantasy land of Kesh.		
This	August 20, 1989	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ALL I REALLY NEED TO KNOW I LEARNED IN KINDERGARTEN, by Robert	1	42
""	Fulghum. (Villard, $15.95.) Inspirational essays about everyday matters.		
""			
2	IT'S ALWAYS SOMETHING, by Gilda Radner. (Simon & Schuster, $17.95.) The	2	11
""	late comedian's memoir describes her battle with ovarian cancer.		
""			
3	A WOMAN NAMED JACKIE, by C. David Heymann. (Lyle Stuart, $21.95.) A	3	15
""	biography of Jacqueline Kennedy Onassis.		
""			
4	A BRIEF HISTORY OF TIME, by Stephen W. Hawking. (Bantam, $18.95.) A	4	70
""	scientist reviews efforts to create a unified theory of the universe.		
""			
5	THE GOOD TIMES, by Russell Baker. (Morrow, $19.95.) The New York Times	8	11
""	columnist recalls his experiences from Baltimore newsboy to Washington		
""	correspondent during the 50's and 60's.		
""			
6	FROM BEIRUT TO JERUSALEM, by Thomas L. Friedman. (Farrar, Straus &	6	4
""	Giroux, $22.95.) The Arab-Israeli conflict as observed by a New York times		
""	correspondent over the past decade.		
""			
7	SUMMER OF '49, by David Halberstam. (Morrow, $21.95.) The year the Boston	5	13
""	Red Sox and the New York Yankees battled to the last game for the American		
""	League pennant.		
""			
8	KING OF THE NIGHT, by Laurence Leamer. (Morrow, $19.95.) A biography of the	7	3
""	television talk-show host Johnny Carson.		
""			
9	PERSONAL FOULS, by Peter Golenbock.  (Carroll & Graf, $18.95.) An	--	1
""	investigative account of the basketball program at North Carolina State University.		
""			
10	DAVE BARRY SLEPT HERE, by Dave Barry.  (Random House, $12.95.)  A	9	7
""	humorist's account of American history.		
""			
11	LOVE AND MARRIAGE, by Bill Cosby. (Doubleday, $16.95.) Observations on the	10	17
""	elations and frustrations of romantic relationships.		
""			
12	GREAT PLAINS, by Ian Frazier. (Farrar, Straus, & Giroux, $17.95.) The history	11	6
""	and legends of the American prairies depicted by a visitor from the East.		
""			
13	THE ANDY WARHOL DIARIES, edited by Pat Hackett. (Warner, $29.95.)	14	13
""	Observations and opinions dictated by the artist and celebrity from 1976 to 1987.		
""			
14	CITIZENS, by Simon Schama. (Knopf, $29.95.) A history of the French	12	19
""	Revolution.		
""			
15	RUNNING THE AMAZON, by Joe Kane. (Knopf, $19.95.) The journal of a trek	--	1
""	along the length of the Western Hemisphere's longest river.		
