This	May 18, 1986	Last	Weeks
Week	Fiction	Week	On List
""			
1	A PERFECT SPY, by John le Carré. (Knopf, $18.95.) The tale of Magnus Pym, a	1	4
""	British secret agent, and his father, Rick, a flamboyant con man.		
""			
2	I'LL TAKE MANHATTAN, by Judith Krantz. (Crown, $18.95.) Rich, beautiful Maxi	2	4
""	Amberville conquers the world of magazine publishing.		
""			
3	THE BOURNE SUPREMACY, by Robert Ludlum. (Random House, $19.95.) The	3	11
""	hero of ''The Bourne Identity'' foils a plot to seize Hong Kong.		
""			
4	LAKE WOBEGON DAYS, by Garrison Keillor. (Viking, $17.95.) Yarns about life in	5	38
""	a small Minnesota town.		
""			
5	THE MAMMOTH HUNTERS, by Jean M. Auel. (Crown, $19.95.) Ayla continues	4	26
""	her adventures in the prehistoric world.		
""			
6	BREAK IN, by Dick Francis. (Putnam, $17.95.) Mystery, melodrama and bitter	6	9
""	family rivalry in the world of British steeplechase racing.		
""			
7	LIE DOWN WITH LIONS, by Ken Follett. (Morrow, $18.95.) An Englishwoman	7	16
""	caught between the C.I.A. and the K.G.B. in Afghanistan.		
""			
8	THE BOOK OF ABRAHAM, by Marek Halter. (Holt, $19.95.) One hundred	--	1
""	generations in the life of a Jewish family.		
""			
9	THE GOOD MOTHER, by Sue Miller. (Harper & Row, $17.95.) A woman's	--	1
""	attachment to her daughter becomes a consuming passion.		
""			
10	THE HANDMAID'S TALE, by Margaret Atwood. (Houghton Mifflin, $16.95.) In the	8	12
""	America of the future, men and women perform assigned services.		
""			
11	HOME FRONT, by Patti Davis with Maureen Strange Foster. (Crown, $15.95.) A	9	8
""	semi-autobiographical novel by the daughter of President and Mrs. Reagan.		
""			
12	HIGH HEARTS, by Rita Mae Brown. (Bantam, $17.95.) The experiences of a	--	1
""	Virginia belle who joins the Confederate cavalry.		
""			
13	JOANNA'S HUSBAND AND DAVID'S WIFE, by Elizabeth Forsythe Hailey.	--	8
""	(Delacorte, $17.95.) Two sides of a marriage revealed through diary entries.		
""			
14	SEASONS OF THE HEART, by Cynthia Freeman. (Putnam, $17.95.) A	10	8
""	businesswoman is torn between devotion to her husband and her mentor.		
""			
15	LONESOME DOVE, by Larry McMurtry. (Simon & Schuster, $18.95.) The Old	--	21
""	West seen larger than life; winner of a Pulitzer Prize.		
""			
16	NERILKA'S STORY, by Anne McCaffrey. (Del Rey/Ballantine, $12.95.) While	13	7
""	fighting a plague on the planet Pern, Nerilka finds a true love.		
This	May 18, 1986	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE TRIUMPH OF POLITICS, by David A. Stockman. (Harper & Row, $21.95.)	1	2
""	Why President Reagan was unable to balance the budget.		
""			
2	YOU'RE ONLY OLD ONCE! by Dr. Seuss. (Random House, $9.95.) A checkup at	2	10
""	the Golden Years Clinic in pictures and rhyme.		
""			
3	FATHERHOOD, by Bill Cosby. (Dolphin/ Doubleday, $14.95.) Anecdotes and	9	2
""	ruminations from the television star and father of five.		
""			
4	WHEN ALL YOU'VE EVER WANTED ISN'T ENOUGH, by Harold S. Kushner.	4	5
""	(Summit, $16.95.) A rabbi on ''the search for a life that matters.''		
""			
5	BUS 9 TO PARADISE, by Leo Buscaglia. (Slack/ Morrow, $16.95.) Another trip	3	14
""	with the ebullient advocate of the virtues of love.		
""			
6	ENTER TALKING, by Joan Rivers with Richard Meryman. (Delacorte, $17.95.)	16	2
""	The talk-show hostess' long professional climb.		
""			
7	NECESSARY LOSSES, by Judith Viorst. (Simon & Schuster, $17.95.) Life is a	7	4
""	series of losses, the author argues, and we must confront them to grow.		
""			
8	BESS W. TRUMAN, by Margaret Truman. (Macmillan, $19.95.) Her daughter	8	3
""	shows that the former First Lady was intelligent and caring as well as private and		
""	austere.		
""			
9	THE MAN WHO MISTOOK HIS WIFE FOR A HAT, by Oliver Sacks. (Summit,	5	7
""	$15.95.) Strange neurological disabilities.		
""			
10	IACOCCA: An Autobiography, by Lee Iacocca with William Novak. (Bantam,	11	81
""	$19.95.) The rise of an immigrants' son to top jobs at Ford and Chrysler.		
""			
11	ADRIFT, by Steven Callahan. (Houghton Mifflin, $15.95.) One man's survival for	13	12
""	76 days on an inflatable raft in the Atlantic.		
""			
12	BLESSINGS IN DISGUISE, by Alec Guinness. (Knopf, $17.95.) The	6	8
""	autobiography of the distinguished English actor.		
""			
13	YEAGER: An Autobiography, by Chuck Yeager and Leo Janos. (Bantam, $17.95.)	10	45
""	The story of the first man to fly faster than sound.		
""			
14	THE GREAT GETTY, by Robert Lenzner. (Crown, $18.95.) The life and loves of J.	12	11
""	Paul Getty, who was the richest man in the world.		
""			
15	GREED AND GLORY ON WALL STREET, by Ken Auletta. (Random House,	14	13
""	$19.95.) The fall of the investment bankers Lehman Brothers Kuhn Loeb.		
""			
16	JAMES HERRIOT'S DOG STORIES, by James Herriot. (St. Martin's, $19.95.)	--	1
