This	March 15, 1987	Last	Weeks
Week	Fiction	Week	On List
""			
1	WINDMILLS OF THE GODS, by Sidney Sheldon. (Morrow, $18.95.) The	1	6
""	nightmarish experiences that befall a woman and her family after her appointment		
""	as Ambassador to Rumania.		
""			
2	THE EYES OF THE DRAGON, by Stephen King. (Viking, $18.95.) A fairy tale,	2	7
""	complete with an aged king, two princes, an evil wizard and a mouse.		
""			
3	RED STORM RISING, by Tom Clancy. (Putnam, $19.95.) The West tries to stave	3	33
""	off the Russians.		
""			
4	OUTBREAK, by Robin Cook. (Putnam, $17.95.) Tracking down a mysterious	7	4
""	disease that strikes certain physicians and their patients.		
""			
5	NIGHT OF THE FOX, by Jack Higgins. (Simon & Schuster, $17.95.) A mission to	5	9
""	keep D-Day plans from being discovered by the Germans.		
""			
6	THE PANIC OF '89, by Paul Erdman. (Doubleday, $17.95.) A financial wizard	6	8
""	undertakes to defuse the crisis besetting the American economy.		
""			
7	IT, by Stephen King. (Viking, $22.95.) Childhood horrors haunt six men and a	4	27
""	woman who grew up in a small Maine town.		
""			
8	DREAMS ARE NOT ENOUGH, by Jacqueline Briskin. (Putnam, $18.95.) A	12	4
""	California family dynasty out to conquer the world.		
""			
9	FLIGHT OF THE INTRUDER, by Stephen Coonts. (Naval Institute, $15.95.) Navy	9	20
""	aviators at war over Vietnam.		
""			
10	THE PRINCE OF TIDES, by Pat Conroy.  (Houghton Mifflin, $19.95.) Complex	10	24
""	family relationships in South Carolina and New York City.		
""			
11	BOLT, by Dick Francis. (Putnam, $17.95.) The  jockey-hero of ''Break In'' has to	--	1
""	contend with a romantic crisis and an arms-selling intrigue.		
""			
12	WHIRLWIND, by James Clavell. (Morrow, $22.95.) Iran during the month following	8	19
""	the Shah's departure.		
""			
13	THE DINNER PARTY, by Howard Fast. (Houghton Mifflin, $17.95.) The feelings of	15	3
""	family  and friends surface at a Washington get-together.		
""			
14	PATIENCE OF A SAINT, by Andrew M. Greeley. (Geis/Warner, $18.95.) A hard-	14	6
""	bitten  newspaperman learns a lot about his family and  decency while on the trail		
""	of a wily politician.		
""			
15	BANDITS, by Elmore Leonard. (Arbor House,  $17.95.) A gang of three plots to	11	9
""	heist millions being sent to the contras in Nicaragua.		
This	March 15, 1987	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	A SEASON ON THE BRINK, by John Feinstein. (Macmillan, $16.95.) A chronicle	1	11
""	of one season spent with the coach Bob Knight and his Indiana University		
""	basketball team.		
""			
2	THE FITZGERALDS AND THE KENNEDYS, by Doris Kearns Goodwin. (Simon &	3	4
""	Schuster, $22.95.) From the Boston slums of Irish immigrants to the White House:		
""	three generations of a family.		
""			
3	COMMUNION, by Whitley Strieber. (Beech Tree/ Morrow, $17.95.) A professional	7	3
""	writer tells of the visits of ''intelligent nonhumans'' to his family's place in upstate		
""	New York.		
""			
4	FATHERHOOD, by Bill Cosby. (Dolphin/Doubleday, $14.95.) Anecdotes and	2	45
""	ruminations from the television star and father of five.		
""			
5	ECHOES IN THE DARKNESS, by Joseph Wambaugh. (Perigord/Morrow,	4	5
""	$18.95.) A case involving the murder of a Pennsylvania high school teacher and		
""	the disappearance of her two children.		
""			
6	THE FATAL SHORE, by Robert Hughes. (Knopf, $24.95.) Australia from penal	5	5
""	colony to its gradual emergence as a flourishing nation.		
""			
7	A DAY IN THE LIFE OF AMERICA. (Collins Publishers, $39.95.) The nation on	6	15
""	May 2, 1986, as recorded in pictures by 200 photojournalists.		
""			
8	YOU'RE ONLY OLD ONCE! by Dr. Seuss. (Random House, $9.95.) A checkup at	10	53
""	the Golden Years Clinic in pictures and rhyme; the first Dr. Seuss book for adults.		
""			
9	THE SEARCH FOR SIGNS OF INTELLIGENT LIFE IN THE UNIVERSE, by Jane	8	9
""	Wagner. (Harper & Row, $15.95.) Acerb observations on life today; script of the		
""	show starring Lily Tomlin.		
""			
10	REAGAN'S AMERICA: Innocents at Home, by Garry Wills. (Doubleday, $19.95.)	11	6
""	The 40th President as the product and embodiment of an American mythology.		
""			
11	INTIMATE PARTNERS, by Maggie Scarf. (Random House, $18.95.) Changing	9	2
""	patterns in love and marriage.		
""			
12	LIFE WISH, by Jill Ireland. (Little, Brown, $17.95.) The author tells of her battle	15	2
""	against cancer.		
""			
13	DANCING ON MY GRAVE, by Gelsey Kirkland with Greg Lawrence. (Doubleday,	--	15
""	$17.95.) The ballerina recalls her checkered career.		
""			
14	THE RECKONING, by David Halberstam. (Morrow, $19.95.) The crisis in the	13	23
""	American automobile industry and Japan's role in it.		
