This	October 15,1989	Last	Weeks
Week	Fiction	Week	On List
""			
1	CLEAR AND PRESENT DANGER, by Tom Clancy. (Putnam, $21.95.) The C.I.A.'s	1	7
""	Jack Ryan comes to the rescue of Americans fighting Colombian drug lords.		
""			
2	PILLARS OF THE EARTH, by Ken Follett. (Morrow, $22.95.) The lives of men and	2	5
""	women whose fortunes are linked by the construction of a cathedral in 12-th		
""	century England.		
""			
3	JIMMY STEWART AND HIS POEMS, by Jimmy Stewart.  (Crown, $9.95.) Verses	4	4
""	by the venerable motion picture star.		
""			
4	CALIFORNIA GOLD, by John Jakes. (Random House, $19.95.) A young man	3	5
""	from Pennsylvania makes his fortune in 19th-century Los Angeles.		
""			
5	OLDEST LIVING CONFEDERATE WIDOW TELLS ALL, by Allan Gurganus.	5	5
""	(Knopf, $21.95.) A 99-year-old woman reflects on her past.		
""			
6	THE LOST YEARS, by J.M. Dillard. (Pocket, $17.95.) What happened to the crew	12	2
""	"of the Enterprise after it completed its five-year ""Star Trek"" mission."		
""			
7	SILENT PARTNER, by Jonathan Kellerman. (Bantam, $18.95.) The 1897 trek of	11	3
""	four British aristocrats and an Irish manservant across Canada to reach the		
""	Klondike gold fields.		
""			
8	THE JOY LUCK CLUB, by Amy Tan. (Putnam, $18.95.) The tensions and cultural	6	28
""	bonds shared by Chinese-American women and their immigrant mothers.		
""			
9	THE OLD SILENT, by Martha Grimes. (Little, Brown, $18.95.) Scotland Yard's	8	7
""	Richard Jury probes a triple-murder case in the West Country.		
""			
10	THE RUSSIA HOUSE, by John le Carré. (Knopf, $19.95.) Espionage changes its	7	19
""	ways as glasnost begins to rust the Iron Curtain.		
""			
11	JOSHUA AND THE CHILDREN, by Joseph F. Girzone. (Macmillian, $13.95.) A	10	9
""	stranger brings hope to a village where violence is a way of life.		
""			
12	THE MINOTAUR, by Stephen Coonts. (Doubleday, $19.95.) The hunt for a mole	--	1
""	in the Pentagon who is giving defense secrets to the Russians.		
""			
13	POLAR STAR, by Martin Cruz Smith. (Random House, $19.95.)  Russian and	9	15
""	American teams investigate the mysterious movements of a Soviet ship in		
""	northern Pacific waters.		
""			
14	MAJESTIC, by Whitley Strieber. (Putnam, $18.95.) Aliens from outer space land in	15	2
""	New Mexico, and the Government suppresses the news.		
""			
15	BLESSINGS, by Belva Plain. (Delacorte, $19.95.) A lawyer's romantic past	13	11
""	catches up with her on the eve of her marriage and the trial of her most important		
This	October 15, 1989	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ALL I REALLY NEED TO KNOW I LEARNED IN KINDERGARTEN, by Robert	1	50
""	Fulghum. (Villard, $15.95.) Inspirational essays about everyday matters.		
""			
2	IT WAS ON FIRE WHEN I LAY DOWN ON IT, by Robert Fulghum.  (Villard,	2	4
""	$17.95.) A new collection of inspirational essays.		
""			
3	AMONG SCHOOLCHILDREN, by Tracy Kidder. (Richard Todd/Houghton Mifflin,	3	7
""	$19.95.) A year in the life of a fifth-grade teacher in Holyoke, Mass.		
""			
4	IT'S ALWAYS SOMETHING, by Gilda Radner. (Simon & Schuster, $17.95.) The	5	19
""	late comedian's memoir describes her battle with ovarian cancer.		
""			
5	A BRIEF HISTORY OF TIME, by Stephen W. Hawking. (Bantam, $18.95.) A	4	78
""	scientist reviews efforts to create a unified theory of the universe.		
""			
6	I WANT TO GROW HAIR, I WANT TO GROW UP, I WANT TO GO TO BOISE, by	--	1
""	Erma Bombeck. (Harper & Row, $16.95.) Fifteen stories of children surviving		
""	cancer.		
""			
7	ROSEANNE, by Roseanne Barr. (Harper & Row, $18.95.) The autobiography of	--	1
""	the television comedian.		
""			
8	OUT OF BOUNDS, by Jim Brown with Steve Delsohn.  (Zebra, $17.95.) The	9	2
""	autobiography of the former professional football player and film star.		
""			
9	FROM BEIRUT TO JERUSALEM, by Thomas L. Friedman. (Farrar, Straus &	8	12
""	Giroux, $22.95.) The Arab-Israeli conflict as observed by a New York times		
""	correspondent over the past decade.		
""			
10	BO, by Bo Schembechler and Mitch Alborn. (Warner, $17.95.) Big-time college	10	4
""	football as lived and observed by the coach of the Michigan Wolverines.		
""			
11	THE WRITING LIFE, by Annie Dillard. (Harper & Row, $15.95.) A novelist	14	5
""	describes and reflects on the creative process.		
""			
12	THE FIGHTING SPIRIT, by Lou Holitz with John Heisler. (Pocket, $18.95.) Notre	6	2
""	Dame's football coach reports on the 1988 championship season.		
""			
13	THE CONTROL OF NATURE, by John McPhee.  (Farrar, Straus & Giroux,	13	8
""	$17.95.) How people in Mississippi, Iceland and California coped with raging		
""	rivers, lava and wind, fire and heavy rain.		
""			
14	LOVE'S EXECUTIONER, by Irvin D. Yalom. (Basic, $19.95.) Case histories from a	15	3
""	Stanford psychiatrist's files.		
""			
15	A WOMAN NAMED JACKIE, by C. David Heymann. (Lyle Stuart, $21.95.) A	7	23
""	biography of Jacqueline Kennedy Onassis.		
