This	October 20,1985	Last	Weeks
Week	Fiction	Week	On List
""			
1	TEXAS, by James A. Michener. (Random House, $21.95.) Four hundred fifty	1	2
""	years of history in fictional form.		
""			
2	LAKE WOBEGON DAYS, by Garrison Keillor. (Viking, $17.95.) Recollections of a	2	8
""	small American town.		
""			
3	CONTACT, by Carl Sagan. (Simon & Schuster, $18.95.) The commotion that	7	2
""	follows the reception of a signal from intelligent life beyond Earth.		
""			
4	LUCKY, by Jackie Collins. (Simon & Schuster, $17.95.) The heiress of a crime	3	9
""	lord takes on the heiress of a shipping tycoon.		
""			
5	THE ACCIDENTAL TOURIST, by Anne Tyler. (Knopf, $16.95.) Family and female	4	5
""	friends impose order of a kind on the errant life of a male travel writer.		
""			
6	SKELETON CREW, by Stephen King. (Putnam, $18.95.) Twenty-two tales of	5	18
""	horror set in contemporary America.		
""			
7	THE SECRETS OF HARRY BRIGHT, by Joseph Wambaugh. (Morrow, $17.95.) A	9	3
""	detective searches for the meaning of his own son's death while investigating a		
""	killing in the California desert.		
""			
8	THE TWO MRS. GRENVILLES, by Dominick Dunne. (Crown, $14.95.) Romance,	6	10
""	scandal and murder in New York's high society.		
""			
9	A MAGGOT, by John Fowles. (Little, Brown, $19.95.) Five travelers in 18th-	8	6
""	century England have mysterious, wonderful and eerie adventures.		
""			
10	LONESOME DOVE, by Larry McMurtry. (Simon & Schuster, $18.95.) The Old	10	17
""	West seen larger than life.		
""			
11	THE IMMIGRANT'S DAUGHTER, by Howard Fast. (Houghton Mifflin, $17.95.)	13	3
""	The concluding volume of the Lavelle saga tells of a woman involved in today's		
""	politics.		
""			
12	GALAPAGOS, by Kurt Vonnegut. (Delacorte, $16.95.) Mankind's sole survivors,	--	1
""	passengers on a Pacific cruise, conclude Darwin's theory of evolution is correct.		
""			
13	THE FOURTH DEADLY SIN, by Lawrence Sanders. (Putnam, $17.95.) Which of	11	14
""	six suspects murdered a saintly New York psychiatrist?		
""			
14	DEPTHS OF GLORY, by Irving Stone. (Doubleday, $19.95.) A biographical novel	--	1
""	of the painter Camille Pissarro.		
""			
15	THE RED FOX, by Anthony Hyde. (Knopf, $17.95.) A spy thriller in which a	15	4
""	journalist journeys to the Soviet Union, seeking the father of the woman he loves.		
This	October 20, 1985	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ELVIS AND ME, by Priscilla Beaulieu Presley with Sandra Harmon. (Putnam,	1	5
""	$16.95.) The rock legend as friend, mentor, lover, husband, father.		
""			
2	DANCING IN THE LIGHT, by Shirley MacLaine. (Bantam, $17.95.) In her 51st	2	4
""	year, the entertainer wins an Oscar, survives a stormy romance and has new		
""	visions of the past and future.		
""			
3	YEAGER: An Autobiography, by Chuck Yeager and Leo Janos. (Bantam, $17.95.)	3	15
""	The story of the first man to fly faster than sound.		
""			
4	IACOCCA: An Autobiography, by Lee Iacocca with William Novak. (Bantam,	4	51
""	$19.95.) The rise of an immigrants' son to top jobs at Ford and Chrysler.		
""			
5	LAST WISH, by Betty Rollin. (Linden/Simon & Schuster, $14.95.) The ordeal of a	5	4
""	woman whose mother, dying Of cancer, wishes to commit suicide.		
""			
6	A PASSION FOR EXCELLENCE, by Tom Peters and Nancy Austin. (Random	6	24
""	House, $19.95.) Ways to achieve distinction in management.		
""			
7	SMART WOMEN, FOOLISH CHOICES, by Connell Cowan and Melvyn Kinder.	9	29
""	(Clarkson N. Potter, $13.95.) Two clinical psychologists analyze modern women's		
""	efforts to find acceptable men.		
""			
8	LIVING WITH THE KENNEDYS, by Marcia Chellis. (Simon & Schuster, $17.95.)	11	3
""	The experiences of Joan Kennedy, the former wife of Senator Edward Kennedy,		
""	with his family.		
""			
9	GODDESS, by Anthony Summers. (Macmillan, $18.95.) The ''secret lives'' of	12	3
""	Marilyn Monroe.		
""			
10	RE-INVENTING THE CORPORATION, by John Naisbitt and Patricia Aburdene.	7	5
""	(Warner, $17.50.) A description of ''the new information society'' and its		
""	opportunities for employees and employers.		
""			
11	ON THE ROAD WITH CHARLES KURALT, by Charles Kuralt. (Putnam, $16.95.)	10	2
""	The television reporter tells of Americans he's encountered.		
""			
12	COMMON GROUND, by J. Anthony Lukas. (Knopf, $19.95.) How school	8	4
""	desegregation affected three Boston families from 1968 to 1978.		
""			
13	DELOREAN, by John Z. Delorean with Ted Schwarz. (Zondervan, $17.95.) The	--	1
""	automobile entrepreneur tells how he became a born-again Christian after being		
""	arrested for drug-trafficking.		
""			
14	I NEVER PLAYED THE GAME, by Howard Cosell with Peter Bonventre. (Morrow,	--	1
""	$18.95.) A dour view of the sports world by the veteran broadcaster.		
