This	November 3, 1974	Last	Weeks
Week	Fiction	Week	On List
""			
1	CENTENNIAL, by James Michener.  (Random House, $12.50.) Dioramic historical	1	10
""	novel covering the land and people around Centennial, Colo.		
""			
2	TINKER, TAILOR, SOLDIER, SPY, by John le Carré. (Knopf, $7.95.) Thinking	2	20
""	"man's spy story about the search for a Soviet ""mole."""		
""			
3	SOMETHING HAPPENED, by Joseph Heller. (Knopf, $10.)  A man's obsession	9	2
""	with the past: a revelation of a type and a time.		
""			
4	THE DOGS OF WAR, by Frederick Forsyth. (Viking, $7.95.) Authenticity is the	3	17
""	main virtue of the thriller about an African coup d'etat.		
""			
5	THE SEVEN-PER-CENT SOLUTION, edited by Nicholas Meyer.  (Dutton, $6.95.)	5	7
""	Droll resurrection of Sherlock Holmes, in which he kicks cocaine, foils a grand plot		
""	against world peace.		
""			
6	THE PIRATE, by Harold Robbins.  (Simon & Schuster, $8.95.) Middle Eastern	6	3
""	melodrama laced with sex, money and power.		
""			
7	"JAWS, Peter Benchley. (Doubleday, $6.95.) ""Better close for winter, Caleb. Big"	4	35
""	"shark et up all the summer people."""		
""			
8	THE WAR BETWEEN THE TATES, by Alison Lurie. (Random House, $6.95.)	7	10
""	Coolly detached satire of academic life in the late sixties.		
""			
9	WATERSHIP DOWN,  by Richard Adams. (Macmillian, $6.95.) The peerless rabbit	8	30
""	saga back for a holiday-season reprise.		
""			
10	THE RHINEMANN EXCHANGE, by Robert Ludlum. (Dial Press, $8.95.)	--	4
""	Entertaining espionage thriller positing a Nazi-American wartime deal.		
This	November 3, 1974	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ALL THE PRESIDENT'S MEN, by Carl Bernstein and Bob Woodward. (Simon &	1	23
""	Schuster, $8.95; also in paper, Warner ($1.95.) Post reporters vs. the Nixon cover-		
""	up.		
""			
2	THE MEMORY BOOK, by Harry Lorayne and Jerry Lucas. (Stein & Day, $7.95.)	2	19
""	How to remember the things you'd rather not forget.		
""			
3	ALL THINGS BRIGHT AND BEAUTIFUL, by James Herriot. (St. Martin's Press,	6	4
""	$8.95.) Pleasant memoirs of a Yorkshire veterinarian.		
""			
4	THE WOMAN HE LOVED, by Ralph G. Martin. (Simon & Schuster, $9.95.)	3	12
""	Gossipy retelling of the Windsors' antique passion.		
""			
5	A BRIDGE TOO FAR, by Cornelius Ryan. (Simon & Schuster, $12.50.) A	5	5
""	disastrous Allied action in World War II, vividly retold.		
""			
6	ALIVE: The Story of the Andes Survivors, by Piers Paul Read. (Lippincott, $10.) A	4	28
""	powerful tale of survival.		
""			
7	YOU CAN PROFIT FROM A MONETARY CRISIS, Harry Browne. (Macmillian,	7	37
""	$8.95.) Investment strategies that will allegedly keep you solvent.		
""			
8	MORE JOY, edited by Alex Comfort. (Crown Publishers, illustrated $12.50,	8	8
""	"nonillustrated $7.95.) More ""Joy of Sex,"" that is."		
""			
9	CAVETT, by Dick Cavett and Christopher Porterfield. (Harcourt Brace Jovanovich,	9	3
""	$8.95.) The TV host remembers in some sparkling, occasionally acerbic dialogue.		
""			
10	THE TOTAL WOMAN, by Marabel Morgan. (Fleming H. Revell, $5.95.) All right,	--	1
""	girls -- shape up for your better halves (advice to the unliberated.)		
