This	February 26, 1978	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE SILMARILLION, by J.R.R. Tolkien. (Houghton Mifflin, $10.95.) Middle Earth	1	23
""	in pre-Hobbit days.		
""			
2	THE THORN BIRDS, by Colleen McCullough. (Harper & Row, $9.95.) Australian	2	41
""	family saga.		
""			
3	BLOODLINE, by Sidney Sheldon. (Morrow, $9.95.) Love and high financial	3	3
""	intrigue on three continents.		
""			
4	THE HONORABLE SCHOOLBOY, by John le Carré. (Knopf, $10.) Espionage in	6	21
""	Hong Kong.		
""			
5	THE BLACK MARBLE, by Joseph Wambaugh. (Delacorte, $9.95.) Cops and	4	9
""	dogknappers in Southern California.		
""			
6	ILLUSIONS, by Richard Bach. (Delacorte/Eleanor Friede, $5.95.) Messiah	5	37
""	barnstorms Middle America.		
""			
7	THE WOMEN'S ROOM, by Marilyn French. (Summit Books, $10.95.) Woman's	10	12
""	rough road to liberation.		
""			
8	BEGGARMAN, THIEF, by Irwin Shaw. (Delacorte, $9.95.) The next generation of	7	19
""	Jordaches takes over.		
""			
9	DELTA OF VENUS, by Anais Nin. (Harcourt Brace Jovanovich, $10.) Elegant	14	30
""	erotica written for a wealthy patron.		
""			
10	DREAMS DIE FIRST, by Harold Robbins. (Simon & Schuster, $9.95.) Hustler-type	8	18
""	girlie magazine publisher.		
""			
11	DANIEL MARTIN, by John Fowles. (Little, Brown, $12.95.) English screenwriter	12	23
""	reviews his life.		
""			
12	DYNASTY, by Robert S. Elegant. (McGraw-Hill, $10.95.) Saga of a Eurasian	--	27
""	family in Hong Kong over three generations.		
""			
13	THE BOOK OF MERLYN, by Terence H. White. (University of Texas Press,	11	21
""	"$9.95.) Missing book of ""The Once and Future King."""		
""			
14	THE IMMIGRANTS, by Howard Fast. (Houghton Mifflin, $6.95.) Ambition and love	9	20
""	in turn-of-the-century San Francisco.		
""			
15	THE SECOND DEADLY SIN, by Lawrence Sanders. (Putnam's, $9.95.) Cop	--	22
""	tracks down a painter's murderer.		
This	February 26, 1978	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE COMPLETE BOOK OF RUNNING, by James F. Fixx. (Random House, $10.)	3	14
""	For fun and health.		
""			
2	ALL THINGS WISE AND WONDERFUL, by James Herriot. (St. Martin's Press,	1	26
""	$10.) More adventures of a Yorkshire vet.		
""			
3	THE SECOND RING OF POWER, by Carlos Castaneda. (Simon & Schuster,	2	11
""	$9.95.) Sorceress tests Castaneda.		
""			
4	THE AMITYVILLE HORROR, by Jay Anson. (Prentice-Hall, $7.95.) Haunted	4	17
""	house in suburbia.		
""			
5	COMING INTO THE COUNTRY, by John McPhee. (Farrar, Straus & Giroux,	5	6
""	$10.95.) The last of the big country - Alaska.		
""			
6	MY MOTHER/MY SELF, by Nancy Friday. (Delacorte, $9.95.) A study of the	7	4
""	mother and daughter relationship.		
""			
7	LOOKING OUT FOR NUMBER ONE, by Robert Ringer. (Cromwell, $9.95.) How	6	34
""	to get yours.		
""			
8	INNER SKIING, by W. Timothy Gallwey and Robert Kriegel. (Random House,	8	5
""	$8.95.) Improving your mental attitude.		
""			
9	GNOMES, text by Wil Huygen, illustrated by Rien Poortvliet. (Harry N. Abrams,	--	13
""	$14.95.) Everything you wanted to know about the little people.		
""			
10	THE COUNTRY DIARY OF AN EDWARDIAN LADY, by Edith Holden. (Holt,	11	16
""	$14.95.) Record kept y a nature-lover and illustrator.		
""			
11	DESIGNING YOUR FACE, by Way Bandy. (Random House, $8.95.) How to use	10	10
""	cosmetics.		
""			
12	THE WOMAN'S DRESS FOR SUCCESS BOOK, by John Malloy. (Follett, $9.95.)	9	11
""	Female guide to tasteful apparel.		
""			
13	ARNOLD: The Education of a Body Builder, by Arnold Schwarzenegger and	12	4
""	Douglas Kent Hall. (Simon & Schuster, $9.95.) Tips from the superstar of		
""	"""Pumping Iron."""		
""			
14	DOWN THE SEINE AND UP THE POTOMAC WITH ART BUCHWALD, by Art	--	7
""	Buchwald. (Putnam's, $10.95.) His best columns over 25 years.		
""			
15	ESSAYS OF E.B. WHITE, by E.B. White. (Harper & Row, $12.50.) Observations	13	18
""	on things large and small.		
