This	October 23, 1977	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE SILMARILLION, by J.R.R. Tolkien. (Houghton Mifflin, $10.95.) Middle Earth	1	5
""	in pre-Hobbit days.		
""			
2	THE THORN BIRDS, by Colleen McCullough. (Harper & Row, $9.95.) Australian	2	23
""	family saga.		
""			
3	THE HONOURABLE SCHOOLBOY, by John le Carré. (Knopf, $10.) Espionage in	7	3
""	Hong Kong.		
""			
4	ILLUSIONS, by Richard Bach. (Delacorte/Eleanor Friede, $5.95.) Messiah	3	19
""	barnstorms Middle America.		
""			
5	DELTA OF VENUS, by Anais Nin. (Harcourt Brace Jovanovich, $10.) Elegant	4	12
""	erotica written for a wealthy patron.		
""			
6	DYNASTY, by Robert S. Elegant. (McGraw-Hill, $10.95.) Saga of a Eurasian	5	10
""	family in Hong Kong over three generations.		
""			
7	DANIEL MARTIN, by John Fowles. (Little, Brown, $12.95.) English screenwriter	6	5
""	reviews his life.		
""			
8	COMA, by Robin Cook. (Little, Brown, $8.95.) Manchurian horror at the Boston	8	8
""	Memorial Hospital.		
""			
9	THE CRASH OF '79, by Paul E. Erdman. (Simon & Schuster, $8.95.) Sheiks, oil,	10	45
""	International intrigue and skullduggery.		
""			
10	THE IMMIGRANTS, by Howard Fast. (Houghton Mifflin, $6.95.) Ambition and love	13	2
""	in turn-of-the-century San Francisco.		
""			
11	FULL DISCLOSURE, by William Safire. (Doubleday, $10.95.) President goes	12	14
""	blind; White House intrigue.		
""			
12	BEGGARMAN, THIEF, by Irwin Shaw. (Delacorte, $9.95.) The next generation of	--	1
""	Jordaches takes over.		
""			
13	THE SECOND DEADLY SIN, by Lawrence Sanders. (Putnam's, $9.95.) Cop	9	6
""	tracks down a painter's murderer.		
""			
14	THE BOOK OF MERLYN, by Terence H. White. (University of Texas Press,	15	3
""	"$9.95.) Missing book of ""The Once and Future King."""		
""			
15	CONDOMINIUM, by John D. MacDonald. (J.B. Lippincott, $10.) Disaster hits	14	27
""	Leisure Village.		
This	October 23, 1977	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ALL THINGS WISE AND WONDERFUL, by James Herriot. (St. Martin's Press,	1	8
""	$10.) More adventures of a Yorkshire vet.		
""			
2	LOOKING OUT FOR NUMBER ONE, by Robert Ringer. (Cromwell, $9.95.) How	2	16
""	to get yours.		
""			
3	THE BOOK OF LISTS, by David Wallechhinsky, Irving Wallace and Amy Wallace.	3	19
""	(Morrow, $10.95.) Facts that entertain.		
""			
4	THE DRAGONS OF EDEN, by Carl Sagan. (Random House, $8.95.) How human	4	19
""	intelligence evolved: a scientist's speculation.		
""			
5	THE CAMERA NEVER BLINKS, by Dan Rather with Mickey Herskowitz. (Morrow,	5	13
""	$10.) TV newsman's story.		
""			
6	IT DIDN'T START WITH WATERGATE, by Victor Lasky. (Dial, $10.) The	9	20
""	Democrats did it too.		
""			
7	YOUR ERRONEOUS ZONES, by Dr. Wayne W. Dyer. (Funk & Wagnalls, $6.95.)	6	61
""	Breezy self-help pep talk.		
""			
8	THE PATH BETWEEN THE SEAS, by David McCullough. (Simon & Schuster,	8	11
""	$14.95.) The Panama Canal Story.		
""			
9	VIVIEN LEIGH, by Anne Edwards. (Simon & Schuster, $9.95.) A tragic heroine,	7	14
""	born to please.		
""			
10	THE MANAGERIAL WOMAN., by Margaret Hennig and Anne Jardim. (Anchor	11	8
""	Press/Doubleday, $7.95.) Up in the organization.		
""			
11	SIX MEN, by Allistair Cooke. (Knopf, $8.95.) Profiles of public men he knew.	13	2
""			
12	THE POSSIBLE DREAM, by Charles Paul Conn. (Revell, $6.95.) Story of the	10	7
""	Amway Corporation.		
""			
13	ESSAYS OF E.B. WHITE, by E.B. White. (Harper & Row, $12.50.) Observations	--	1
""	on things large and small.		
""			
14	MONTY, by Robert LaGuardia. (Arbor House, $12.95.) Life of the actor	12	5
""	Montgomery Clift.		
""			
15	HOW TO TAKE CHARGE OF YOUR LIFE, by Milfred Newman and Bernard	--	6
""	Berkowitz. (Harcourt Brace Jovanovich, $5.95.) Advice for the failure-prone.		
