This	January 18, 1970	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE GODFATHER, by Mario Puzo. (G. P. Putnam's Sons.)	1	43
""			
""	THE FRENCH LIEUTENANT'S WOMAN, by John Fowles. (Little, Brown and		
2		2	8
""	Company.)		
""			
3	THE HOUSE ON THE STRAND, by Daphne du Maurier. (Doubleday and Co.)	3	15
""			
4	THE INHERITORS, by Harold Robbins. (Trident Press.)	4	8
""			
5	PUPPET ON A CHAIN, by Alistair MacLean. (Doubleday and Company, Inc.)	6	6
""			
6	IN THIS HOUSE OF BREDE, by Rumer Godden. (Viking Press.)	5	14
""			
7	FIRE FROM HEAVEN, by Mary Renault. (Pantheon/Random House,)	9	5
""			
8	THE SEVEN MINUTES, by Irving Wallace. (Simon and Schuster.)	7	13
""			
""	THE GANG THAT COULDN'T SHOOT STRAIGHT, by Jimmy Breslin. (Viking		
9		--	1
""	Books.)		
""			
10	THE ANDROMEDA STRAIN, by Michael Crichton. (Alfred A. Knopf.)	8	30
This	January 18, 1970	Last	Weeks
Week	Non-Fiction	Week	On List
""			
""	THE SELLING OF THE PRESIDENT 1968, by Joe McGinniss. (Trident		
1		1	13
""	Press/Simon and Schuster.)		
""			
""	THE PETER PRINCIPLE, by Laurence J. Peter and Raymond Hull. (William		
2		2	36
""	Morrow and Co.)		
""			
3	PRESENT AT THE CREATION, by Dean Acheson. (W.W. Norton.)	4	12
""			
""	THE AMERICAN HERITAGE DICTIONARY OF THE ENGLISH LANGUAGE.		
4		3	15
""	(American Heritage Publishing Co.)		
""			
5	MARY QUEEN OF SCOTS, by Antonia Fraser. (Delacorte Press.)	5	6
""			
""	THE COLLAPSE OF THE THIRD REPUBLIC, by William L. Shirer. (Simon and		
6		7	8
""	Schuster.)		
""			
""	AMBASSADOR'S JOURNAL, by John Kenneth Galbraith. (Houghton Mifflin		
7		8	10
""	Company.)		
""			
8	PRIME TIME, by Alexander Kendrick. (Littlehampton Book Services Ltd.)	9	13
""			
""	THE GRAHAM KERR COOKBOOK, by the Galloping Gourmet and Hubert		
9		10	5
""	Sieben. (Doubleday.)		
""			
10	IN SOMEONE'S SHADOW, by Rod McKuen. (Random House.)	6	2
