This	March 22, 1970	Last	Weeks
Week	Fiction	Week	On List
""			
""	THE FRENCH LIEUTENANT'S WOMAN, by John Fowles. (Little, Brown and		
1		1	17
""	Company.)		
""			
2	THE GODFATHER, by Mario Puzo. (G. P. Putnam's Sons.)	2	52
""			
3	TRAVELS WITH MY AUNT, by Graham Greene. (Viking Press.)	3	8
""			
4	MR. SAMMLERS PLANET, by Saul Bellow. (Viking Press.)	4	5
""			
""	THE GANG THAT COULDN'T SHOOT STRAIGHT, by Jimmy Breslin. (Viking		
5		6	10
""	Books.)		
""			
6	LOVE STORY, by Erich Segal. (Harper and Row.)	7	4
""			
7	THE HOUSE ON THE STRAND, by Daphne du Maurier. (Doubleday and Co.)	5	24
""			
8	A BEGGAR IN JERUSALEM, by Elie Wiesel. (Random House,)	--	1
""			
9	PUPPET ON A CHAIN, by Alistair MacLean. (Doubleday and Company, Inc.)	9	15
""			
10	THE INHERITORS, by Harold Robbins. (Trident Press.)	8	17
""	This	March 22, 1970	Last	Weeks
Week		Non-Fiction	Week	On List
""				
""		EVERYTHING YOU ALWAYS WANTED TO KNOW ABOUT SEX, by Dr. David		
""	1		1	9
""		Reuben. (David McKay and Company.)		
""				
""	2	MARY QUEEN OF SCOTS, by Antonia Fraser. (Delacorte Press.)	3	15
""				
""		THE SELLING OF THE PRESIDENT 1968, by Joe McGinniss. (Trident		
""	3		2	22
""		Press/Simon and Schuster.)		
""				
""		THE GRAHAM KERR COOKBOOK, by the Galloping Gourmet and Hubert		
""	4		8	14
""		Sieben. (Doubleday.)		
""				
""	5	RUFFLES AND FLOURISHES, by Liz Carpenter. (Doubleday and Co., Inc.)	7	6
""				
""		THE PETER PRINCIPLE, by Laurence J. Peter and Raymond Hull. (William		
""	6		4	45
""		Morrow and Co.)		
""				
""		THE AMERICAN HERITAGE DICTIONARY OF THE ENGLISH LANGUAGE.		
""	7		5	24
""		(American Heritage Publishing Co.)		
""				
""	8	IN SOMEONE'S SHADOW, by Rod McKuen. (Random House.)	6	10
""				
""	9	CULTURE AND COMMITMENT, by Margaret Mead. (Doubleday and Co.)	--	1
""				
""	10	LOVE AND WILL, by Rollo May. (W.W. Norton & Company Inc.)	9	5
""				
","				
