This	August 31, 1975	Last	Weeks
Week	Fiction	Week	On List
""			
1	RAGTIME, by E. L. Doctorow. (Random House, $8.95.) A syncopated-gaited	1	5
""	evocation of turn-of-the-century America.		
""			
2	LOOKING FOR MR. GOODBAR, by Judith Rossner. (Simon &Schuster, $7.95.)	2	11
""	Stunning psychological study of a woman's passive complicity in her own death.		
""			
3	"THE MONEYCHANGERS, by Arthur Hailey. (Doubleday, $10.) The ""Airport"" et"	6	23
""	seq. treatment -- this time applied to banking.		
""			
4	THE GREAT TRAIN ROBBERY, by Michael Crichton, (Knopf, $7.95.) Ingenious	4	10
""	caper carried out in an authentic Victorian milieu.		
""			
5	SHOGUN, by James Clavell. (Atheneum, $12.50.) Sprawling tale of intrigue and	3	7
""	bloodshed in 17th-century Japan.		
""			
6	CENTENNIAL, by James Michener.  (Random House, $12.50.) Dioramic historical	5	53
""	novel covering the land and people around Centennial, Colo.		
""			
7	THE EAGLE HAS LANDED, by Jack Higgins. (Holt, Rinehart & Winston, $8.95.)	8	4
""	Mixed fact and fiction about 1943 plot to kidnap Churchill.		
""			
8	SHARDIK, by Richard Adams. (Simon & Schuster, $9.95). Adams's storytelling	7	16
""	genius comes a cropper in this fable about a giant bear-god.		
""			
9	CIRCUS, by Alistair MacLean. (Doubleday, $6.95.) Another thriller in the MacLean	--	1
""	mode!		
""			
10	THE BOAT, by Lothar-Gunther Buchheim. (Knopf, $10.) A Nazi U-Boat crew	9	4
""	submerged in a sea adventure.		
This	August 31, 1975	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BREACH OF FAITH, by Theodore H. White. (Atheneum $10.95.) The unraveling	1	15
""	of the President, post-1972.		
""			
2	TM: Discovering Inner Energy and Overcoming Stress, by Harold H. Bloomfield,	2	13
""	Michael Peter Cain and Dennis T. Jaffe. (Delacorte, $8.95.) The theory and		
""	practice of Transcendental Meditation.		
""			
3	SYLVIA PORTER'S MONEY BOOK, by Sylvia Porter, $12.50.) Useful home	3	8
""	financial adviser.		
""			
4	TOTAL FITNESS, by Laurence E. Morehouse and Leonard Gross. (Simon &	4	18
""	Schuster, $6.95.) Twelve hours to a better body is the claim.		
""			
5	WITHOUT FEATHERS, by Woody Allen. (Random House, $7.95.) Humorous	7	4
""	pieces showing Allen in fine form.		
""			
6	HOW THE GOOD GUYS FINALLY WON, by Jimmy Breslin. (Viking Press, $6.95.)	6	13
""	How some honorable clubhouse politicos saved the country.		
""			
7	THE SAVE YOUR LIFE DIET, by David Reuben, M.D. (Random House $7.95.)	9	5
""	Eat more long-fiber foods.		
""			
8	THE ASCENT OF MAN,  by J. Bronowski. (Little, Brown, $15.) Instructive lecture	8	24
""	course on the evolution of science and technology.		
""			
9	CONVERSATIONS WITH KENNEDY, by Benjamin C. Bradlee. (Norton, $7.95.)	5	15
""	J.F.K. off-camera - witty, profane, with an eye for pretty girls.		
""			
10	INSIDE THE COMPANY: CIA DIARY, by Phillip Agee. (Stonehill/Brazillier, $9.95.)	--	1
""	Authentic look at CIA operations in South America.		
