This	December 25, 1977	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE SILMARILLION, by J.R.R. Tolkien. (Houghton Mifflin, $10.95.) Middle Earth	1	14
""	in pre-Hobbit days.		
""			
2	THE THORN BIRDS, by Colleen McCullough. (Harper & Row, $9.95.) Australian	2	32
""	family saga.		
""			
3	THE HONOURABLE SCHOOLBOY, by John le Carré. (Knopf, $10.) Espionage in	3	12
""	Hong Kong.		
""			
4	BEGGARMAN, THIEF, by Irwin Shaw. (Delacorte, $9.95.) The next generation of	4	10
""	Jordaches takes over.		
""			
5	ILLUSIONS, by Richard Bach. (Delacorte/Eleanor Friede, $5.95.) Messiah	6	28
""	barnstorms Middle America.		
""			
6	DREAMS DIE FIRST, by Harold Robbins. (Simon & Schuster, $9.95.) Hustler-type	7	9
""	girlie magazine publisher.		
""			
7	DANIEL MARTIN, by John Fowles. (Little, Brown, $12.95.) English screenwriter	5	14
""	reviews his life.		
""			
8	THE BOOK OF MERLYN, by Terence H. White. (University of Texas Press,	8	12
""	"$9.95.) Missing book of ""The Once and Future King."""		
""			
9	THE IMMIGRANTS, by Howard Fast. (Houghton Mifflin, $6.95.) Ambition and love	9	11
""	in turn-of-the-century San Francisco.		
""			
10	THE SECOND DEADLY SIN, by Lawrence Sanders. (Putnam's, $9.95.) Cop	10	15
""	tracks down a painter's murderer.		
""			
11	DYNASTY, by Robert S. Elegant. (McGraw-Hill, $10.95.) Saga of a Eurasian	11	19
""	family in Hong Kong over three generations.		
""			
12	DELTA OF VENUS, by Anais Nin. (Harcourt Brace Jovanovich, $10.) Elegant	13	21
""	erotica written for a wealthy patron.		
""			
13	THE WOMEN'S ROOM, by Marilyn French. (Summit Books, $10.95.) Woman's	14	4
""	rough road to liberation.		
""			
14	THE HOBBIT, by J.R.R. Tolkien. (Harry N. Abrams, $29.95.) Illustrated edition	12	2
""	derived from the TV show.		
""			
15	SHALL WE TELL THE PRESIDENT?, By Jeffrey Archer. (Viking, $8.95.) They're	--	1
""	out to kill him.		
This	December 25, 1977	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ALL THINGS WISE AND WONDERFUL, by James Herriot. (St. Martin's Press,	1	17
""	$10.) More adventures of a Yorkshire vet.		
""			
2	THE BOOK OF LISTS, by David Wallechhinsky, Irving Wallace and Amy Wallace.	2	28
""	(Morrow, $10.95.) Facts that entertain.		
""			
3	THE COMPLETE BOOK OF RUNNING, by James F. Fixx. (Random House, $10.)	4	5
""	For fun and health.		
""			
4	THE AMITYVILLE HORROR, by Jay Anson. (Prentice-Hall, $7.95.) Haunted	6	8
""	house in suburbia.		
""			
5	GNOMES, text by Wil Huygen, illustrated by Rien Poortvliet. (Harry N. Abrams,	3	5
""	$14.95.) Everything you wanted to know about the little people.		
""			
6	SIX MEN, by Allistair Cooke. (Knopf, $8.95.) Profiles of public men he knew.	11	11
""			
7	LOOKING OUT FOR NUMBER ONE, by Robert Ringer. (Cromwell, $9.95.) How	5	25
""	to get yours.		
""			
8	THE COUNTRY DIARY OF AN EDWARDIAN LADY, by Edith Holden. (Holt,	7	7
""	$14.95.) Record kept by a nature lover and illustrator.		
""			
9	THE SECOND RING OF POWER, by Carlos Castaneda. (Simon & Schuster,	13	2
""	$9.95.) Sorceress tests Castaneda.		
""			
10	THE CAMERA NEVER BLINKS, by Dan Rather with Mickey Herskowitz. (Morrow,	12	22
""	$10.) TV newsman's story.		
""			
11	THE DRAGONS OF EDEN, by Carl Sagan. (Random House, $8.95.) How human	8	28
""	intelligence evolved: a scientist's speculation.		
""			
12	THE WOMAN'S DRESS FOR SUCCESS BOOK, by John Malloy. (Follett, $9.95.)	10	6
""	Female guide to tasteful apparel.		
""			
13	DOWN THE SEINE AND UP THE POTOMAC WITH ART BUCHWALD, by Art	9	2
""	Buchwald. (Putnam's, $10.95.) His best columns over 25 years.		
""			
14	ESSAYS OF E.B. WHITE, by E.B. White. (Harper & Row, $12.50.) Observations	14	10
""	on things large and small.		
""			
15	DESIGNING YOUR FACE, by Way Bandy. (Random House, $8.95.) How to use	15	4
""	cosmetics.		
