This	February 13, 1977	Last	Weeks
Week	Fiction	Week	On List
""			
1	TRINITY, by Leon Uris. (Doubleday, $10.95.) One family's meander through a	1	47
""	century of modern Irish history.		
""			
2	RAISE THE TITANIC!, by Clive Cussler. (Viking, $8.95.) Thriller about doing just	2	10
""	that.		
""			
3	SLEEPING MURDER, by Agatha Christie. (Dodd, Mead, $7.95.) Miss Marple's	3	21
""	last case; Agatha's last book.		
""			
4	THE CRASH OF '79, by Paul E. Erdman. (Simon & Schuster, $8.95.) Sheiks, oil,	4	9
""	International intrigue and skullduggery.		
""			
5	STORM WARNING, by Jack Higgins. (Holt, Rinehart & Winston, $8.95.) Salty	5	19
""	WWII adventure of Nazis at sea.		
""			
6	SLAPSTICK, by Kurt Vonnegut. (Delacorte, $7.95.) Whimsical, futuristic fantasy	7	21
""	about a pediatrician President, etc.		
""			
7	THE USERS, by Joyce Haber. (Delacorte, $8.95.) Gossipy Hollywood keyholer	6	7
""	and with real life and guess-who characters.		
""			
8	OCTOBER LIGHT, by John Gardner. (Knopf, $10.) Two obstinate Yankees locked	--	2
""	in a classic struggle.		
""			
9	CEREMONY OF THE INNOCENT, by Taylor Caldwell. (Doubleday, $10.95.)	8	9
""	Caldwell in top storytelling form, heavier on the ideology.		
""			
10	VOYAGE, by Sterling Hayden. (Putnam's, $12.95.) Good old proletarian-novel	9	2
""	sentiments grafted on to a ripping sea tale.		
This	February 13, 1977	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ROOTS, by Alex Haley. (Doubleday, $12.50.) One man's family and an important	1	19
""	document of Black History.		
""			
2	PASSAGES, by Gail Sheehy. (Dutton, $9.95.) Help for adults undergoing	2	34
""	developmental crises.		
""			
3	YOUR ERRONEOUS ZONES, by Dr. Wayne W. Dyer. (Funk & Wagnalls, $6.95.)	3	25
""	Breezy self-help pep talk.		
""			
4	BLIND AMBITION, by John W. Dean III. (Simon & Schuster, $11.95.) Surprisingly	4	15
""	"informative, lively ""inside Watergate"" memoirs."		
""			
5	THE GRASS IS ALWAYS GREENER OVER THE SEPTIC TANK, by Erma	6	17
""	Bombeck. (McGraw-Hill, $6.95.) Suburban humor by the columnist.		
""			
6	THE HITE REPORT, by Shere Hite. (Macmillian, $12.50.) Groundbreaking	5	12
""	interviews with women on sex.		
""			
7	ADOLF HITLER, by John Toland. (Doubleday, $14.95.) Immensely detailed life of	7	19
""	the Fuehrer, replete with new and interesting information.		
""			
8	THE RIGHT AND THE POWER, by Leon Jaworski. (Reader's Digest Press/Gulf	8	21
""	Publishing Co., $9.95.) The former Watergate special prosecutor's account.		
""			
9	BLOOD AND MONEY, by Thomas Thompson. (Doubleday, $10.95.) Fascinating	--	15
""	true-crime account of some Texas murders.		
""			
10	LETTERS OF E.B. WHITE, edited by Dorothy Lobrano Guth. (Harper & Row,	--	2
""	$15.) A generous sampling of a quirky, funny, humane, truculent mind.		
