This	July 16, 1972	Last	Weeks
Week	Fiction	Week	On List
""			
1	JONATHAN LIVINGSTON SEAGULL, by Richard Bach.	1	11
""			
2	THE WINDS OF WAR, by Herman Wouk.	2	34
""			
3	THE WORD, by Irving Wallace.	3	17
""			
4	CAPTAINS AND THE KINGS, by Taylor Caldwell.	4	12
""			
5	MY NAME IS ASHER LEV, by Chaim Potok.	5	10
""			
6	THE TERMINAL MAN, by Michael Crichton.	6	9
""			
7	A PORTION FOR FOXES, by Jane McIlvaine McClary.	7	6
""			
8	THE OPTIMIST'S DAUGHTER, by Eudora Welty.	--	3
""			
9	DARK HORSE, by Fletcher Knebel.	--	1
""			
10	THE BLUE KNIGHT, by Joseph Wambaugh.	8	17
This	July 16, 1972	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	I'M O.K.- YOU'RE O.K., by Thomas Harris.	2	13
""			
2	O JERUSALEM!, by Larry Collins and Dominique Lapierre.	3	6
""			
3	THE BOYS OF SUMMER, by Roger Kahn.	1	13
""			
4	THE SUPER LAWYERS, by Joseph C. Goulden.	5	5
""			
5	OPEN MARRIAGE, by Nena and George O'Neill.	6	17
""			
6	THE GAME OF THE FOXES, by Ladislas Farago.	4	24
""			
7	REPORT FROM ENGINE CO. 82, by Dennis Smith.	7	13
""			
8	GEORGE S. KAUFMAN, by Howard Teichmann.	--	1
""			
9	BRING ME A UNICORN, by Anne Morrow Lindbergh.	8	14
""			
10	ELEANOR AND FRANKLIN, by Joseph P. Lash.	9	38
