This	November 29, 1970	Last	Weeks
Week	Fiction	Week	On List
""			
1	LOVE STORY, by Erich Segal. (Harper and Row.)	1	40
""			
2	ISLANDS IN THE STREAM, by Ernest Hemingway. (Collins Publishers.)	2	7
""			
3	THE CRYSTAL CAVE, by Mary Stewart. (William Morrow and Company, Inc.)	3	22
""			
4	THE CHILD FROM THE SEA, by Elizabeth Goudge. (Putnam Publishing.)	5	11
""			
5	RICH MAN, POOR MAN, by Irwin Shaw. (Delacorte Press.)	4	8
""			
6	GOD IS AN ENGLISHMAN, by R.F. Delderfield. (Simon and Schuster.)	6	12
""			
7	GREAT LION OF GOD, by Taylor Caldwell. (Doubleday and Company, Inc.)	8	31
""			
8	THE SECRET WOMAN, by Victoria Holt. (Doubleday.)	7	19
""			
9	CALICO PALACE, by Gwen Bristow. (Thomas Y. Crowell Co.)	9	28
""			
""	THE FRENCH LIEUTENANT'S WOMAN, by John Fowles. (Little, Brown and		
10		10	53
""	Company.)		
This	November 29, 1970	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	"THE SENSUOUS WOMAN. by ""J"" (Lyle Stuart, Inc.)"	1	32
""			
""	EVERYTHING YOU ALWAYS WANTED TO KNOW ABOUT SEX, by Dr. David		
2		2	45
""	Reuben. (David McKay and Company.)		
""			
3	INSIDE THE THIRD REICH, by Albert Speer. (MacMillan Company.)	3	15
""			
4	CIVILISATION, by Kenneth Clark. (Harper and Row.)	10	6
""			
5	FUTURE SHOCK, by Alvin Toffler. (Random House, Inc.)	5	7
""			
6	A WHITE HOUSE DIARY, by Lady Bird Johnson. (Holt McDougal.)	4	2
""			
7	THE WALL STREET JUNGLE, by Richard Ney. (Grove Press.)	7	15
""			
8	BODY LANGUAGE, by Julius Fast. (M. Evans and Company, Inc.)	8	17
""			
9	PAPILLON, by Henri Charriere. (William Morrow.)	6	8
""			
10	THE GREENING OF AMERICA, by Charles Reich. (Random House.)	--	1
