This	October 16,1977	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE SILMARILLION, by J.R.R. Tolkien. (Houghton Mifflin, $10.95.) Middle Earth	1	4
""	in pre-Hobbit days.		
""			
2	THE THORN BIRDS, by Colleen McCullough. (Harper & Row, $9.95.) Australian	2	22
""	family saga.		
""			
3	ILLUSIONS, by Richard Bach. (Delacorte/Eleanor Friede, $5.95.) Messiah	3	18
""	barnstorms Middle America.		
""			
4	DELTA OF VENUS, by Anais Nin. (Harcourt Brace Jovanovich, $10.) Elegant	4	11
""	erotica written for a wealthy patron.		
""			
5	DYNASTY, by Robert S. Elegant. (McGraw-Hill, $10.95.) Saga of a Eurasian	6	9
""	family in Hong Kong over three generations.		
""			
6	DANIEL MARTIN, by John Fowles. (Little, Brown, $12.95.) English screenwriter	5	4
""	reviews his life.		
""			
7	THE HONOURABLE SCHOOLBOY, by John le Carré. (Knopf, $10.) Espionage in	12	2
""	Hong Kong.		
""			
8	COMA, by Robin Cook. (Little, Brown, $8.95.) Manchurian horror at the Boston	8	7
""	Memorial Hospital.		
""			
9	THE SECOND DEADLY SIN, by Lawrence Sanders. (Putnam's, $9.95.) Cop	9	5
""	tracks down a painter's murderer.		
""			
10	THE CRASH OF '79, by Paul E. Erdman. (Simon & Schuster, $8.95.) Sheiks, oil,	7	44
""	International intrigue and skullduggery.		
""			
11	THE INVESTIGATION, by Dorothy Uhnak. (Simon & Schuster, $9.95.) Woman	10	6
""	accused of murdering her children.		
""			
12	FULL DISCLOSURE, by William Safire. (Doubleday, $10.95.) President goes	14	13
""	blind; White House intrigue.		
""			
13	THE IMMIGRANTS, by Howard Fast. (Houghton Mifflin, $6.95.) Ambition and love	--	1
""	in turn-of-the-century San Francisco.		
""			
14	CONDOMINIUM, by John D. MacDonald. (J.B. Lippincott, $10.) Disaster hits	13	26
""	Leisure Village.		
""			
15	THE BOOK OF MERLYN, by Terence H. White. (University of Texas Press,	15	2
""	"$9.95.) Missing book of ""The Once and Future King."""		
This	October 16, 1977	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ALL THINGS WISE AND WONDERFUL, by James Herriot. (St. Martin's Press,	1	7
""	$10.) More adventures of a Yorkshire vet.		
""			
2	LOOKING OUT FOR NUMBER ONE, by Robert Ringer. (Cromwell, $9.95.) How	2	15
""	to get yours.		
""			
3	THE BOOK OF LISTS, by David Wallechhinsky, Irving Wallace and Amy Wallace.	3	18
""	(Morrow, $10.95.) Facts that entertain.		
""			
4	THE DRAGONS OF EDEN, by Carl Sagan. (Random House, $8.95.) How human	4	18
""	intelligence evolved: a scientist's speculation.		
""			
5	THE CAMERA NEVER BLINKS, by Dan Rather with Mickey Herskowitz. (Morrow,	6	12
""	$10.) TV newsman's story.		
""			
6	YOUR ERRONEOUS ZONES, by Dr. Wayne W. Dyer. (Funk & Wagnalls, $6.95.)	5	60
""	Breezy self-help pep talk.		
""			
7	VIVIEN LEIGH, by Anne Edwards. (Simon & Schuster, $9.95.) A tragic heroine,	7	13
""	born to please.		
""			
8	THE PATH BETWEEN THE SEAS, by David McCullough. (Simon & Schuster,	9	10
""	$14.95.) The Panama Canal Story.		
""			
9	IT DIDN'T START WITH WATERGATE, by Victor Lasky. (Dial, $10.) The	8	19
""	Democrats did it too.		
""			
10	THE POSSIBLE DREAM, by Charles Paul Conn. (Revell, $6.95.) Story of the	10	6
""	Amway Corporation.		
""			
11	THE MANAGERIAL WOMAN., by Margaret Hennig and Anne Jardim. (Anchor	11	7
""	Press/Doubleday, $7.95.) Up in the organization.		
""			
12	MONTY, by Robert LaGuardia. (Arbor House, $12.95.) Life of the actor	12	4
""	Montgomery Clift.		
""			
13	SIX MEN, by Allistair Cooke. (Knopf, $8.95.) Profiles of public men he knew.	--	1
""			
14	A RUMOR OF WAR, by Phillip Caputo. (Holt, Rinehart, & Winston, $10.) A Marine	--	1
""	officer's disillusionment in Vietnam.		
""			
15	ROOTS, by Alex Haley. (Doubleday, $12.50.) One man's family and an important	--	47
""	document of Black History.		
