This	February 29, 1976	Last	Weeks
Week	Fiction	Week	On List
""			
1	CURTAIN, by Agatha Christie. (Dodd, Mead, $7.95.) Can this be the end of	1	22
""	Hercule Poirot?		
""			
2	THE CHOIRBOYS, by Joseph Wambaugh. (Delacorte, $8.95.) Tough and	2	14
""	scatological portrait of off-duty cops.		
""			
3	RAGTIME, by E. L. Doctorow. (Random House, $8.95.) A syncopated-gaited	3	31
""	evocation of turn-of-the-century America.		
""			
4	SAVING THE QUEEN, by William F. Buckley, Jr. (Doubleday, $7.95.) Blackford	4	4
""	Oakes 50's C.I.A. man, goes to London to see the Queen: witty suspense.		
""			
5	IN THE BEGINNING, by Chaim Potok. (Knopf, $8.95.) Familiar Potok theme -	5	15
""	orthodoxy vs. modernity - probed in greater depth.		
""			
6	THE GREEK TREASURE, by Irving Stone. (Doubleday, $10.95.) Faithful if	6	19
""	sluggish novel about Heinrich Schliemann, discoverer of Troy.		
""			
7	NIGHTWORK, by Irwin Shaw. (Delacorte Press, $10.) A meek hotel clerk who	8	10
""	finds 100-grand meets a con man; sophisticated, worldly entertainment.		
""			
8	LOOKING FOR MR. GOODBAR, by Judith Rossner. (Simon &Schuster, $7.95.)	7	36
""	Stunning psychological study of a woman's passive complicity in her own death.		
""			
9	THE EAGLE HAS LANDED, by Jack Higgins. (Holt, Rinehart & Winston, $8.95.)	10	30
""	Mixed fact and fiction about 1943 plot to kidnap Churchill.		
""			
10	THE SWISS ACCOUNT, by Leslie Waller. (Doubleday, $8.95.) Heady mixture of	--	1
""	high finance and low motives.		
This	February 29, 1976	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BRING ON THE EMPTY HORSES, by David Niven. (Putnam's, $9.95.) Superior	1	19
""	Hollywood anecdotiana.		
""			
2	DORIS DAY Her Own Story, by A. E. Hotchner. (William Morrow, $8.95.)	3	3
""	Hollywood's virgin queen tells of the unsunny side of her life.		
""			
3	WINNING THROUGH INTIMIDATION, by Robert J. Ringer. (Funk & Wagnalls,	2	26
""	$9.95.) How to close the big deal.		
""			
4	ANGELS, by Billy Graham. (Doubleday, $4.95.) Fundamentalist interpretation of	5	14
""	angels' role in heaven and on earth.		
""			
5	THE RELAXATION RESPONSE, by Herbert Benson, M.D. (William Morrow,	4	17
""	$5.95.) Non-TM meditation technique to relieve tension.		
""			
6	SYLVIA PORTER'S MONEY BOOK, by Sylvia Porter, $12.50.) Useful home	6	34
""	financial adviser.		
""			
7	THE RUSSIANS, by Hedrick Smith. (Quadrangle/The New York Times Book Co.,	7	2
""	$12.50.) A survey of Soviet life today, strong on the human side.		
""			
8	WORLD OF OUR FATHERS, by Irving Howe, with Kenneth Libo. (Harcourt Brace	--	1
""	Jovanovich, $14.95.) Jewish immigrant life.		
""			
9	MY LIFE, by Golda Meir. (Putnam's, $12.50.) Stately, but often moving	10	9
""	autobiography of the  former Israeli Premier.		
""			
10	MEMOIRS, by Tennessee Williams. (Doubleday, $8.95.) Candid account of his life	8	9
""	and loves.		
