This	January 28, 1979	Last	Weeks
Week	Fiction	Week	On List
""			
1	CHESAPEAKE, by James A. Michener. (Random House, $12.95.) Four centuries	1	22
""	of Maryland's Eastern Shore.		
""			
2	WAR AND REMEMBRANCE, by Herman Wouk. (Little, Brown, $15.) The Henry	2	15
""	"family of ""The Winds of War"" during World War II."		
""			
3	THE STORIES OF JOHN CHEEVER, by John Cheever. (Knopf, $15.) Visions of	8	6
""	lost moral order amid contemporary domestic disarray.		
""			
4	THE COUP, by John Updike. (Knopf, $8.95.) A comedy of incongruities set in	11	4
""	modern Africa.		
""			
5	SECOND GENERATION, by Howard Fast. (Houghton Mifflin, $10.95.) The	4	17
""	"children of ""The immigrants"" on the eve of World War II."		
""			
6	FOOLS DIE, by Mario Puzo. (Putnam's, $12.50.) Hollywood tycoons and literary	3	17
""	celebrities gamble with fate.		
""			
7	OVERLOAD, by Arthur Hailey. (Doubleday, $10.95.) A public utility encounters a	--	1
""	crisis.		
""			
8	THE SILMARILLION, by J.R.R. Tolkien. (Houghton Mifflin, $10.95.) Middle Earth	5	62
""	in pre-Hobbit days.		
""			
9	EVERGREEN, by Belva Plain. (Delacorte, $10.) Jewish immigrant woman's rise	7	25
""	from Lower East Side poverty.		
""			
10	BRIGHT FLOWS THE RIVER, by Taylor Caldwell. (Doubleday, $10.95.) The	9	12
""	angsts of a man confined to a sanitarium.		
""			
11	THE FAR PAVILIONS, by M.M. Kaye. (St. Martin's, $12.95.) Love and war in the	6	17
""	high Himalayas.		
""			
12	THE EMPTY COPPER SEA, by John D. MacDonald. (Lippincott, $8.95.) Travis	--	13
""	McGee on the trail of a vanished tycoon.		
""			
13	ILLUSIONS, by Richard Bach. (Delacorte/Eleanor Friede, $6.95.) Messiah	10	79
""	barnstorms Middle America.		
""			
14	THE PRAISE SINGER, by Mary Renault. (Pantheon, $8.95.) The life and times of	--	3
""	an ancient Greek lyric poet.		
""			
15	THE SIXTH COMMANDMENT, by Lawrence Sanders. (Putnam's, $10.95.)	--	1
""	Suspicious practices of a doctor-researcher.		
This	January 28, 1979	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MOMMIE DEAREST, by Christina Crawford. (Morrow, $9.95.) Life with Joan	1	11
""	Crawford.		
""			
2	A DISTANT MIRROR, by Barbara W. Tuchman. (Knopf, $15.95.) The calamitous	2	17
""	14th century.		
""			
3	AMERICAN CAESAR, by William Manchester. (Little, Brown, $15.) The life of	5	17
""	Douglas MacArthur.		
""			
4	IF LIFE IS A BOWL OF CHERRIES -- WHAT AM I DOING IN THE PITS?  by	3	36
""	Erma Bombeck. (McGraw-Hill, $7.95.) More domestic drolleries.		
""			
5	GNOMES, text by Wil Huygen, illustrated by Rien Poortvliet. (Harry N. Abrams,	4	54
""	$17.50.) All about the little people.		
""			
6	IN SEARCH OF HISTORY, by Theodore H. White. (Harper & Row, $12.95.) A	7	17
""	journalist's memoirs.		
""			
7	THE COMPLETE BOOK OF RUNNING, by James F. Fixx. (Random House, $10.)	8	56
""	For fun and health.		
""			
8	THE ANN LANDERS ENCYCLOPEDIA A TO Z, by Ann Landers. (Doubleday,	15	7
""	$17.50.) Advice on everyday problems by the syndicated columnist.		
""			
9	FAERIES, described and illustrated by Brian Froud and Alan Lee. (Harry N.	6	11
""	Abrams, $14.95.) Life in a world of magic.		
""			
10	WANDERINGS, by Chaim Potok. (Knopf, $17.95.) Four thousand years of Jewish	14	2
""	history.		
""			
11	TUTANKHAMUN: The Untold Story, by Thomas Hoving. (Simon & Schuster,	9	6
""	$12.95.) Howard Carter's relations with the Metropolitan Museum.		
""			
12	LINDA GOODMAN'S LOVE SIGNS, by Linda Goodman. (Harper & Row, $12.95.)	--	1
""	Astrological guide.		
""			
13	NEW PROFITS FROM THE MONETARY CRISIS, by Harry Browne. (Morrow,	--	1
""	$12.95.) Alarms for the 80's.		
""			
14	THE COUNTRY DIARY OF AN EDWARDIAN LADY, by Edith Holden. (Holt,	--	55
""	$14.95.) Record kept y a nature-lover and illustrator.		
""			
15	NURSE, by Peggy Anderson. (St. Martin's Press, $10.95.) The personal and	12	2
""	professional life of a nurse in a metropolitan hospital.		
