This	January 13, 1974	Last	Weeks
Week	Fiction	Week	On List
""			
1	BURR, by Gore Vidal. (Random House.)	1	9
""			
2	THE HONORARY CONSUL, by Graham Greene.(Simon and Schuster.)	2	15
""			
3	THE HOLLOW HILLS, by Mary Stewart. (Morrow.)	3	27
""			
4	THEOPHILUS NORTH, by Thornton Wilder. (Harper and Row.)	5	10
""			
5	THE FIRST DEADLY SIN, by Lawrence Sanders. (Putnam.)	7	12
""			
6	COME NINEVEH, COME TYRE, by Allen Drury. (Doubleday.)	4	8
""			
7	POSTERN OF FATE, by Agatha Christie. (Dodd, Mead and Company.)	6	4
""			
8	THE SALAMANDER, by Morris L. West. (Morrow.)	9	18
""			
9	BEULAH LAND, by Lonnie Coleman. (Doubleday & Company, Inc.)	8	4
""			
""	THE BILLION DOLLAR SURE THING, by Paul Emil Erdman. (Scribner Book		
10		--	23
""	Company.)		
This	January 13, 1974		Weeks
Week	Non-Fiction		On List
""			
1	ALISTAIR COOKE'S AMERICA, by Alistair Cooke. (Knopf.)	1	9
""			
2	THE JOY OF SEX, by Alex Comfort. (Crown.)	2	56
""			
3	IN ONE ERA AND OUT THE OTHER, by Sam Levenson. (Simon & Schuster.)	5	17
""			
""	UPSTAIRS AT THE WHITE HOUSE, by J.B. West with Mary Lynn Kotz. (Coward,		
4		4	10
""	McCann & Geoghegan.)		
""			
""	HOW TO BE YOUR OWN BEST FRIEND, by Mildred Newman and Bernard		
5		3	25
""	Berkowitz with Jean Owen. (Random House.)		
""			
6	PENTIMENTO, by Lilian Hellman. (Little, Brown.)	7	14
""			
7	THE BEST OF LIFE, by David E. Scherman. (Time/Life Books.)	6	4
""			
8	COSELL, by Howard Cosell. (Playboy Press.)	8	14
""			
9	PORTRAIT OF A MARRIAGE, by Nigel Nicolson. (Atheneum.)	9	11
""			
10	THE ONION FIELD, by Joseph Wambaugh. (Delacorte Press.)	--	14
