This	October 18,1992	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE STARS SHINE DOWN, by Sidney Sheldon. (Morrow, $23.) The fortunes of a	--	1
""	successful businesswoman are suddenly imperiled by secrets from her past and		
""	present relationships.		
""			
2	WAITING TO EXHALE, by Terry McMillan. (Viking, $22.) The friendships and	3	21
""	romances of four black women in Phoenix.		
""			
3	THE SECRET HISTORY, by Donna Tartt. (Knopf, $23.) Close friends at a small	4	5
""	college must deal with the consequences of a crime they committed.		
""			
4	WHERE IS JOE MERCHANT? by Jimmy Buffett. (Harcourt Brace Jovanovich,	1	8
""	$19.95.) A couple on a wild chase through the Caribbean on the trail of a		
""	deceased rock star who has been sighted there.		
""			
5	THE PELICAN BRIEF, by John Grisham. (Doubleday, $22.50.) A woman law	2	32
""	student probes the murder of two Supreme Court justices.		
""			
6	GERALD'S GAME, by Stephen King. (Viking, $23.50.) Twenty-eight hours of	5	14
""	horror suffered by a woman handcuffed to a bedpost.		
""			
7	THE BRIDGES OF MADISON COUNTY, by Robert James Waller. (Warner,	7	10
""	$14.95.) A photographer and a lonely farmer's wife in Iowa.		
""			
8	ALL THAT REMAINS, by Patricia D. Cornwell. (Scribners, $20.) Searching for the	6	8
""	truth behind the strange deaths of five young couples in Virginia.		
""			
9	SABINE'S NOTEBOOK, by Nick Bantock. (Chronicle Books, $17.95.) Continuing	--	1
""	"the epistolary romance between two talented people begun in ""Griffin & Sabine."""		
""			
10	LEAVING COLD SASSY, by Olive Ann Burns. (Ticknor & Fields, $21.) The story	--	1
""	"of a marriage that survives many strains; a sequel to the 1984 novel ""Cold Sassy"		
""	"Tree."""		
""			
11	THE SHADOW RISING, by Robert Jordan. (Tor/ Doherty, $24.95.) Book Four of	--	1
""	"""The Wheel of Time,"" a fantasy saga."		
""			
12	THE SILKEN WEB, by Sandra Brown. (Warner, $16.95.) Kathleen Haley faces a	14	2
""	difficult choice: marriage to a secure well-to-do man or to a passionate old flame.		
""			
13	THE VOLCANO LOVER, by Susan Sontag. (Farrar, Straus & Giroux, $22.) The	10	8
""	story of Lord Nelson, his lover Emma Hamilton and her spouse.		
""			
14	THE CAT WHO WASN'T THERE, by Lilian Jackson Braun. (Putnam, $18.95.) Jim	13	4
""	Qwilleran has to contend with a series of crimes in Scotland.		
""			
15	THE LEGACY, by R. A. Salvatore. (TSR, $15.95.) A fantasy tale about a spider	9	4
""	queen's war to stop a band of elves in their quest for peace and security.		
This	October 18, 1992	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE WAY THINGS OUGHT TO BE, by Rush H. Limbaugh 3d. (Pocket, $22.)	1	5
""	Anecdotes and opinions offered by the radio talk show host.		
""			
2	IT DOESN'T TAKE A HERO, by H. Norman Schwarzkopf with Peter Petre. (Linda	5	2
""	Grey/ Bantam, $25.) The autobiography of the general who commanded the allied		
""	forces in the gulf war.		
""			
3	THE SILENT PASSAGE, by Gail Sheehy. (Random House, $16.) The	3	21
""	psychological and social significance of menopause for today's women.		
""			
4	EVERY LIVING THING, by James Herriot. (St. Martin's, $22.95.) Continuing the	2	7
""	memoirs of the Yorkshire veterinarian.		
""			
5	THE TE OF PIGLET, by Benjamin Hoff. (Dutton, $16.) Aspects of Taoist	6	4
""	philosophy explained through the actions of an A. A. Milne character.		
""			
6	THE SENATOR, by Richard E. Burke with William and Marilyn Hoffer. (St.	--	1
""	Martin's, $23.95.) The recollections of a man who served as an aide to Edward M.		
""	Kennedy for 10 years.		
""			
7	TRUMAN, by David McCullough. (Simon & Schuster, $30.) A biography of the 33d	4	18
""	President.		
""			
8	WOMEN WHO RUN WITH THE WOLVES, by Clarissa Pinkola Estes. (Ballantine,	8	10
""	$20.) A Jungian analyst reinterprets myths and folk tales to enable women to		
""	understand their psyches.		
""			
9	YOUNG MEN & FIRE, by Norman Maclean. (University of Chicago, $19.95.) An	9	7
""	account of a disastrous fire in a Montana forest in 1949.		
""			
10	THE LAST TSAR, by Edvard Radzinsky. (Doubleday, $25.) The life of Nicholas II	11	11
""	and his family, and their assassination in 1918.		
""			
11	DIANA: HER TRUE STORY, by Andrew Morton. (Simon & Schuster, $22.) A	10	16
""	biography of the Princess of Wales.		
""			
12	FACES AT THE BOTTOM OF THE WELL, by Derrick Bell. (Basic Books, $20.) A	--	1
""	law professor argues that racism is an integral, permanent and irradicable		
""	component of our society.		
""			
13	THE CREATORS, by Daniel J. Boorstin. (Random House, $30.) Three thousand	16	2
""	years in the history of religion, philosophy, literature and the arts, told through the		
""	lives of those who made it.		
""			
14	EARTH IN THE BALANCE, by Al Gore. (Houghton Mifflin, $22.95.) The Vice-	7	19
""	Presidential candidate discusses factors affecting the environment and what must		
""	be done to save it.		
